회사명,거래소코드,회계년도,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]1주당매출액(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결),상장일,상장폐지일,소속코드,산업명
(주)CMG제약,058820,2011/12,1.98,-5.9,-12.89,17.64,-1.43,-2.02,0,56.4,41.83,-8.5,2.52,-5.58,-8.28,-35,406.28,0.66,0.97,1.25,1.55,6.42,0.01,0,0.86,1.77,1.38,148.8,2.45,56.81,30.53,11.95,200.97,165.03,15.1,82.55,28.23,51.41,3.53,66.34,56.18,66.05,3472.17,12.72,35.86,128.51,19.56,89.82,10.18,-43.44,2001/08/31,,5,    의약품 제조업
(주)CMG제약,058820,2012/12,109.15,-4.12,-16.43,207.08,7.73,75.17,0,-8.43,28.34,-40.97,-9.65,-15.78,-26.84,-138,332.74,0.39,0.66,0.52,0.57,5.71,0,0,0.42,1.71,1.48,197.16,1.85,63.97,46.62,7.83,693.49,649.98,68.81,95.69,70.6,80.77,-7.75,31.65,82.49,55.32,269.31,0.47,2.89,10.67,1.66,1749.87,-1649.87,-2473.07,2001/08/31,,5,    의약품 제조업
(주)CMG제약,058820,2013/12,-2.09,16.09,77.05,-18.89,56.29,55.1,0,25.51,38.7,1.45,2.81,0.52,0.74,4.16,235.52,0.36,0.51,0.48,0.52,5.39,0.01,0.79,0.42,2.03,1.47,176.2,2.07,67.75,58.88,6.2,694.71,610.74,394.63,113.12,58.5,14.11,0.7,36.13,68.34,87.63,6994.9,12.51,77.91,289.4,34.29,71.28,28.72,4.23,2001/08/31,,5,    의약품 제조업
(주)CMG제약,058820,2014/12,3.86,74.3,68.15,-25.93,6.37,0.01,-46.64,11.52,37.07,0.69,1.25,0.28,0.32,1.82,262.65,0.4,0.46,0.68,0.8,4.77,0,0.74,0.56,1.54,0.96,196.72,1.86,76.46,69.23,5.27,324.58,268.23,101.24,113.13,33.72,18.5,3.6,60.75,48.74,84.39,7061.34,12.16,37.8,132.06,31.04,79.3,20.7,2.24,2001/08/31,,5,    의약품 제조업
(주)CMG제약,058820,2015/12,-2.64,-5.37,1.66,-7.17,11.04,-4.48,0,18.85,36.26,-13.5,-4.3,-6.37,-7.62,-42,306.26,0.47,0.56,0.99,1.22,5.22,0.01,0.6,0.75,1.48,0.9,174.14,2.1,69.98,64.54,5.66,296.85,235.21,29,106.02,30.82,20.78,-32.22,64.65,46.47,82.8,4315.37,7.63,24.21,90.92,15.96,144.1,-44.1,-84.58,2001/08/31,,5,    의약품 제조업
(주)CMG제약,058820,2016/12,96.31,-5.14,6.43,199.84,17.2,116.01,0,21.92,40.36,5.24,2.25,2.06,2.34,19,361.04,0.39,0.45,0.63,0.71,5.56,0.01,0.51,0.54,1.9,1.06,137.38,2.66,65.59,58.3,6.26,862.15,792.17,23.52,186.02,62.75,9.76,999999999,31.85,70.98,91.1,10518.86,9.48,62.31,273.6,31.9,63.53,36.47,16.43,2001/08/31,,5,    의약품 제조업
(주)CMG제약,058820,2017/12,-1.27,-4.28,-12.01,3.12,23.63,-3.13,64.07,25.98,43.43,6.83,2.44,2.57,2.85,26,381.71,0.38,0.42,0.52,0.57,5.81,0.01,0.44,0.46,2.51,1.37,121.16,3.01,62.82,55.76,6.55,746.28,673.66,34.9,179.9,64.2,11.87,999999999,28.94,74.13,89.39,13710.01,12.51,84.87,389.08,33.01,64.09,35.91,20.68,2001/08/31,,5,    의약품 제조업
(주)CMG제약,058820,2018/12,4.39,6.71,16.47,0.18,8.45,6.16,113.94,20.05,45.6,12.16,2.74,5.42,6.01,56,457.95,0.45,0.49,0.61,0.68,6.05,0.01,4.93,0.55,2.98,1.63,118.41,3.08,60.3,40.86,8.93,957.86,856.94,158.5,190.99,63.71,10,999999999,31.75,71.14,90.91,16847.65,14.73,106.25,478.91,33.79,67.33,32.67,36,2001/08/31,,5,    의약품 제조업
(주)CMG제약,058820,2019/12,68.07,39.67,26.2,85.06,5.56,73.26,-49.69,17.56,49.34,5.2,2.42,1.99,2.15,25,538.36,0.38,0.41,0.51,0.55,6.65,0.01,0,0.47,2.83,1.57,116.9,3.12,54.86,26.43,13.81,1618.07,1520.84,199.55,259.42,73.49,6.71,303,23.12,78.33,93.71,19033.25,9.9,114.6,438.05,32.47,72.6,27.4,16.03,2001/08/31,,5,    의약품 제조업
(주)CMG제약,058820,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001/08/31,,5,    의약품 제조업
(주)CMG제약,058820,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001/08/31,,5,    의약품 제조업
(주)ES큐브,050120,2011/12,0,0,0,0,0,0,0,0,27.92,-8.99,-5.61,-8.65,-12.61,-206,2296.51,0.96,1.36,1.57,1.86,10.05,0.01,0,1.09,12.37,2.49,85.45,4.27,36.32,18.51,19.72,230.24,194.35,21.35,327.25,34.75,41.36,-245.99,54.53,61.43,70.74,12044.17,21.71,279.2,1125.26,22.56,120.2,-20.2,-39.82,2002/04/25,,5,    생활용품 도매업
(주)ES큐브,050120,2012/12,0,0,0,0,0,0,0,0,28.02,-0.64,1.1,-0.78,0.29,5,2392.63,1.21,1.4,2.46,3.13,11.55,0.02,0,2.03,17.59,2.37,29.94,12.19,31.59,10.05,36.32,472.77,371.91,84.78,335.11,38.68,16.11,1.72,59.14,49.06,86.12,17991.74,38.87,565.49,2009.57,32.14,86.11,13.89,-2,2002/04/25,,5,    생활용품 도매업
(주)ES큐브,050120,2013/12,1.85,-31.56,-62.76,68.92,29.33,6.4,0,4.69,24.76,-28.08,-1.77,-35.23,-40.47,-520,1862.12,1.25,1.43,1.92,2.35,10.55,0.02,0,1.69,21.87,3.62,24.04,15.18,34.6,7.71,47.35,1056.51,883.95,278.73,228.55,73.67,11.25,-37.44,20.72,81.37,89.89,1434.39,3.04,65.87,225.06,2.45,1052.79,-952.79,-1147.24,2002/04/25,,5,    생활용품 도매업
(주)ES큐브,050120,2014/12,20.1,5.59,18.41,20.49,-2.89,0.17,0,-24.13,21.42,-1.38,1.57,-1.19,1.15,13,1218.29,0.86,0.97,1.05,1.23,7.2,0.01,0,0.94,19.86,4.64,27.07,13.48,50.69,8.83,41.31,769.89,668.53,425.42,228.93,71.03,14.07,22.2,20.95,81.63,87.66,5773,10.2,251.09,857.87,12.98,82.73,17.27,-10.66,2002/04/25,,5,    생활용품 도매업
(주)ES큐브,050120,2015/12,-1.75,-14.4,38.88,-10.89,11.49,1.85,0,-5.19,27.8,-5.47,-6.22,-4.11,1.56,18,1155.09,0.75,0.85,0.96,1.13,6.55,0.01,0,0.85,19.76,3.39,25.57,14.27,55.71,10.27,35.54,765.67,639.55,492.89,233.16,64.37,12.01,-11.86,29.08,74.04,89.27,2670.29,4.8,135.68,575.47,6.33,197.05,-97.05,-86.4,2002/04/25,,5,    생활용품 도매업
(주)ES큐브,050120,2016/12,89.08,258.91,275.9,23.57,9.8,68.52,3206.73,-18.65,28.68,62.82,3.25,26.79,38.07,546,861.65,0.43,0.57,0.74,0.88,4.82,0.01,0,0.68,7.59,1,27.45,13.3,75.74,11.62,31.4,1493.9,1275.25,918.41,344.51,45.15,46.68,8.98,75.71,48.39,68.18,26875.03,25.56,380.46,11735.41,78.38,16.17,83.83,80.15,2002/04/25,,5,    생활용품 도매업
(주)ES큐브,050120,2017/12,0.69,64.55,1.06,0.3,12.07,1.56,-92.01,4.25,27.1,4.86,2.53,1.65,2.41,21,429.41,0.34,0.49,0.7,0.83,4.53,0.01,0,0.66,3.83,0.66,26.45,13.8,80.64,11.55,31.59,1378.49,1153.05,654.97,174.95,44.7,45.42,2.86,75.33,48.2,68.77,7493.34,7.08,64.47,1606.97,20.96,55.49,44.51,23.19,2002/04/25,,5,    생활용품 도매업
(주)ES큐브,050120,2018/12,6.17,30.79,22.82,-11.71,10.67,-6.15,-325.15,-5.55,22.89,-18.13,-0.46,-5.61,-5.54,-47,405.6,0.31,0.47,0.7,0.86,3.84,0.01,0,0.49,2.52,0.55,30.79,11.85,95.04,11.57,31.55,119.8,95.25,71.07,164.19,6.62,58.92,-0.82,95.22,40.08,62.93,1165.56,1.04,7.67,278.71,3.45,390.13,-290.13,-525.2,2002/04/25,,5,    생활용품 도매업
(주)ES큐브,050120,2019/12,312.66,14.02,55.75,696.75,-17.2,-18.89,0,29.45,18.75,-31.5,-0.68,-4.78,-21.76,-166,512.29,0.15,0.6,0.22,0.23,5.18,0,0,0.13,2.69,0.51,875.4,0.42,70.5,7.97,45.77,156.01,152.69,48.38,129.45,27.78,526.65,-0.68,141.72,77.38,15.96,-557.97,-0.12,-3.22,-148.46,-1.28,0,0,0,2002/04/25,,5,    생활용품 도매업
(주)ES큐브,050120,2020/12,54.08,69.21,274.24,-10.26,23.11,25.23,0,84.57,29.93,-31.35,1.76,-4.29,-39.39,-2337,968.5,0.14,1.12,0.24,0.24,9.46,0,0,0.11,3.46,0.32,946.09,0.39,38.6,10.32,35.38,61.5,59.7,2.11,100.46,-28.21,928.65,3.09,565.03,45.07,9.72,3768.25,0.53,13,1164.79,4.67,212.62,-112.62,-671.19,2002/04/25,,5,    생활용품 도매업
(주)ES큐브,050120,2021/12,51.45,13.15,-82.89,-34.32,42.14,22.47,0,55.92,12.15,4.27,0.06,0.6,11.62,670,9273.55,0.14,1.36,0.47,0.49,11.03,0,0,0.23,4.02,0.55,315.21,1.16,33.08,11.88,30.71,872.57,817.39,490.81,123.03,17.31,834.56,0.36,57.99,19.55,10.7,20467.89,1.89,61.68,4089.87,16.27,76.56,23.44,26.26,2002/04/25,,5,    생활용품 도매업
(주)가비아,079940,2011/12,22.76,11.47,22.02,23.7,-53.95,20.26,9.94,30.07,44.79,13.28,14.9,11.9,18.06,372,4148.88,0.9,1.23,2.03,2.03,2306.01,0.04,0,1.41,2.51,1.61,28.83,12.66,0.16,3.28,111.27,207.38,207.27,86.37,432.15,22.99,33.47,22.28,74.21,44.4,74.92,25788.11,39.7,116.43,1336.55,48.81,47.92,52.08,27.2,2005/10/19,,5,    소프트웨어 개발 및 공급업
(주)가비아,079940,2012/12,31.24,70.81,47.43,10.96,1619.44,28.11,46.89,30.7,41.64,13.64,15.82,12.54,21.3,524,5178.45,0.92,1.28,2.27,2.28,525.34,0.05,0,1.54,2.3,1.55,28.81,12.67,0.69,7.81,46.71,215.35,213.68,87.48,528.7,20.11,44.62,15.43,90.33,37.54,69.15,31058.09,36.43,82.09,823.51,44.97,49.79,50.21,30.33,2005/10/19,,5,    소프트웨어 개발 및 공급업
(주)가비아,079940,2013/12,7.02,-2.08,1.07,16.92,-62.32,16.43,-10.69,2.34,44.98,13.45,11.65,10.77,15.65,465,5299.73,0.8,1.11,2.04,2.05,413.22,0.05,0,1.42,1.89,1.32,31.43,11.61,0.88,11.32,32.25,249.42,248.8,82.18,615.59,24.57,32.99,15.81,78.45,41.01,75.19,32828.8,35.98,88.61,1037.87,46.45,51.67,48.33,28.96,2005/10/19,,5,    소프트웨어 개발 및 공급업
(주)가비아,079940,2014/12,8.02,0.14,5.21,12.05,0,9.56,-41.1,13.8,43.71,8.4,9.47,7.12,8.18,271,5961.89,0.85,1.12,2.03,2.03,1718.42,0.34,0,1.45,2.17,1.46,13.49,27.05,0.21,10.72,34.03,258.29,258.29,98,664.46,26.07,30.51,24.59,74.99,42.54,76.63,34179.94,34.68,92.13,1216.31,42.5,54.85,45.15,19.76,2005/10/19,,5,    소프트웨어 개발 및 공급업
(주)가비아,079940,2015/12,6.63,-0.49,-6.68,24.61,0,12.25,62.73,13.95,45.36,9.31,11.7,8.38,11.99,439,6770.89,0.9,1.15,1.95,1.95,0,0.21,0,1.48,2.48,1.67,14.56,25.06,0,9.75,37.46,395.42,395.42,175.75,745.83,37.14,24.95,64.83,62.84,49.71,80.03,41698.24,39.68,112.95,1815.71,45.5,51.97,48.03,20.46,2005/10/19,,5,    소프트웨어 개발 및 공급업
(주)가비아,079940,2016/12,19.71,17.08,24.06,15.32,0,4.78,-3.61,11.49,46.17,9.96,11.32,8.82,10.68,423,7548.86,0.89,1.14,1.82,1.84,149.85,0.04,0.01,1.4,2.55,1.73,36.08,10.12,2.44,12.64,28.87,295.5,288.81,124.81,781.47,31.68,31.1,83.64,68.32,47.89,76.28,45412.89,36.1,105.07,2491.32,44.44,58.27,41.73,22.41,2005/10/19,,5,    소프트웨어 개발 및 공급업
(주)가비아,079940,2017/12,6.03,5.16,2.61,9.75,22.86,5.42,-12.57,13.74,48.1,8.32,10.24,7.46,8.88,370,8586.04,0.9,1.19,1.84,1.88,76.48,0.03,0.02,1.32,2.62,1.75,47.52,7.68,4.77,19.48,18.74,224.87,219.17,101.89,823.81,27.52,33.52,53.72,67.34,49.57,74.89,48683,36.5,108.49,1454.76,41.89,59.97,40.03,19.86,2005/10/19,,5,    소프트웨어 개발 및 공급업
(주)가비아,079940,2018/12,13.54,8.04,9.09,18.07,18.31,12.64,54.56,10.76,48.92,11.92,13.23,10.77,12.58,576,9510.3,0.9,1.2,1.79,1.83,70.39,0.02,0.02,1.27,2.72,1.83,51.18,7.13,5.19,15.99,22.82,262,255.35,101.66,927.98,31.87,32.62,62.3,64.26,51.54,75.4,62241.08,41.1,137.57,2088.21,48.35,57.62,42.38,24.65,2005/10/19,,5,    소프트웨어 개발 및 공급업
(주)가비아,079940,2019/12,32.01,73.82,54.04,11.3,33.36,16.59,43.49,15.21,48.99,14.23,13.88,12.01,15.73,826,10956.73,0.84,1.19,1.8,1.85,64.12,0.02,0.03,1.25,2.21,1.59,50.8,7.19,5.69,10.35,35.27,201.58,195.45,66.71,1081.94,21.9,48.13,34.25,83.76,43.46,67.51,133089.93,66.57,209.21,5613.2,89.74,54.48,45.52,15.86,2005/10/19,,5,    소프트웨어 개발 및 공급업
(주)가비아,079940,2020/12,30.07,23.21,20.57,42.42,15.76,20.68,13.21,13.98,49.2,14.05,12.84,10.33,14.99,935,12488.84,0.74,1.1,1.61,1.65,59.27,0.02,0.03,1.11,1.77,1.36,46.69,7.82,6.16,10.9,33.48,244.16,238.12,102.41,1305.68,28.1,50.13,58.63,78.69,47.59,66.61,91699.15,35.27,87.57,4559.04,54.25,48.46,51.54,25.9,2005/10/19,,5,    소프트웨어 개발 및 공급업
(주)가비아,079940,2021/12,16.51,12.18,8.03,25.85,190.9,13.47,-3.43,18.57,49.16,12.47,11.89,8.88,12.4,898,14808.47,0.71,1.06,1.43,1.5,33.51,0.03,0.06,1.03,1.8,1.41,43.14,8.46,10.89,14.27,25.59,264.92,249.77,66.61,1481.59,32,48.08,110.79,71.96,51.4,67.53,104194.52,34.39,90.68,4164.36,51.98,48.72,51.28,23.99,2005/10/19,,5,    소프트웨어 개발 및 공급업
(주)강스템바이오텍,217730,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/12/21,,5,    자연과학 및 공학 연구개발업
(주)강스템바이오텍,217730,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015/12/21,,5,    자연과학 및 공학 연구개발업
(주)강스템바이오텍,217730,2017/12,0,0,0,0,0,0,0,0,35.68,-126.27,-24.25,-24.43,-46.19,-778,561.97,0.19,0.37,0.36,0.39,5.29,0.03,0.05,0.29,0.69,0.42,17.62,20.71,68.95,49.54,7.37,396.43,369.34,61.46,302.13,40,92.79,-8.15,89.67,53.49,51.87,-646.49,-1.37,-10.95,-73,-7.08,0,0,0,2015/12/21,,5,    기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,2018/12,55.08,14.44,10.24,94.06,11.21,94.25,0,0.36,12.84,-155.96,-19.1,-23.75,-37.79,-745,553.16,0.15,0.25,0.25,0.26,5.03,0.02,0.16,0.18,0.65,0.4,49.37,7.39,72.55,60.27,6.06,244.28,234.71,16.06,458.01,39.53,53.83,-12.31,50.86,66.94,65.01,-3330.3,-4.55,-59.54,-477.09,-36.34,0,0,0,2015/12/21,,5,    기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,2019/12,55.26,106.2,140.63,13.09,-86.12,48.29,0,-34.49,-7.07,-439.57,-24.33,-28.25,-41.61,-1182,288.14,0.06,0.1,0.12,0.12,5.5,0.02,0.18,0.08,0.26,0.15,72.07,5.06,66.41,73.07,5,268.99,267.69,37.29,587.15,30.63,65.37,-21.5,84.74,48.76,60.47,-13446.01,-11.83,-255.84,-3152.95,-223.93,0,0,0,2015/12/21,,5,    기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,2020/12,-27.4,2.12,-35.17,-19.23,33.21,-27.01,0,52.18,11.44,-216.09,-18.19,-20.13,-30.2,-828,377.5,0.09,0.16,0.18,0.18,29.42,0.08,0.03,0.14,0.29,0.19,19.83,18.4,12.41,20.02,18.24,366.62,363.72,81.67,406.83,39.45,69.63,-33.4,77.62,54.24,58.95,-7688.03,-9.32,-24.11,-83.81,-84.13,0,0,0,2015/12/21,,5,    기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,2021/12,25.02,-0.3,0.1,46.04,115.23,31.87,0,35.75,21.68,-175.96,-23.69,-23.51,-35.67,-767,488.02,0.13,0.22,0.23,0.23,22.18,0.04,0.07,0.17,0.39,0.33,27.74,13.16,16.46,18.18,20.08,290.81,287.41,33.56,358.23,41.57,56.28,-29.87,57.26,63.36,63.99,-5521.86,-5.35,-17.4,-62.79,-44.51,0,0,0,2015/12/21,,5,    기초 의약물질 및 생물학적 제제 제조업
(주)강원에너지,114190,2011/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009/11/20,,5,"    구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009/11/20,,5,"    구조용 금속제품, 탱크 및 증기발생기 제조업"
