회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]총자본증가율(IFRS),[제조]유형자산증가율(IFRS),[제조]매출액증가율(IFRS),[제조]비유동자산증가율(IFRS),[제조]유동자산증가율(IFRS),[제조]자기자본증가율(IFRS),[제조]순이익증가율(IFRS),[제조]재고자산증가율(IFRS),[제조]매출액총이익률(IFRS),[제조]매출액순이익률(IFRS),[제조]총자본사업이익률(IFRS),[제조]총자본순이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]1주당순이익(IFRS),[제조]1주당매출액(IFRS),[제조]총자본회전률(IFRS),[제조]자기자본회전률(IFRS),[제조]비유동자산회전률(IFRS),[제조]재고자산회전률(IFRS),[제조]매출채권회전률(IFRS),[제조]매입채무회전률(IFRS),[제조]매입채무회전기간(IFRS),[제조]재고자산회전기간(IFRS),[제조]매출채권회전기간(IFRS),[제조]1회전기간(IFRS),[제조]운전자본회전률(IFRS),[제조]순운전자본회전률(IFRS),[제조]유형자산회전율(IFRS),[제조]유동자산회전률(IFRS),[제조]당좌자산회전률(IFRS),[제조]유동비율(IFRS),[제조]당좌비율(IFRS),[제조]현금비율(IFRS),[제조]순운전자본비율(IFRS),[제조]부채비율(IFRS),[제조]자기자본배율(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]비유동비율(IFRS),[제조]유동자산구성비율(IFRS),[제조]자기자본구성비율(IFRS),[제조]부가가치(IFRS),[제조]총자본투자효율(IFRS),[제조]설비투자효율(IFRS),[제조]기계투자효율(IFRS),[제조]부가가치율(IFRS),[제조]노동소득분배율(IFRS),[제조]자본분배율(IFRS),[제조]이윤분배율(IFRS),회사명
(주)금빛,45890,Dec-11,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,-23.1,-3.19,-30.61,-4.78,-36.69,-20.94,0,-54.48,0.94,-55.61,-19.08,-22.27,-54.28,-1164,1919.33,0.4,0.98,0.85,2.13,1.72,5.08,71.84,171.11,211.98,0,0,0.41,1.13,0.76,1.17,102.72,73.36,9.01,1.25,140.01,347.28,-7.5,126.59,47.26,41.66,-15516.73,-14.61,-36.3,-755.98,-31.73,0,0,0,(주)금빛
(주)금빛,45890,Dec-12,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,-6.47,0.2,52.05,4.44,-18.64,7.03,0,-25.96,27.57,4.11,4.64,2.97,6.67,131,2918.4,0.72,1.62,1.3,5.96,3.84,9.88,36.96,61.26,94.94,0.01,0,0.81,1.74,1.63,2.25,91.89,67.99,8.58,-3.63,109.76,371.68,1.58,123.53,41.11,47.67,15889.74,16,37.1,549.26,21.37,60.05,39.95,19.22,(주)금빛
(주)금빛,45890,Dec-13,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,6.08,-1.96,1.97,14.82,-6.43,-0.56,-98.07,-1.73,26.36,0.08,4.21,0.06,0.12,2,2975.86,0.74,1.61,1.21,7.2,4.11,10.86,33.6,50.68,88.81,0.01,2.23,0.84,1.79,1.92,2.62,67.87,49.33,8.56,-17.16,123.77,369.61,1.01,142.63,36.26,44.69,17092.11,16.22,40.73,698.05,22.54,72.71,27.29,0.34,(주)금빛
(주)금빛,45890,Dec-14,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,3.02,-0.3,1.26,-4.31,15.91,-4.22,0,35.98,28.77,-2.61,6.17,-1.87,-4.35,-80,3013.25,0.72,1.67,1.17,6.24,3.61,7.97,45.82,58.54,101.04,0.01,0.53,0.77,1.83,1.86,2.65,72.04,48.95,0.9,-15.83,140.67,354.02,2.13,142.49,40.79,41.55,16504.76,15.2,39.48,631.65,21.49,82.95,17.05,-12.14,(주)금빛
(주)금빛,45890,Dec-15,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,2.99,-0.89,4.03,-1.53,9.55,9.32,0,-10.42,25.19,4.27,6.82,3.1,7.22,137,3134.79,0.72,1.69,1.25,5.94,3.09,7.39,49.41,61.47,118.18,0.01,0.61,0.76,1.92,1.72,2.42,87.66,64.69,0.66,-6.11,126.74,387.01,1.85,128.35,43.39,44.1,19365.66,17.32,46.82,783.8,24.24,70.45,29.55,17.61,(주)금빛
(주)금빛,45890,Dec-16,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,-0.69,-2.56,-15.8,0.14,-1.77,7.98,-22.42,-15.13,26.07,3.93,4.21,2.37,5.16,105,2607.5,0.6,1.31,1.06,5.72,2.55,8.45,43.21,63.77,143.07,0.01,0,0.69,1.64,1.4,1.85,106.8,82.62,5.65,2.73,108.54,410.08,1.37,119.03,42.92,47.95,19168.66,17.26,47.6,970.89,28.5,66.06,33.94,13.8,(주)금빛
(주)금빛,45890,Dec-17,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,3.34,-2.19,-2.16,-8.48,19.04,-9.07,0,39.18,21.46,-2.94,3.93,-1.72,-3.81,-76,2524.58,0.58,1.29,1.08,5.1,2.43,6.57,55.59,71.57,150.28,0.01,1.04,0.69,1.65,1.26,1.67,137.74,101.28,9.19,13.55,136.98,367.42,-1.45,119.81,49.45,42.2,10304.79,8.98,26.16,541.44,15.66,122.88,-22.88,-18.81,(주)금빛
(주)금빛,45890,Dec-18,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,-4.47,38.43,-23.42,3.82,-12.95,8.86,0,-19.56,5.3,-14.38,-15.94,-6.46,-14.34,-279,1895.59,0.45,1,0.85,3.72,2.12,4.91,74.27,98.12,171.87,0.01,1.08,0.53,1.07,0.95,1.28,112.56,85.03,9.1,5.03,107.97,396.48,-9.55,114.26,45.06,48.08,9520.21,8.69,17.48,647.27,18.89,138.48,-38.48,-76.13,(주)금빛
(주)금빛,45890,Dec-19,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,-7.19,-0.6,9.61,7.53,-25.14,-38.91,0,-18.75,13.72,-70.4,-15.4,-36.8,-91.61,-1228,1915.02,0.52,1.3,0.88,5.05,3.91,8.54,42.75,72.34,93.46,0.01,2.42,0.56,1.01,1.28,1.71,56.27,41.33,5.31,-28.25,215.96,168.35,-4.23,201.13,36.34,31.65,-18865.17,-18.55,-34.69,-1973.27,-34.15,0,0,0,(주)금빛
(주)금빛,45890,Dec-20,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,15.55,-2.97,-32.43,10.11,25.06,70.57,0,-40.33,11.26,-37.76,-14.87,-12.86,-32.36,-266,771.97,0.34,0.86,0.55,4.76,4.6,5.15,70.82,76.63,79.34,0.01,0.24,0.36,0.7,0.9,1.11,75.92,66.3,4.69,-12.48,114.03,146.31,-4.44,129.84,39.34,46.72,951.83,0.81,1.8,93.51,2.55,962.54,-862.54,-1480.75,(주)금빛
(주)맥스로텍,141070,Dec-12,2012-11-16,2021-09-16,4,    특수 목적용 기계 제조업,18.62,19.35,-10.87,20.58,16.01,53.45,-45.73,212.86,18.81,7.69,7.09,4.9,13.93,651,8445.57,0.64,1.81,1.1,60.78,1.77,4.84,75.47,6.01,206.26,0.01,0.02,0.8,1.25,1.51,1.55,127.51,123.04,9.93,9.02,154.58,958.81,3.05,148.11,41.82,39.28,12431.33,17.82,41.99,60.13,30.36,35.86,64.14,25.34,(주)맥스로텍
(주)맥스로텍,141070,Dec-13,2012-11-16,2021-09-16,4,    특수 목적용 기계 제조업,-7.48,-0.38,-44.91,5.54,-25.58,-15.62,0,-27.26,11.93,-13.8,-1.11,-4.64,-12.32,-545,3947.89,0.34,0.89,0.54,25.58,1.03,4.41,82.84,14.27,355.65,0,0.05,0.46,0.63,0.89,0.92,89.79,86.72,3.96,-3.82,179.16,809.01,-0.6,185.25,33.64,35.82,3431.44,5.32,10.99,19.17,15.21,144.93,-44.93,-90.7,(주)맥스로텍
(주)맥스로텍,141070,Dec-14,2012-11-16,2021-09-16,4,    특수 목적용 기계 제조업,14.76,11.7,64.22,8.55,27.01,4.54,0,-26.47,18.57,0.59,4.68,0.31,0.92,40,6483.06,0.53,1.57,0.83,57.49,1.76,5.24,69.66,6.35,206.9,0.01,0.02,0.65,0.98,1.5,1.54,67.7,66.36,5.78,-17.76,206.45,845.76,2.42,192.36,37.23,32.63,8000.76,10.8,26.11,45.57,21.6,59.87,40.13,2.71,(주)맥스로텍
(주)맥스로텍,141070,Dec-15,2012-11-16,2021-09-16,4,    특수 목적용 기계 제조업,16.79,37.07,-4.4,31.29,-7.66,10.88,0,98.5,-2.25,-16.7,-6.96,-7.37,-23.22,-517,3070.65,0.44,1.39,0.66,43.45,1.63,3.35,109.11,8.4,223.78,0.01,0.02,0.49,0.75,1.34,1.38,50.86,48.7,5.09,-28.43,222.78,404.11,-3.17,227.77,29.43,30.98,3962.26,4.58,7.42,11.97,11.19,148.6,-48.6,-149.31,(주)맥스로텍
(주)맥스로텍,141070,Dec-16,2012-11-16,2021-09-16,4,    특수 목적용 기계 제조업,-8.23,0.69,13.2,-4.76,-16.57,28.19,0,93.52,2.12,-21.86,-4.21,-10.57,-28.67,-566,2543.88,0.48,1.31,0.67,25.2,2.34,3.73,97.81,14.48,155.68,0.01,0.04,0.6,0.73,1.72,1.84,56.17,50.62,9.25,-20.88,131.05,271.17,-2.14,169.22,26.76,43.28,6941.38,8.75,13.88,22.71,17.31,97.78,2.22,-126.26,(주)맥스로텍
(주)맥스로텍,141070,Dec-17,2012-11-16,2021-09-16,4,    특수 목적용 기계 제조업,5.34,-15.64,-3.59,-14.62,59.96,-1.88,0,-45.05,12.93,-5.87,1.64,-2.78,-6.67,-98,1518.16,0.47,1.14,0.72,23.78,4.08,3.18,114.93,15.35,89.47,0,0.04,0.62,0.77,1.4,1.49,106.19,102.59,19.82,2.37,148.05,261.14,0.62,147.25,40.64,40.31,10493.18,12.55,24.23,34.91,27.15,55.46,44.54,-21.62,(주)맥스로텍
(주)맥스로텍,141070,Dec-18,2012-11-16,2021-09-16,4,    특수 목적용 기계 제조업,7.73,6.34,54.14,6.15,10.03,4.4,0,2.01,11.14,3.27,4.35,2.25,5.66,74,2271.82,0.69,1.73,1.16,51.17,9.12,3.2,114.16,7.13,40.03,0,0.02,0.8,1.25,1.67,1.73,81.41,78.85,11.42,-9.48,155.97,268.35,1.51,149.72,41.51,39.07,16570.69,18.4,37.81,56.82,27.81,40.93,59.07,11.77,(주)맥스로텍
