회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]자산(*)(IFRS연결),[제조]      유형자산(*)(IFRS),[제조]      유형자산(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS),[제조]매출액(수익)(*)(IFRS연결),[제조]   비유동자산(*)(IFRS),[제조]   비유동자산(*)(IFRS연결),[제조]   유동자산(*)(IFRS),[제조]   유동자산(*)(IFRS연결),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS연결)
(주)금빛,045890,2011/12,106199992,109326357,42742580,43720392,48908773,56202750,56012210,54598483,50187782,54727874,44247266,43952311
(주)금빛,045890,2012/12,99334136,98230697,42827444,43266610,74367184,71895071,58500094,56702180,40834042,41528518,47356263,41083860
(주)금빛,045890,2013/12,105376423,103968743,41990104,42234598,75831455,88415433,67169359,60929580,38207064,43039163,47091898,43428588
(주)금빛,045890,2014/12,108557290,109182692,41862041,42298227,76784301,82662380,64271781,63227269,44285509,45955423,45105857,45219242
(주)금빛,045890,2015/12,111805344,110881089,41488351,42212055,79881383,84791840,63290669,62721828,48514676,48159260,49309780,48596767
(주)금빛,045890,2016/12,111035753,110712919,40427287,41078549,67258801,75658000,63378506,65817609,47657248,44895310,53244171,52919637
(주)금빛,045890,2017/12,114739264,109637027,39543896,39981492,65805697,72904350,58006296,55998208,56732968,53638818,48416403,44857675
(주)금빛,045890,2018/12,109608718,102612701,54739926,55108329,50396516,53162303,60221761,58050694,49386957,44562008,52704161,49827297
(주)금빛,045890,2019/12,101724359,102849215,54413620,56531294,55240846,58651417,64754678,65510872,36969681,37338343,32195035,31029271
(주)금빛,045890,2020/12,117537442,122854759,52795087,61469526,37324969,40929592,71303819,78247262,46233624,44607496,54916321,50360157
(주)맥스로텍,141070,2012/12,69741129,,35671555,,40948164,,40574413,,29166715,,27394465,
(주)맥스로텍,141070,2013/12,64526837,,35537295,,22559355,,42820843,,21705994,,23114606,
(주)맥스로텍,141070,2014/12,74051356,,39694889,,37045995,,46483378,,27567978,,24164593,
(주)맥스로텍,141070,2015/12,86486998,,54408303,,35416681,,61029666,,25457332,,26794793,
(주)맥스로텍,141070,2016/12,79364972,,54785046,,40091369,,58125643,,21239330,,34349427,
(주)맥스로텍,141070,2017/12,83603254,,46216253,,38651323,,49628513,,33974741,,33703666,
(주)맥스로텍,141070,2018/12,90063345,,49146139,,59576150,,52681249,,37382096,,35185651,
(주)맥스로텍,141070,2019/12,75565720,,45273523,,37317298,,50004685,,25561036,,28162044,
(주)맥스로텍,141070,2020/12,52152068,,32737247,,19611903,,43428408,,8723660,,13319927,
(주)미래SCI,028040,2011/12,59236211,59254859,43911785,43912476,28444885,29432486,45425387,45441071,13810824,13813789,23089734,23107524
(주)미래SCI,028040,2012/12,45845613,45860077,37563482,37563762,21044458,21044458,38989968,39004173,6855645,6855904,6969987,6984586
(주)미래SCI,028040,2013/12,45376560,45390811,37231445,37231722,11263301,11263301,39047907,39061902,6328654,6328909,14844928,14858159
(주)미래SCI,028040,2014/12,39583319,39597874,32150906,32150906,7693001,7693001,34208914,34223204,5374404,5374670,11228514,11238320
(주)미래SCI,028040,2015/12,43846971,43847255,27463141,27463141,14515729,14515729,29193081,29193081,14653890,14654174,12078937,11970389
(주)미래SCI,028040,2016/12,43247129,45422612,304842,2635402,16509287,16509287,6364391,7755259,36882739,37667353,16384633,16384633
(주)미래SCI,028040,2017/12,50374273,52360547,490010,2809146,18319387,19108916,12874249,13057078,37500024,39303470,18306085,18306085
(주)미래SCI,028040,2018/12,60539007,66163231,3510862,3025310,57409508,57593486,9808315,13500990,50730691,52662241,23016359,23431830
(주)미래SCI,028040,2019/12,48377378,54405331,3413510,2881704,14699802,14797966,14138015,19071070,34239363,35334261,17030738,16917544
(주)아이엠텍,226350,2016/12,61406731,,25058890,,81087813,,34838418,,26568313,,39200892,
(주)아이엠텍,226350,2017/12,47664340,47607120,13655706,13661945,69006125,69006125,23372027,22918565,24292313,24688555,22825963,22609311
(주)아이엠텍,226350,2018/12,32627592,33080360,9973881,10121320,11758181,11758181,15846603,15520597,16780989,17559764,7001982,744101
(주)아이엠텍,226350,2019/12,52827782,54274661,22460571,22567469,13844952,13844952,36147422,37021892,16680360,17252769,17135241,17309673
(주)아이엠텍,226350,2020/12,28073825,,9172849,,15460215,,10548960,,17524865,,-10573774,
