회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)CMG제약,058820,2010/12,-25.94,-37.74,0,  의료용 물질 및 의약품 제조업,2001/08/31,,245.1,192.8,46,28.83,45.48,89.4,7.64,-7.42,-5.9,49.65,74.62,48.71,27.6,-66.4,-61.19,-28.12,-28.15,-40.95,0.42,0.62,0.83,4.08,2.05,7.62,47.87,89.49,178.48,0,0,0,0,0,-301,0,0,0,0,0,275.65,,-183.04,68.74,0.62,1.1,0.87,1.11,,,,,,771.12,,,,2.88,7.49,24.3,6.79,674.81,-574.81,-900.67
(주)CMG제약,058820,2011/12,-5.58,-8.28,56.4,  의료용 물질 및 의약품 제조업,2001/08/31,,200.97,165.03,15.1,28.23,51.41,82.55,9.08,3.53,-9.65,8.02,66.34,56.18,41.83,3.61,-8.5,2.52,2.37,3.51,0.66,0.97,1.38,6.42,2.45,11.95,30.53,56.81,148.8,0.01,0,1.98,-2.02,0,-35,-5.9,-12.89,17.64,-1.43,0,406.28,,14.65,66.05,0.86,1.77,1.25,1.55,,,,,,3472.17,,,,12.72,35.86,128.51,19.56,89.82,10.18,-43.44
(주)CMG제약,058820,2012/12,-15.78,-26.84,-8.43,  의료용 물질 및 의약품 제조업,2001/08/31,,693.49,649.98,68.81,70.6,80.77,95.69,30.58,-7.75,-15.18,5.45,31.65,82.49,28.34,-25.87,-40.97,-9.65,-9.96,-16.95,0.39,0.66,1.48,5.71,1.85,7.83,46.62,63.97,197.16,0,0,109.15,75.17,0,-138,-4.12,-16.43,207.08,7.73,0,332.74,,-86.09,55.32,0.42,1.71,0.52,0.57,,,,,,269.31,,,,0.47,2.89,10.67,1.66,1749.87,-1649.87,-2473.07
(주)CMG제약,058820,2015/12,-6.37,-7.62,18.85,  의료용 물질 및 의약품 제조업,2001/08/31,,296.85,235.21,29,30.82,20.78,106.02,0.01,-32.22,999999999,10.3,64.65,46.47,36.26,-9.51,-13.5,-4.3,-4.49,-5.37,0.47,0.56,0.9,5.22,2.1,5.66,64.54,69.98,174.14,0.01,0.6,-2.64,-4.48,0,-42,-5.37,1.66,-7.17,11.04,0,306.26,,-29.13,82.8,0.75,1.48,0.99,1.22,,,,,,4315.37,,,,7.63,24.21,90.92,15.96,144.1,-44.1,-84.58
(주)ES큐브,050120,2010/12,-3.32,-3.83,0,  도매 및 상품 중개업,2002/04/25,,591.33,516.26,80.73,55.44,15.41,366.73,0,-7.12,999999999,0,38.4,66.72,24.88,-1.22,-3.72,0.37,-1.08,-1.25,0.89,1.03,2.68,10.53,9.72,13.72,26.6,34.65,37.56,0.02,0.15,0,0,0,-70,0,0,0,0,0,1888.12,,-22.96,86.65,1.14,13,1.34,1.53,,,,,,11100.78,,,,22.57,328.92,905.31,25.29,101.15,-1.15,-14.7
(주)ES큐브,050120,2011/12,-8.65,-12.61,0,  도매 및 상품 중개업,2002/04/25,,230.24,194.35,21.35,34.75,41.36,327.25,0.18,-245.99,999999999,14.84,54.53,61.43,27.92,-6.84,-8.99,-5.61,-6.58,-9.3,0.96,1.36,2.49,10.05,4.27,19.72,18.51,36.32,85.45,0.01,0,0,0,0,-206,0,0,0,0,0,2296.51,,-157.04,70.74,1.09,12.37,1.57,1.86,,,,,,12044.17,,,,21.71,279.2,1125.26,22.56,120.2,-20.2,-39.82
(주)ES큐브,050120,2012/12,-0.78,0.29,0,  도매 및 상품 중개업,2002/04/25,,472.77,371.91,84.78,38.68,16.11,335.11,0.33,1.72,999999999,33.83,59.14,49.06,28.02,0.16,-0.64,1.1,0.19,0.22,1.21,1.4,2.37,11.55,12.19,36.32,10.05,31.59,29.94,0.02,0,0,0,0,5,0,0,0,0,0,2392.63,,3.82,86.12,2.03,17.59,2.46,3.13,,,,,,17991.74,,,,38.87,565.49,2009.57,32.14,86.11,13.89,-2
(주)ES큐브,050120,2013/12,-35.23,-40.47,4.69,  도매 및 상품 중개업,2002/04/25,,1056.51,883.95,278.73,73.67,11.25,228.55,0.32,-37.44,999999999,20.31,20.72,81.37,24.76,-1.99,-28.08,-1.77,-2.49,-2.83,1.25,1.43,3.62,10.55,15.18,47.35,7.71,34.6,24.04,0.02,0,1.85,6.4,0,-520,-31.56,-62.76,68.92,29.33,0,1862.12,,-37.01,89.89,1.69,21.87,1.92,2.35,,,,,,1434.39,,,,3.04,65.87,225.06,2.45,1052.79,-952.79,-1147.24
(주)ES큐브,050120,2014/12,-1.19,1.15,-24.13,  도매 및 상품 중개업,2002/04/25,,769.89,668.53,425.42,71.03,14.07,228.93,4.74,22.2,999999999,0.54,20.95,81.63,21.42,0.38,-1.38,1.57,0.33,0.37,0.86,0.97,4.64,7.2,13.48,41.31,8.83,50.69,27.07,0.01,0,20.1,0.17,0,13,5.59,18.41,20.49,-2.89,0,1218.29,,4.69,87.66,0.94,19.86,1.05,1.23,,,,,,5773,,,,10.2,251.09,857.87,12.98,82.73,17.27,-10.66
(주)ES큐브,050120,2015/12,-4.11,1.56,-5.19,  도매 및 상품 중개업,2002/04/25,,765.67,639.55,492.89,64.37,12.01,233.16,3.47,-11.86,999999999,14.83,29.08,74.04,27.8,-9.63,-5.47,-6.22,-7.24,-8.18,0.75,0.85,3.39,6.55,14.27,35.54,10.27,55.71,25.57,0.01,0,-1.75,1.85,0,18,-14.4,38.88,-10.89,11.49,0,1155.09,,-111.26,89.27,0.85,19.76,0.96,1.13,,,,,,2670.29,,,,4.8,135.68,575.47,6.33,197.05,-97.05,-86.4
(주)ES큐브,050120,2018/12,-5.61,-5.54,-5.55,  도매 및 상품 중개업,2002/04/25,,119.8,95.25,71.07,6.62,58.92,164.19,31.99,-0.82,-6.86,4.6,95.22,40.08,22.89,-3.59,-18.13,-0.46,-1.11,-1.69,0.31,0.47,0.55,3.84,11.85,31.55,11.57,95.04,30.79,0.01,0,6.17,-6.15,-325.15,-47,30.79,22.82,-11.71,10.67,-153.86,405.6,,-14.55,62.93,0.49,2.52,0.7,0.86,,,,,,1165.56,,,,1.04,7.67,278.71,3.45,390.13,-290.13,-525.2
(주)ES큐브,050120,2019/12,-4.78,-21.76,29.45,  도매 및 상품 중개업,2002/04/25,,156.01,152.69,48.38,27.78,526.65,129.45,14.85,-0.68,-3.85,7.3,141.72,77.38,18.75,-5.99,-31.5,-0.68,-0.91,-3.62,0.15,0.6,0.51,5.18,0.42,45.77,7.97,70.5,875.4,0,0,312.66,-18.89,0,-166,14.02,55.75,696.75,-17.2,0,512.29,,-30.67,15.96,0.13,2.69,0.22,0.23,,,,,,-557.97,,,,-0.12,-3.22,-148.46,-1.28,0,0,0
(주)ES큐브,050120,2020/12,-4.29,-39.39,84.57,  도매 및 상품 중개업,2002/04/25,,61.5,59.7,2.11,-28.21,928.65,100.46,0.99,3.09,-5.97,8.78,565.03,45.07,29.93,12.79,-31.35,1.76,1.75,14.37,0.14,1.12,0.32,9.46,0.39,35.38,10.32,38.6,946.09,0,0,54.08,25.23,0,-2337,69.21,274.24,-10.26,23.11,0,968.5,,123.85,9.72,0.11,3.46,0.24,0.24,,,,,,3768.25,,,,0.53,13,1164.79,4.67,212.62,-112.62,-671.19
