회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)CMG제약,058820,2012/12,-15.78,-26.84,-8.43,  의료용 물질 및 의약품 제조업,2001/08/31,,693.49,649.98,68.81,70.6,80.77,95.69,30.58,-7.75,-15.18,5.45,31.65,82.49,28.34,-25.87,-40.97,-9.65,-9.96,-16.95,0.39,0.66,1.48,5.71,1.85,7.83,46.62,63.97,197.16,0,0,109.15,75.17,0,-138,-4.12,-16.43,207.08,7.73,0,332.74,,-86.09,55.32,0.42,1.71,0.52,0.57,,,,,,269.31,,,,0.47,2.89,10.67,1.66,1749.87,-1649.87,-2473.07
(주)ES큐브,050120,2014/12,-1.19,1.15,-24.13,  도매 및 상품 중개업,2002/04/25,,769.89,668.53,425.42,71.03,14.07,228.93,4.74,22.2,999999999,0.54,20.95,81.63,21.42,0.38,-1.38,1.57,0.33,0.37,0.86,0.97,4.64,7.2,13.48,41.31,8.83,50.69,27.07,0.01,0,20.1,0.17,0,13,5.59,18.41,20.49,-2.89,0,1218.29,,4.69,87.66,0.94,19.86,1.05,1.23,,,,,,5773,,,,10.2,251.09,857.87,12.98,82.73,17.27,-10.66
(주)ES큐브,050120,2015/12,-4.11,1.56,-5.19,  도매 및 상품 중개업,2002/04/25,,765.67,639.55,492.89,64.37,12.01,233.16,3.47,-11.86,999999999,14.83,29.08,74.04,27.8,-9.63,-5.47,-6.22,-7.24,-8.18,0.75,0.85,3.39,6.55,14.27,35.54,10.27,55.71,25.57,0.01,0,-1.75,1.85,0,18,-14.4,38.88,-10.89,11.49,0,1155.09,,-111.26,89.27,0.85,19.76,0.96,1.13,,,,,,2670.29,,,,4.8,135.68,575.47,6.33,197.05,-97.05,-86.4
(주)ES큐브,050120,2016/12,26.79,38.07,-18.65,  도매 및 상품 중개업,2002/04/25,,1493.9,1275.25,918.41,45.15,46.68,344.51,28.34,8.98,999999999,1.52,75.71,48.39,28.68,6.3,62.82,3.25,2.69,3.56,0.43,0.57,1,4.82,13.3,31.4,11.62,75.74,27.45,0.01,0,89.08,68.52,3206.73,546,258.91,275.9,23.57,9.8,0,861.65,,54.3,68.18,0.68,7.59,0.74,0.88,,,,,,26875.03,,,,25.56,380.46,11735.41,78.38,16.17,83.83,80.15
(주)ES큐브,050120,2018/12,-5.61,-5.54,-5.55,  도매 및 상품 중개업,2002/04/25,,119.8,95.25,71.07,6.62,58.92,164.19,31.99,-0.82,-6.86,4.6,95.22,40.08,22.89,-3.59,-18.13,-0.46,-1.11,-1.69,0.31,0.47,0.55,3.84,11.85,31.55,11.57,95.04,30.79,0.01,0,6.17,-6.15,-325.15,-47,30.79,22.82,-11.71,10.67,-153.86,405.6,,-14.55,62.93,0.49,2.52,0.7,0.86,,,,,,1165.56,,,,1.04,7.67,278.71,3.45,390.13,-290.13,-525.2
(주)강스템바이오텍,217730,2019/12,-28.25,-41.61,-34.49,  의료용 물질 및 의약품 제조업,2015/12/21,,268.99,267.69,37.29,30.63,65.37,587.15,27.22,-21.5,-39.42,4.45,84.74,48.76,-7.07,-385.6,-439.57,-24.33,-24.78,-39.82,0.06,0.1,0.15,5.5,5.06,5,73.07,66.41,72.07,0.02,0.18,55.26,48.29,0,-1182,106.2,140.63,13.09,-86.12,0,288.14,,-1111.07,60.47,0.08,0.26,0.12,0.12,,,,,,-13446.01,,,,-11.83,-255.84,-3152.95,-223.93,0,0,0
(주)강원에너지,114190,2016/12,-1.38,-1.99,-8.45,  금속가공제품 제조업; 기계 및 가구 제외,2009/11/20,,444.3,441.52,131.49,53.93,40.11,690.5,12.96,-241.54,999999999,0.05,42.6,69.59,16.59,-3.1,-2.66,-1.25,-1.61,-2.35,0.52,0.76,1.84,53.9,1.99,5.94,61.42,6.77,183.61,0.01,0.02,-9.68,-2.65,-1190.24,-69,15.13,4.17,-14.64,-72.83,-393.2,2772.4,,-85.96,71.37,0.57,3.06,0.73,0.73,,,,,,8145.29,,,,10.55,82.96,1041.22,19.26,83.76,16.24,-13.82
(주)강원에너지,114190,2019/12,-47.39,-94.77,-50.47,  금속가공제품 제조업; 기계 및 가구 제외,2009/11/20,,99.04,98.65,11.8,-0.52,167.94,242.2,32.91,-8.38,-20.87,9.51,123.35,53.96,-14.43,-40.37,-83.78,-22.22,-22.83,-48.16,0.57,1.19,1.72,128.45,1.53,4.48,81.54,2.84,239.3,0.01,0.01,-39.69,-56.25,-1763.05,-2082,-29.68,11.89,-56.71,-78.15,-5132.09,2210.85,,-892.45,37.32,0.48,3.38,0.84,0.85,,,,,,-24497.97,,,,-43.28,-275.98,-1326.94,-57.58,0,0,0
(주)강원에너지,114190,2020/12,-28.75,-64.76,-9.88,  금속가공제품 제조업; 기계 및 가구 제외,2009/11/20,,172.82,171.06,71.79,27.47,92.84,188.33,17.02,-19.76,-137.33,3.85,67.13,65.19,-4.85,-24.06,-33.58,-19.77,-20.6,-48.28,0.86,2.01,2.04,226.52,3.34,6.57,55.56,1.61,109.38,0.02,0,-41.75,-19.07,0,-685,-35.51,-55.96,-29.63,85.02,0,2112.11,,-508.2,51.86,0.8,4.49,1.47,1.48,,,,,,-5700.49,,,,-17.29,-85.17,-376.01,-14.87,0,0,0
(주)고영테크놀러지,098460,2019/12,10.11,12.59,-6.78,  기타 기계 및 장비 제조업,2008/06/03,,587.8,493.22,70.8,61.34,25.37,3552.55,4.22,112.96,999999999,4.57,32.7,73.92,63.58,15.01,13.31,11.93,11.4,14.2,0.76,0.95,3.39,6.56,2.73,15.21,23.99,55.66,133.83,0.01,0,9.47,7.88,-30.13,2192,12.58,54.74,-0.78,15.71,-27.51,16222.81,,2435.08,79.77,0.83,6.31,0.98,1.15,,,,,,80742.92,,,,26.43,225.13,79746.09,36.36,41.24,58.76,36.61
