회사명,거래소코드,회계년도,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율(IFRS),[제조]총자본증가율(IFRS),[제조]자기자본증가율(IFRS),[제조]순이익증가율(IFRS),[제조]유형자산증가율(IFRS),[제조]비유동자산증가율(IFRS),[제조]유동자산증가율(IFRS),[제조]재고자산증가율(IFRS),[제조]매출액총이익률(IFRS),[제조]매출액순이익률(IFRS),[제조]총자본사업이익률(IFRS),[제조]총자본순이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]1주당순이익(IFRS),[제조]1주당매출액(IFRS),[제조]총자본회전률(IFRS),[제조]자기자본회전률(IFRS),[제조]비유동자산회전률(IFRS),[제조]재고자산회전률(IFRS),[제조]매출채권회전률(IFRS),[제조]매입채무회전률(IFRS),[제조]매입채무회전기간(IFRS),[제조]재고자산회전기간(IFRS),[제조]매출채권회전기간(IFRS),[제조]1회전기간(IFRS),[제조]운전자본회전률(IFRS),[제조]순운전자본회전률(IFRS),[제조]유형자산회전율(IFRS),[제조]유동자산회전률(IFRS),[제조]당좌자산회전률(IFRS),[제조]유동비율(IFRS),[제조]당좌비율(IFRS),[제조]현금비율(IFRS),[제조]순운전자본비율(IFRS),[제조]부채비율(IFRS),[제조]자기자본배율(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]비유동비율(IFRS),[제조]유동자산구성비율(IFRS),[제조]자기자본구성비율(IFRS),[제조]부가가치(IFRS),[제조]총자본투자효율(IFRS),[제조]설비투자효율(IFRS),[제조]기계투자효율(IFRS),[제조]부가가치율(IFRS),[제조]노동소득분배율(IFRS),[제조]자본분배율(IFRS),[제조]이윤분배율(IFRS)
(주)CMG제약,058820,2011/12,2001/08/31,,    의약품 제조업,5,56.4,2.89,-0.62,0,-6.44,-10.56,17.05,-1.43,41.83,-7.12,2.77,-4.66,-6.89,-29,406.28,0.65,0.97,1.36,6.42,2.45,11.95,30.53,56.81,148.8,0.01,0,0.86,1.78,1.25,1.56,200.32,164.32,15.12,27.75,50.61,83.72,3.94,67.16,55.41,66.4,3669.25,13.32,38.11,137.59,20.67,84.78,15.22,-34.46
(주)CMG제약,058820,2012/12,2001/08/31,,    의약품 제조업,5,-8.43,106.87,72.78,0,-4.02,-19.28,208.38,7.73,28.34,-42.4,-9.23,-16.31,-27.63,-143,332.74,0.38,0.65,1.46,5.71,1.85,7.83,46.62,63.97,197.16,0,0,0.42,1.72,0.52,0.57,706.26,661.93,70.11,70.91,80.33,95.73,-7.45,31.37,82.6,55.45,-88.04,-0.15,-0.95,-3.53,-0.54,0,0,0
(주)CMG제약,058820,2013/12,2001/08/31,,    의약품 제조업,5,25.02,-1.8,55.2,0,16.63,78.54,-18.73,56.29,38.46,1.65,2.88,0.59,0.83,5,234.59,0.36,0.5,1.47,5.37,2.06,6.17,59.12,68.02,176.89,0.01,0.8,0.42,2.03,0.48,0.52,695.84,611.84,394.76,58.54,14.1,113.24,0.73,36.09,68.37,87.65,6952.08,12.42,77.44,287.63,34.21,71.51,28.49,4.82
(주)CMG제약,058820,2014/12,2001/08/31,,    의약품 제조업,5,11.96,3.87,0.04,-48.84,74.3,68.15,-25.87,6.37,37.07,0.75,1.27,0.3,0.35,1.98,262.65,0.4,0.46,0.96,4.77,1.86,5.27,69.23,76.46,196.72,0,0.74,0.56,1.54,0.68,0.8,325.47,269.08,101.3,33.8,18.46,113.28,3.63,60.67,48.79,84.41,7065.04,12.15,37.82,132.13,31.05,79.26,20.74,2.43
(주)CMG제약,058820,2015/12,2001/08/31,,    의약품 제조업,5,18.85,-2.64,-4.47,0,-5.37,1.66,-7.15,11.04,36.26,-13.49,-4.29,-6.36,-7.61,-42,306.26,0.47,0.56,0.9,5.22,2.1,5.66,64.54,69.98,174.14,0.01,0.6,0.75,1.48,0.99,1.22,297.75,236.06,29.02,30.9,20.74,106.17,-32.2,64.56,46.53,82.83,4316.8,7.63,24.22,90.95,15.96,144.05,-44.05,-84.52
(주)CMG제약,058820,2016/12,2001/08/31,,    의약품 제조업,5,21.92,96.11,115.71,0,-5.14,6.43,199.16,17.2,40.36,5.14,2.25,2.02,2.29,19,361.04,0.39,0.45,1.06,5.56,2.66,6.26,58.3,65.59,137.38,0.01,0.51,0.54,1.9,0.63,0.71,862.15,792.17,23.52,62.75,9.76,186.02,999999999,31.85,70.98,91.1,10518.86,9.48,62.31,273.6,31.9,63.53,36.47,16.1
(주)CMG제약,058820,2017/12,2001/08/31,,    의약품 제조업,5,25.98,-1.27,-3.13,67.4,-4.28,-12.01,3.12,23.63,43.43,6.83,2.44,2.57,2.85,26,381.71,0.38,0.42,1.37,5.81,3.01,6.55,55.76,62.82,121.16,0.01,0.44,0.46,2.51,0.52,0.57,746.28,673.66,34.9,64.2,11.87,179.9,999999999,28.94,74.13,89.39,13710.01,12.51,84.87,389.08,33.01,64.09,35.91,20.68
(주)CMG제약,058820,2018/12,2001/08/31,,    의약품 제조업,5,20.05,4.39,6.16,113.94,6.71,16.47,0.18,8.45,45.6,12.16,2.74,5.42,6.01,56,457.95,0.45,0.49,1.63,6.05,3.08,8.93,40.86,60.3,118.41,0.01,4.93,0.55,2.98,0.61,0.68,957.86,856.94,158.5,63.71,10,190.99,999999999,31.75,71.14,90.91,16847.65,14.73,106.25,478.91,33.79,67.33,32.67,36
(주)CMG제약,058820,2019/12,2001/08/31,,    의약품 제조업,5,17.56,68.07,73.26,-49.69,39.67,26.2,85.06,5.56,49.34,5.2,2.42,1.99,2.15,25,538.36,0.38,0.41,1.57,6.65,3.12,13.81,26.43,54.86,116.9,0.01,0,0.47,2.83,0.51,0.55,1618.07,1520.84,199.55,73.49,6.71,259.42,303,23.12,78.33,93.71,19033.25,9.9,114.6,438.05,32.47,72.6,27.4,16.03
(주)CMG제약,058820,2020/12,2001/08/31,,    의약품 제조업,5,9.96,1.62,0.54,-92.95,23.31,18.52,-3.06,66.28,48.42,0.33,1.37,0.11,0.12,2,464.1,0.33,0.36,1.42,5.35,3.3,13,28.08,68.22,110.66,0.01,0,0.4,2.39,0.43,0.47,1069.54,959.3,58.94,67.74,7.85,260.82,79.74,27.26,74.73,92.72,17019.7,8.71,108.22,475.13,26.4,86.14,13.86,1.26
(주)ES큐브,050120,2011/12,2002/04/25,,    생활용품 도매업,5,20.38,-5.43,-6.99,0,-11.82,22.79,-28.54,-49.36,30.21,-7.03,-3.51,-6.3,-7.22,-126,1794.04,0.9,1.03,1.74,73.04,16.24,13.43,27.19,5,22.47,3.52,0.01,1.53,27.77,1.85,1.9,388.16,380.23,31.15,30.83,15.56,336.81,-142.77,67.56,41.53,86.54,7961.63,17.6,565.75,1105781.81,19.09,123.24,-23.24,-36.84
