회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출액증가율(IFRS),매출액증가율(IFRS연결),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유형자산증가율(IFRS),유형자산증가율(IFRS연결),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),재고자산증가율(IFRS),재고자산증가율(IFRS연결),비유동자산(*)(IFRS)(천원),비유동자산(*)(IFRS연결)(천원),비유동자산증가율(IFRS연결),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동자산증가율(IFRS연결),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),자기자본증가율(IFRS연결),총자본증가율(IFRS),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),총자본증가율(IFRS연결),당기순이익(총포괄손익)(IFRS)(천원),당기순이익(총포괄손익)(IFRS연결)(천원),순이익증가율(IFRS),순이익증가율(IFRS연결),비유동자산증가율(IFRS),유동자산증가율(IFRS),자기자본증가율(IFRS)
(주)CMG제약,58820,Dec-10,11350419,11350419,11.86,0,10316860,10316860,1.54,0,2782759,2782759,14.55,0,13734412,13734412,0,13041215,13041215,0,18405116,18405116,0,17.25,26775627,26775627,0,-6945220,-6945220,0,0,5.58,32.7,95.55
(주)CMG제약,58820,Dec-11,17751704,17751704,56.4,56.4,9652599,9707759,-6.44,-5.9,2743103,2743103,-1.43,-1.43,12283654,11964031,-12.89,15264885,15341167,17.64,18290915,18034249,-2.02,2.89,27548539,27305198,1.98,-1264488,-1508282,0,0,-10.56,17.05,-0.62
(주)CMG제약,58820,Dec-12,16255389,16255389,-8.43,-8.43,9264142,9307482,-4.02,-4.12,2955172,2955172,7.73,7.73,9915161,9998822,-16.43,47073443,47109213,207.08,31602540,31590685,75.17,106.87,56988604,57108035,109.15,-6892739,-6660149,0,0,-19.28,208.38,72.78
(주)CMG제약,58820,Dec-13,20322140,20402140,25.02,25.51,10805092,10805092,16.63,16.09,4618718,4618718,56.29,56.29,17702754,17702864,77.05,38258866,38209699,-18.89,49048213,48997281,55.1,-1.8,55961620,55912563,-2.09,335258,296181,0,0,78.54,-18.73,55.2
(주)CMG제약,58820,Dec-14,22752584,22752584,11.96,11.52,18833775,18833775,74.3,74.3,4913103,4913103,6.37,6.37,29767275,29767385,68.15,28359823,28300941,-25.93,49067039,49002644,0.01,3.87,58127098,58068326,3.86,171502,158039,-48.84,-46.64,68.15,-25.87,0.04
(주)CMG제약,58820,Dec-15,27041894,27041894,18.85,18.85,17822468,17822468,-5.37,-5.37,5455617,5455617,11.04,11.04,30261207,30261207,1.66,26330765,26271614,-7.17,46872705,46806888,-4.48,-2.64,56591972,56532821,-2.64,-3648668,-3650091,0,0,1.66,-7.15,-4.47
(주)CMG제약,58820,Dec-16,32969825,32969825,21.92,21.92,16905814,16905814,-5.14,-5.14,6393756,6393756,17.2,17.2,32207666,32207666,6.43,78772201,78772201,199.84,101107635,101107635,116.01,96.11,110979867,110979867,96.31,1693463,1727895,0,0,6.43,199.16,115.71
(주)CMG제약,58820,Dec-17,41535588,41535588,25.98,25.98,16182518,16182518,-4.28,-4.28,7904518,7904518,23.63,23.63,28340823,28340823,-12.01,81227330,81227330,3.12,97944019,97944019,-3.13,-1.27,109568153,109568153,-1.27,2834901,2834901,67.4,64.07,-12.01,3.12,-3.13
(주)CMG제약,58820,Dec-18,49864782,49864782,20.05,20.05,17268535,17268535,6.71,6.71,8572582,8572582,8.45,8.45,33009465,33009465,16.47,81370415,81370415,0.18,103981846,103981846,6.16,4.39,114379880,114379880,4.39,6065026,6065026,113.94,113.94,16.47,0.18,6.16
(주)CMG제약,58820,Dec-19,58622681,58622681,17.56,17.56,24119403,24119403,39.67,39.67,9048933,9048933,5.56,5.56,41659100,41659100,26.2,150584066,150584066,85.06,180158283,180158283,73.26,68.07,192243166,192243166,68.07,3051177,3051177,-49.69,-49.69,26.2,85.06,73.26
(주)CMG제약,58820,Dec-20,64459891,,9.96,,29740814,,23.31,,15046934,,66.28,,49374463,,,145981120,,,181131004,,,1.62,195355583,,,214996,,-92.95,,18.52,-3.06,0.54
(주)ES큐브,50120,Dec-10,34640205,43887335,22.59,0,1595923,3374904,8.74,0,757990,4166815,125.46,0,21539344,16368111,0,26290142,32820950,0,42087960,42621100,0,1.32,47829486,49189060,0,-2165930,-1632071,0,0,10.05,-4.87,3.4
(주)ES큐브,50120,Dec-11,41700477,53379952,20.38,0,1407274,4313834,-11.82,0,383848,5312339,-49.36,0,26447157,21398837,0,18786276,34078195,0,39144414,39245830,0,-5.43,45233434,55477032,0,-2933429,-4796438,0,0,22.79,-28.54,-6.99
