회사명,거래소코드,회계년도,감사의견코드(IFRS),감사의견(IFRS),기수(IFRS),소속코드,업종코드,회계년월,산업명,산업코드,산업명.1,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결),year,month
(주)극동자동화,272420,2017/12,,,,4,1,2017/12,    전기 및 통신 공사업,64203,    전기 및 통신 공사업,    전기 및 통신 공사업,2017/06/28,20181115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,12
(주)금오하이텍,165270,2013/12,,,,4,1,2016/12,    플라스틱제품 제조업,32202,    플라스틱제품 제조업,    플라스틱제품 제조업,2013/12/10,20170607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,12
(주)금오하이텍,165270,2014/12,,,,4,1,2016/12,    플라스틱제품 제조업,32202,    플라스틱제품 제조업,    플라스틱제품 제조업,2013/12/10,20170607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,12
(주)금오하이텍,165270,2015/12,,,,4,1,2016/12,    플라스틱제품 제조업,32202,    플라스틱제품 제조업,    플라스틱제품 제조업,2013/12/10,20170607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,12
(주)금오하이텍,165270,2016/12,,,,4,1,2016/12,    플라스틱제품 제조업,32202,    플라스틱제품 제조업,    플라스틱제품 제조업,2013/12/10,20170607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,12
(주)나노트로닉스,10670,2011/12,UQ,,37.0,4,1,2012/12,"    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",32702,"    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1996/05/14,20140411.0,129.2,117.95,2.28,16.8,139.61,322.22,44.96,0.21,-0.02,9.82,61.54,74.32,32.66,2.53,-9.94,1.85,0.92,-3.62,-8.09,2.06,0.36,0.81,1.24,5.31,0.87,5.26,69.39,68.8,420.34,0.0,1.09,-15.82,6.92,-6.98,0.0,-139.0,-36.77,-17.78,19.31,-5.03,0.0,1360.6,,34.46,41.73,0.33,17.03,0.52,0.57,,,,,,2067.74,,,,4.26,265.56,316.59,12.08,80.74,19.26,2011,12
(주)나노트로닉스,10670,2012/12,UQ,,38.0,4,1,2012/12,"    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",32702,"    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","    측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1996/05/14,20140411.0,128.9,116.35,11.65,15.69,123.72,330.81,45.27,1.4,-0.57,10.55,67.19,69.97,47.33,17.18,-16.38,7.42,6.67,-6.36,-14.7,15.41,0.39,0.9,1.39,5.84,0.88,6.06,60.22,62.55,414.55,0.0,1.53,13.53,6.24,13.78,0.0,-257.0,-44.98,24.23,0.02,11.9,670.24,1489.91,,255.99,44.7,0.3,32.19,0.54,0.59,,,,,,1143.73,,,,2.22,266.99,320.94,5.89,155.74,-55.74,2012,12
(주)나이코,192240,2014/12,,,,4,1,2015/12,    기타 종이 및 판지 제품 제조업,31709,    기타 종이 및 판지 제품 제조업,    기타 종이 및 판지 제품 제조업,2014/02/28,20161223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,12
(주)나이코,192240,2015/12,,,,4,1,2015/12,    기타 종이 및 판지 제품 제조업,31709,    기타 종이 및 판지 제품 제조업,    기타 종이 및 판지 제품 제조업,2014/02/28,20161223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,12
(주)네오퍼플,28090,2011/12,UQ,,46.0,4,1,2012/12,    기타 식품 제조업,31007,    기타 식품 제조업,    기타 식품 제조업,1996/11/29,20130503.0,85.06,69.66,0.16,-8.83,164.34,58.57,49.25,-2.55,-4.02,6.77,131.41,50.29,13.84,-11.27,-16.22,-7.74,-8.49,-12.21,-33.54,-22.43,0.75,1.99,1.51,8.27,6.08,11.68,31.24,44.14,60.02,0.01,0.37,0.0,0.0,0.0,0.0,-120.0,0.0,0.0,0.0,0.0,0.0,605.51,,-68.25,37.83,0.69,2.6,1.5,1.83,,,,,,-285.34,,,,-0.66,-2.28,-19.46,-0.88,0.0,0.0,2011,12
