회사명,,,회사명,,중복
CMG제약,,,CMG제약,,10
CMG제약,,,ES큐브,,10
CMG제약,,,가비아,,10
CMG제약,,,강스템바이오텍,,5
CMG제약,,,강원에너지,,10
CMG제약,,,고려시멘트,,4
CMG제약,,,고영테크놀러지,,10
CMG제약,,,골드앤에스,,10
CMG제약,,,골드퍼시픽,,10
CMG제약,,,골프존,,5
ES큐브,,,골프존뉴딘홀딩스,,9
ES큐브,,,광림,,10
ES큐브,,,광무,,10
ES큐브,,,구영테크,,10
ES큐브,,,국보디자인,,10
ES큐브,,,국순당,,10
ES큐브,,,국영지앤엠,,10
ES큐브,,,국전약품,,1
ES큐브,,,그래디언트,,10
ES큐브,,,그리티,,2
가비아,,,그린플러스,,1
가비아,,,글로벌스탠다드테크놀로지,,10
가비아,,,금오하이텍,,3
가비아,,,금화피에스시,,10
가비아,,,기가레인,,7
가비아,,,기산텔레콤,,10
가비아,,,까스텔바작,,1
가비아,,,나노,,6
가비아,,,나노브릭,,1
가비아,,,나노신소재,,9
강스템바이오텍,,,나노엔텍,,10
강스템바이오텍,,,나노트로닉스,,2
강스템바이오텍,,,나무가,,5
강스템바이오텍,,,나스미디어,,7
강스템바이오텍,,,나이벡,,9
강원에너지,,,나이스디앤비,,9
강원에너지,,,나이코,,1
강원에너지,,,나인테크,,1
강원에너지,,,내츄럴엔도텍,,7
강원에너지,,,네오리진,,10
강원에너지,,,네오셈,,2
강원에너지,,,네오오토,,5
강원에너지,,,네오위즈,,10
강원에너지,,,네오위즈홀딩스,,10
강원에너지,,,네오크레마,,1
고려시멘트,,,네오티스,,10
고려시멘트,,,네오팜,,10
고려시멘트,,,네오퍼플,,2
고려시멘트,,,네오펙트,,2
고영테크놀러지,,,네온테크,,1
고영테크놀러지,,,네이블커뮤니케이션즈,,8
고영테크놀러지,,,네이처셀,,10
고영테크놀러지,,,네패스,,10
고영테크놀러지,,,넥스지,,7
고영테크놀러지,,,넥스턴바이오사이언스,,10
고영테크놀러지,,,넥스트아이,,9
고영테크놀러지,,,넥스트엔터테인먼트월드,,6
고영테크놀러지,,,넥슨게임즈,,4
고영테크놀러지,,,넵튠,,5
골드앤에스,,,넷웨이브,,1
골드앤에스,,,노랑풍선,,1
골드앤에스,,,노바렉스,,2
골드앤에스,,,노바텍,,2
골드앤에스,,,노블엠앤비,,8
골드앤에스,,,노터스,,1
골드앤에스,,,녹십자엠에스,,6
골드앤에스,,,녹십자웰빙,,1
골드앤에스,,,녹원씨엔아이,,10
골드앤에스,,,누리플랜,,10
골드퍼시픽,,,누리플렉스,,10
골드퍼시픽,,,뉴로스,,8
골드퍼시픽,,,뉴보텍,,10
골드퍼시픽,,,뉴인텍,,10
골드퍼시픽,,,뉴트리,,2
골드퍼시픽,,,뉴파워프라즈마,,4
골드퍼시픽,,,뉴프렉스,,10
골드퍼시픽,,,다나와,,9
골드퍼시픽,,,다날,,10
골드퍼시픽,,,다린,,2
골프존,,,다산네트웍스,,10
골프존,,,다우데이타,,10
골프존,,,다원시스,,10
골프존,,,대국,,1
골프존,,,대동스틸,,10
골프존뉴딘홀딩스,,,대륙제관,,10
골프존뉴딘홀딩스,,,대림제지,,10
골프존뉴딘홀딩스,,,대명소노시즌,,10
골프존뉴딘홀딩스,,,대성미생물연구소,,10
골프존뉴딘홀딩스,,,대성엘텍,,10
골프존뉴딘홀딩스,,,대성파인텍,,10
골프존뉴딘홀딩스,,,대원,,3
골프존뉴딘홀딩스,,,대유,,2
골프존뉴딘홀딩스,,,대유에이피,,2
광림,,,대창솔루션,,10
광림,,,대창스틸,,6
광림,,,대한과학,,9
광림,,,대호특수강,,10
광림,,,더 미동,,7
광림,,,더블유게임즈,,2
광림,,,더블유아이,,10
광림,,,더블유에스아이,,1
광림,,,덕산테코피아,,1
광림,,,덕신하우징,,6
광무,,,데이타솔루션,,3
광무,,,데코앤이,,8
광무,,,덱스터스튜디오,,5
광무,,,덴티스,,1
광무,,,동구바이오제약,,2
광무,,,동국알앤에스,,10
광무,,,동국에스엔씨,,10
광무,,,동방선기,,10
광무,,,동서,,5
광무,,,동성하이켐,,4
구영테크,,,동성화인텍,,10
구영테크,,,동아엘텍,,10
구영테크,,,동양에스텍,,10
구영테크,,,동우팜투테이블,,10
구영테크,,,동운아나텍,,5
구영테크,,,동원개발,,10
구영테크,,,동일기연,,10
구영테크,,,동진쎄미켐,,10
구영테크,,,두산테스나,,7
구영테크,,,듀오백,,10
국보디자인,,,드래곤플라이,,10
국보디자인,,,드림시큐리티,,4
국보디자인,,,드림어스컴퍼니,,10
국보디자인,,,드림티엔터테인먼트,,4
국보디자인,,,디딤,,4
국보디자인,,,디모아,,10
국보디자인,,,디바이스이엔지,,3
국보디자인,,,디스플레이테크,,10
국보디자인,,,디아이디,,4
국보디자인,,,디아크,,10
국순당,,,디알젬,,2
국순당,,,디알텍,,5
국순당,,,디앤씨미디어,,3
국순당,,,디에스,,2
국순당,,,디에스앤엘,,7
국순당,,,디에스케이,,10
국순당,,,디에이치패션,,1
국순당,,,디에이테크놀로지,,6
국순당,,,디에이피,,10
국순당,,,디엔에이링크,,9
국영지앤엠,,,디엔에프,,10
국영지앤엠,,,디엠에스,,10
국영지앤엠,,,디오,,10
국영지앤엠,,,디와이디,,4
국영지앤엠,,,디이엔티,,10
국영지앤엠,,,디지아이,,10
국영지앤엠,,,디지캡,,2
국영지앤엠,,,디지털대성,,10
국영지앤엠,,,디지텍시스템스,,3
국영지앤엠,,,디지틀조선일보,,10
국전약품,,,디케이앤디,,2
그래디언트,,,디케이티,,2
그래디언트,,,디티앤씨,,6
그래디언트,,,디피앤케이,,2
그래디언트,,,딜리,,9
그래디언트,,,라닉스,,1
그래디언트,,,라온테크,,6
그래디언트,,,라이온켐텍,,7
그래디언트,,,라이트론,,10
그래디언트,,,라파스,,1
그래디언트,,,랩지노믹스,,6
그리티,,,러셀,,3
그리티,,,레고켐바이오사이언스,,7
그린플러스,,,레드로버,,10
글로벌스탠다드테크놀로지,,,레드캡투어,,10
글로벌스탠다드테크놀로지,,,레이,,1
글로벌스탠다드테크놀로지,,,레이언스,,4
글로벌스탠다드테크놀로지,,,레이크머티리얼즈,,1
글로벌스탠다드테크놀로지,,,렉스엘이앤지,,3
글로벌스탠다드테크놀로지,,,로보로보,,4
글로벌스탠다드테크놀로지,,,로보스타,,9
글로벌스탠다드테크놀로지,,,로보티즈,,2
글로벌스탠다드테크놀로지,,,로지시스,,5
글로벌스탠다드테크놀로지,,,루멘스,,10
금오하이텍,,,루트로닉,,10
금오하이텍,,,룩손에너지홀딩스,,2
금오하이텍,,,룽투코리아,,10
금화피에스시,,,리노스,,10
금화피에스시,,,리더스코스메틱,,10
금화피에스시,,,리드,,4
금화피에스시,,,리드코프,,10
금화피에스시,,,리메드,,1
금화피에스시,,,링네트,,10
금화피에스시,,,링크제니시스,,2
금화피에스시,,,마니커에프앤지,,1
금화피에스시,,,마이스코,,2
금화피에스시,,,마이크로디지탈,,1
기가레인,,,마이크로컨텍솔루션,,10
기가레인,,,마이크로프랜드,,4
기가레인,,,마크로젠,,10
기가레인,,,매직마이크로,,5
기가레인,,,매커스,,10
기가레인,,,머큐리,,2
기가레인,,,멀티캠퍼스,,10
기산텔레콤,,,메드팩토,,1
