회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
인지컨트롤스(주),023800,2017/12,-0.2,-0.01,-13.32,  자동차 및 트레일러 제조업,1997/06/23,,83.75,64.74,17.58,-7.96,126.97,2534.25,31.3,1.19,2.23,2.96,133.83,41.03,10.12,0.92,-0.17,1.3,1.07,2.44,1.15,2.64,2.02,12.19,5.44,7.54,48.4,29.95,67.12,0.02,0.1,-4.87,-2.56,-100.15,-1,-0.22,0.83,-12.02,-7.9,-72.82,35676.12,,329.39,44.06,1.29,3.32,2.7,3.47,,,,,,83916.46,,,,18.37,54.2,108.09,15.52,66.09,33.91,-1.11
(주)엔케이,085310,2020/12,-0.02,-0.03,-36.04,  금속가공제품 제조업; 기계 및 가구 제외,2008/01/24,,158.71,152.96,71.39,18.72,56.68,223.67,13.4,-0.25,-3.78,4.8,77.4,50.6,11.74,-0.45,-0.05,-0.13,-0.22,-0.35,0.49,0.77,0.83,11.94,3.26,5.91,61.76,30.57,111.99,0.01,0.11,-3.86,-0.23,0,0,-44.5,-29.27,48.09,-71.61,0,867.23,,-3.92,63.82,0.65,1.21,1.17,1.29,,,,,,3452.07,,,,2.46,8.45,44.28,4.98,139.72,-39.72,-1.03
(주)동양,001520,2019/12,-0.23,-0.05,1.76,  비금속 광물제품 제조업,1976/06/25,,237.06,189.89,6.28,22.06,24.2,685.67,3.49,-21.49,999999999,4.93,76.81,38.16,9.23,-3.73,-0.42,-0.92,-2.02,-2.43,0.54,0.65,0.9,6.94,3.62,6.18,59.06,52.61,100.93,0.01,0.23,4.08,-1.57,-111.74,-2,2.8,11.29,-5.82,-1.15,-2905.32,2248.9,,-83.93,80.51,0.99,2,1.35,1.67,,,,,,75509.39,,,,7.42,28.33,166.04,14.01,80.39,19.61,-3
(주)금호에이치티,214330,2019/12,-0.03,-0.05,19.99,  자동차 및 트레일러 제조업,2015/11/11,,154.66,117.86,48.55,22.49,86.57,1462.44,33.05,0.35,1.03,13.25,67.86,63.63,5.8,1.62,-0.03,1.76,1.45,2.73,0.9,1.69,2.51,5.11,4.55,8.84,41.29,71.37,80.24,0.01,1.21,35.11,38.27,-100.97,-3,5.47,41.43,31.75,-1.39,-61.32,11296.67,,182.62,53.6,0.87,4.62,1.39,1.91,,,,,,52694.04,,,,16.36,94.68,360.29,20.99,62.82,37.18,-0.14
한세실업(주),105630,2019/12,-1.47,-0.06,12.25,"  의복, 의복 액세서리 및 모피제품 제조업",2009/03/20,,115.4,69.42,12.75,8.37,159.22,1988.94,45.36,3.05,0.34,3.73,96.65,62.71,20.9,3.07,-0.9,5.78,5.02,12.45,1.64,4.06,4.9,6.52,10.61,35.67,10.23,55.99,34.41,0.01,0,0.75,-3.51,0,-6,1.73,27.52,-10.44,-0.12,52.73,48060.47,,1475,38.58,1.38,10.45,2.46,3.94,,,,,,341007.62,,,,28.91,190.72,620.39,17.74,85.01,14.99,-5.06
(주)휴비스,079980,2019/12,-0.03,-0.07,-18.47,  화학물질 및 화학제품 제조업; 의약품 제외,2012/02/23,,84.29,43.84,4.4,-6.13,121.44,228.14,33.45,0.52,1.17,3.67,148.62,32.88,9.82,0.47,-0.03,0.55,0.53,1.21,1.12,2.56,2,6.5,7.55,5.6,65.12,56.18,48.36,0.03,0.12,-8.45,-2.88,-101.52,-9,4.65,33.36,-44.17,-22.43,-85.83,29836.13,,141.08,45.16,1.29,2.4,2.56,4.22,,,,,,129052.3,,,,14.71,32.77,77.88,12.54,60.9,39.1,-0.23
한국수출포장공업(주),002200,2016/12,-0.07,-0.09,-1.05,"  펄프, 종이 및 종이제품 제조업",1974/06/08,,159.19,120.77,19.51,8.68,33.72,1120.53,8.44,7.01,5.18,1.72,102.51,23.34,13.37,1.34,-0.09,1.06,1.02,1.36,0.76,1.01,0.99,12.89,5.43,17.67,20.65,28.31,67.23,0.01,1.55,-0.45,-0.79,0,-52,-3.89,-0.88,0.99,-8.9,13.86,57065.1,,767.23,74.78,2.06,1.08,3.28,4.4,,,,,,33839.73,,,,11.29,16.3,56.71,14.83,60.44,39.56,-0.61
(주)에스비에스,034120,2016/12,-0.06,-0.09,4.56,  방송업,2003/06/25,,190.64,189.67,3.09,22.97,65.35,592.47,21.19,-1.89,0.79,2.31,85.46,48.32,15.71,-0.92,-0.06,-0.43,-0.84,-1.38,0.91,1.5,1.88,365.69,4.19,18.39,19.85,1,87.08,0.01,0,-4.3,-4.83,-101.5,-29,-0.88,10.45,-16.27,-5.89,-118.16,45422.26,,-419.34,60.48,1.18,2.58,1.75,1.76,,,,,,267438.32,,,,29.91,90.76,11630.89,32.26,69.63,30.37,-0.19
자화전자(주),033240,2019/12,-0.08,-0.1,1.31,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1999/01/06,,267.19,220.25,101.25,32.26,25.07,3112.87,7.63,-13.75,999999999,2.3,60.6,51.55,11.45,-2.52,-0.08,-1.77,-2.61,-3.3,1.04,1.31,2.23,12.16,12.31,19.96,18.28,30.03,29.66,0.02,0.22,-1.06,0.59,0,-17,0.74,8.2,-8.43,12.01,0,20280.87,,-511.67,79.95,1.41,3.16,1.93,2.3,,,,,,108627.42,,,,31.17,101.96,231.51,29.92,65.56,34.44,-0.26
삼정펄프(주),009770,2018/12,-0.09,-0.1,-5.43,"  펄프, 종이 및 종이제품 제조업",2006/10/17,,893.17,780.6,44.44,69.95,11.91,1442.78,0.79,-90,999999999,2.34,23.76,78.77,3.06,-3.16,-0.13,-1.18,-2.1,-2.36,0.66,0.75,2.2,7.38,9.82,15.7,23.25,49.47,37.17,0.02,0.67,-2.23,-1.67,-101.67,-70,-12.39,-46.58,25.95,19.79,-156.1,54245.68,,-1716.78,89.36,0.84,3.05,0.95,1.09,,,,,,22688.65,,,,11.24,54.66,139.18,16.73,75.82,24.18,-0.77
