회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)DB하이텍,000990,2010/12,-9.31,-37.78,-49.85,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,224.88,167.25,67.07,12.51,247.03,187.47,56.82,-3.82,-2.05,8.79,268.87,22.52,-21.57,-61.04,-30.83,-18.32,-18.43,-75.28,0.3,1.23,0.38,3.47,5.07,7.16,51,105.33,72.04,0.01,0.73,-49.34,-35.16,0,-5072,-59.87,-50.43,-45.2,-71.33,0,14602.72,,-8913.44,28.82,0.79,0.43,1.41,2.38,,,,,,377761.65,,,,27.35,47.49,117,60.93,41.59,58.41,-50.6
(주)DB하이텍,000990,2011/12,-7.59,-27.74,-10.94,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,35.2,25.5,5.04,-42.95,289.22,143.54,59,-0.75,-0.79,7.71,298.42,23.33,16.62,-7.81,-17.74,-2.91,-3.34,-12.22,0.43,1.56,0.56,7.04,6.12,20.51,17.79,51.83,59.6,0.01,0,-13.19,-22.6,0,-2541,-7.89,-14.1,-10.08,-3.28,0,12865.19,,-1005.29,25.69,0.72,0.7,1.87,2.54,,,,,,217837.57,,,,18.17,29.75,78.9,39.45,62.53,37.47,-44.96
(주)DB하이텍,000990,2013/12,-7.49,-33.51,-16.42,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,46.76,31.58,7.39,-23.99,416.9,92,62.73,-0.16,-0.44,8.85,408.01,21.07,18.08,-1.95,-16.82,-0.6,-0.87,-3.88,0.45,1.99,0.59,6.51,7.74,20.81,17.54,56.05,47.13,0.01,0,-8.58,-29.61,0,-2066,-7.2,-1.55,-27.88,-8.69,0,11092.77,,-215.91,19.35,0.63,0.75,1.86,2.6,,,,,,191554.48,,,,18.1,31.86,112.45,38.8,67.15,32.85,-43.35
(주)HJ중공업,097230,2010/12,-0.92,-3.58,-13.92,  종합 건설업,2007/08/31,,79.27,70.87,32.09,-9.58,284.77,817.47,34.35,0.54,0.56,6.54,243.79,36.64,10.29,3.78,-2.28,1.89,1.53,5.93,0.4,1.57,0.66,8.38,19.62,9.35,39.05,43.58,18.6,0.04,0.05,-7.93,-6.09,0,-1512,-27.89,-0.87,-18.03,-37.11,-69.33,66256.75,,2504.17,25.99,0.48,0.83,1.04,1.18,,,,,,548737,,,,7.29,17.28,131.52,17.32,40.02,59.98,-13.17
(주)HJ중공업,097230,2011/12,-1.33,-5.07,-8.72,  종합 건설업,2007/08/31,,96.33,81.81,34.4,-1.29,276.93,772.2,48.42,0.55,0.52,6.6,248.82,33.99,7.85,3.73,-3.35,1.85,1.48,5.65,0.4,1.51,0.61,8.86,10.97,10.41,35.07,41.19,33.26,0.03,0.11,-6.49,-4.59,0,-2007,-1.53,-2.58,-13.26,23.47,-9.82,59879.7,,2236.02,26.53,0.52,0.91,1.12,1.29,,,,,,494018,,,,7.02,15.81,125.15,17.09,41.15,58.85,-19.62
(주)HJ중공업,097230,2012/12,-0.78,-2.95,-11.83,  종합 건설업,2007/08/31,,92.89,83.75,29.88,-2.64,283.85,709.67,56.24,0.27,0.75,5.43,251.29,34.54,7.49,2.08,-2.09,1.05,0.78,2.95,0.37,1.42,0.57,8.72,9.73,11.03,33.1,41.84,37.52,0.02,0.13,-6.42,-8.1,0,-1095,-7.72,-7.2,-4.91,-37.93,-50.99,52793.54,,1095.79,26.05,0.53,0.84,1.09,1.25,,,,,,543885,,,,8.26,19.11,156.53,21.33,39.22,60.78,-9.78
(주)HJ중공업,097230,2013/12,-2.87,-11.28,-0.78,  종합 건설업,2007/08/31,,84.9,66.58,17.98,-7.42,307.77,472.61,56.46,-0.4,-0.64,4.69,237.61,41.73,2.57,-2.75,-7.52,-0.77,-1.05,-4.15,0.38,1.51,0.62,6.13,10.82,10.62,34.37,59.57,33.75,0.02,0.16,1.49,-4.44,0,-2931,-3.21,-9.66,22.63,168.88,0,39241.14,,-1079.4,24.52,0.47,0.89,1,1.19,,,,,,358044,,,,5.36,12.86,109.23,14.16,78.13,21.87,-53.12
(주)HJ중공업,097230,2014/12,-4.56,-18.64,-0.36,  종합 건설업,2007/08/31,,93.12,70.06,12.33,-3.02,311.31,307.71,52.96,-0.88,-1.07,4.58,243.01,40.92,-0.67,-5.75,-11.9,-2.05,-2.2,-9.03,0.38,1.57,0.65,4.01,10,9.67,37.73,91.07,36.52,0.01,0.23,-3.19,-3.88,0,-3674,-3.73,-1.84,-5.07,8.98,0,30961.17,,-1781.12,24.31,0.44,0.91,0.93,1.21,,,,,,291365,,,,4.5,11,96.65,11.56,96.22,3.78,-102.9
(주)HJ중공업,097230,2016/12,-5.99,-29.53,-9.7,  종합 건설업,2007/08/31,,89.96,64.36,5.26,-5.04,487.19,168.96,59.62,-0.58,-1.72,4.39,322.2,45.13,2.12,-2.82,-11.89,-1.21,-1.42,-7.01,0.5,2.49,0.88,3.63,17.69,8.73,41.82,100.48,20.63,0.01,0.08,-11.13,-34.57,0,-3216,-12.12,-17.24,-2.36,-22.77,0,27042.57,,-762.45,17.03,0.52,1.09,1.17,1.73,,,,,,221273,,,,4.21,9.42,89.18,7.87,127.06,-27.06,-151.15
(주)HJ중공업,097230,2017/12,-5.87,-37.73,-12.83,  종합 건설업,2007/08/31,,56.89,35.58,4.37,-34.12,628.81,108.99,58.98,-1.08,-1.78,3.84,400.64,45.03,0.87,-4.76,-11.34,-2.29,-2.47,-15.85,0.52,3.33,0.94,3.54,18.47,8.59,42.51,103.04,19.76,0.01,0.07,-19.97,-35.5,0,-2622,-25.45,-19.82,-20.15,5.11,0,23123.58,,-1100.33,13.72,0.48,1.17,1.15,1.7,,,,,,171765,,,,4.08,9.62,88.72,7,119.69,-19.69,-161.84
(주)HJ중공업,097230,2018/12,-36.99,0,-30.76,  종합 건설업,2007/08/31,,80.41,56.15,10.7,-15.34,0,-133.46,61.15,0.62,0.91,4.82,0,62.95,8.29,3.63,-75.6,2.05,1.78,0,0.49,0,1.02,2.76,14.13,7.12,51.3,132.07,25.83,0.01,0.1,-35.02,-222.45,0,0,-64.36,-56.21,-9.15,-26.83,0,16009.7,,581.56,-25.91,0.37,1.4,0.94,1.42,,,,,,390449,,,,14.28,61.34,1195.57,23,46.6,53.4,-328.76
(주)MH에탄올,023150,2010/12,-1.35,-3.46,-14.59,  음료 제조업,1996/12/24,,59.65,48.97,1.16,-23.07,189.26,1040.05,7.09,0.77,0.88,10.58,190.63,34.1,14.74,6.26,-3.26,3.46,2.59,7.52,0.41,1.2,0.61,5.89,5.92,60.95,5.99,62.01,61.63,0.01,0,2.58,1.65,0,-225,1.5,-2.98,15.34,-21.46,-29.87,7864.07,,492.68,34.57,0.47,0.76,1.28,1.64,,,,,,13425.58,,,,9.95,18.42,431.7,24.39,34.52,65.48,-13.35
