회사명,거래소코드,회계년도,산업명,상장일,상장폐지일,[제조]매출액(수익)(*)(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)BNK금융지주,138930,2011/12,  은행업,2011/03/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2012/12,  은행업,2011/03/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,  은행업,2011/03/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,  은행업,2011/03/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/12,  은행업,2011/03/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2016/12,  은행업,2011/03/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2017/12,  은행업,2011/03/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2018/12,  은행업,2011/03/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2019/12,  은행업,2011/03/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2020/12,  은행업,2011/03/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)DB하이텍,000990,2011/12,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,552216245,35.2,25.5,5.04,-42.95,289.22,143.54,59,-0.75,-0.79,7.71,298.42,23.33,16.62,-7.81,-17.74,-2.91,-3.34,-7.59,-27.74,-12.22,0.43,1.56,0.56,7.04,6.12,20.51,17.79,51.83,59.6,0.01,0,-10.94,-13.19,-22.6,0,-2541,-7.89,-14.1,-10.08,-3.28,0,12865.19,,-1005.29,25.69,0.72,0.7,1.87,2.54,,,,,,217837.57,,,,18.17,29.75,78.9,39.45,62.53,37.47,-44.96
(주)DB하이텍,000990,2012/12,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,590786488,55.66,41.39,7.19,-21.27,298,130.71,58.88,-0.31,-0.06,7.23,291.73,26.7,16.38,-2.64,-5.31,-0.98,-1.33,-2.66,-10.47,-5.22,0.5,1.97,0.67,7.56,8.08,28.86,12.65,48.31,45.19,0.01,0,6.98,-3.44,-5.57,0,-780,-9.69,-7.69,10.52,2.79,0,13272.77,,-350.96,25.13,0.61,0.82,2.01,2.73,,,,,,245655.23,,,,21.22,37.03,112.22,41.58,55.93,44.07,-12.76
(주)DB하이텍,000990,2013/12,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,493752028,46.76,31.58,7.39,-23.99,416.9,92,62.73,-0.16,-0.44,8.85,408.01,21.07,18.08,-1.95,-16.82,-0.6,-0.87,-7.49,-33.51,-3.88,0.45,1.99,0.59,6.51,7.74,20.81,17.54,56.05,47.13,0.01,0,-16.42,-8.58,-29.61,0,-2066,-7.2,-1.55,-27.88,-8.69,0,11092.77,,-215.91,19.35,0.63,0.75,1.86,2.6,,,,,,191554.48,,,,18.1,31.86,112.45,38.8,67.15,32.85,-43.35
(주)DB하이텍,000990,2014/12,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,567718224,65.77,47.39,10.72,-13.08,715.95,54.23,66.85,0.67,-0.35,10.23,610.83,25.14,24.11,8.03,-13.56,4.65,4.46,-7.54,-47.32,28,0.56,3.49,0.72,8.02,8.06,17.22,21.2,45.51,45.31,0.01,0,14.98,-6.95,-41.05,0,-1915,-6.96,-11.75,11.04,-4.42,0,12754.51,,1023.57,12.26,0.86,0.92,2.41,3.45,,,,,,187341.51,,,,19.02,33.99,136.97,33,68.59,31.41,-41.11
