,회사명,거래소코드,회계년도_x,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,매출액증가율(IFRS연결)
10,(주)ES큐브,50120,2011-12-01,2002-04-25,,  도매 및 상품 중개업,5,0,21.63
11,(주)ES큐브,50120,2012-12-01,2002-04-25,,  도매 및 상품 중개업,5,0,4.85
30,(주)강스템바이오텍,217730,2015-12-01,2015-12-21,,  연구개발업,5,0,14745.93
32,(주)강스템바이오텍,217730,2017-12-01,2015-12-21,,  의료용 물질 및 의약품 제조업,5,0,983.64
37,(주)강원에너지,114190,2012-12-01,2009-11-20,,  금속가공제품 제조업; 기계 및 가구 제외,5,0,112
40,(주)강원에너지,114190,2015-12-01,2009-11-20,,  금속가공제품 제조업; 기계 및 가구 제외,5,0,-10.28
46,(주)고려시멘트,198440,2017-12-01,2014-08-13,,  비금속 광물제품 제조업,5,0,876502.76
50,(주)고바이오랩,348150,2020-12-01,2020-11-18,,  연구개발업,5,0,696.42
73,(주)골드퍼시픽,38530,2013-12-01,2000-06-09,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,-31.68
74,(주)골드퍼시픽,38530,2014-12-01,2000-06-09,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,130
78,(주)골드퍼시픽,38530,2018-12-01,2000-06-09,,  도매 및 상품 중개업,5,0,13.45
81,(주)골프존,215000,2016-12-01,2015-04-03,,  출판업,5,0,7.64
99,(주)광림,14200,2014-12-01,1993-07-07,,  자동차 및 트레일러 제조업,5,0,123.74
101,(주)광림,14200,2016-12-01,1993-07-07,,  자동차 및 트레일러 제조업,5,0,-63.2
106,(주)광무,29480,2011-12-01,1996-08-27,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",6,0,-36.69
107,(주)광무,29480,2012-12-01,1996-08-27,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",6,0,-20.44
