[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
68.34,0.42,58.88,14.11,2.07,77.05,1.45,0.74,28.72,2013,0
48.74,0.56,69.23,18.5,1.86,68.15,0.69,0.32,20.7,2014,0
46.47,0.75,64.54,20.78,2.1,1.66,-13.5,-7.62,-44.1,2015,0
70.98,0.54,58.3,9.76,2.66,6.43,5.24,2.34,36.47,2016,0
74.13,0.46,55.76,11.87,3.01,-12.01,6.83,2.85,35.91,2017,0
71.14,0.55,40.86,10.0,3.08,16.47,12.16,6.01,32.67,2018,0
61.43,1.09,18.51,41.36,4.27,30.73,-8.99,-12.61,-20.2,2011,0
49.06,2.03,10.05,16.11,12.19,10.17,-0.64,0.29,13.89,2012,0
81.37,1.69,7.71,11.25,15.18,-58.53,-28.08,-40.47,-710.1,2013,0
81.63,0.94,8.83,14.07,13.48,18.41,-1.38,1.15,17.27,2014,0
74.04,0.85,10.27,12.01,14.27,38.88,-5.47,1.56,-97.05,2015,0
48.39,0.68,11.62,46.68,13.3,275.9,41.16,38.07,83.83,2016,0
48.2,0.66,11.55,45.42,13.8,1.06,4.86,2.41,44.51,2017,0
44.4,1.41,3.28,33.47,12.66,22.02,13.28,18.06,52.08,2011,0
37.54,1.54,7.81,44.62,12.67,47.43,13.64,21.3,50.21,2012,0
41.01,1.42,11.32,32.99,11.61,1.07,13.45,15.65,48.33,2013,0
42.54,1.45,10.72,30.51,27.05,5.21,8.4,8.18,45.15,2014,0
49.71,1.48,9.75,24.95,25.06,-6.68,9.31,11.99,48.03,2015,0
47.89,1.4,12.64,31.1,10.12,24.06,9.96,10.68,41.73,2016,0
49.57,1.32,19.48,33.52,7.68,2.61,8.32,8.88,40.03,2017,0
51.54,1.27,15.99,32.62,7.13,9.09,11.92,12.58,42.38,2018,0
53.49,0.29,49.54,92.79,20.71,131.69,-126.27,-46.19,0.0,2017,0
90.18,0.8,60.27,147.2,2.56,51.99,8.43,24.85,60.72,2012,0
84.97,0.46,88.23,57.9,1.77,24.16,7.74,9.57,42.43,2013,0
72.8,0.67,56.23,32.89,2.52,67.54,2.18,2.33,15.44,2014,0
73.64,0.56,70.79,51.03,2.93,23.54,0.22,0.18,12.78,2015,0
69.59,0.57,61.42,40.11,1.99,4.17,-2.66,-1.99,16.24,2016,0
73.05,0.98,45.93,92.91,2.27,6.99,-7.86,-12.58,-710.1,2017,0
75.18,0.8,56.25,86.93,1.97,-7.26,1.99,4.19,40.14,2018,0
72.76,1.21,30.92,24.97,3.74,20.36,18.15,25.06,69.73,2011,0
