[제조]총자본증가율,[제조]자기자본증가율,[제조]매출채권회전률,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]자본분배율,year,label
10.06,11.78,2.81,15.96,2705.16,89.68,39.17,67.83,54.11,2018,0
17.03,17.98,3.78,63.72,2190.86,26.5,78.46,81.29,56.14,2013,0
22.83,19.62,3.49,65.3,2295.46,25.58,79.38,80.6,62.85,2016,0
5.17,2.83,3.33,62.9,2357.41,27.18,78.63,78.61,55.29,2017,0
17.92,3.14,26.82,10.91,2304.23,84.23,43.93,66.56,63.69,2013,0
19.47,14.57,27.89,-2.06,2639.88,120.34,23.19,63.83,68.83,2014,0
0.69,12.7,16.09,-0.84,2559.37,121.55,12.66,71.85,-22.17,2015,0
-0.85,-3.8,50.51,-5.56,2462.23,124.69,13.45,69.41,39.98,2016,0
-0.56,-5.02,40.0,-0.45,2338.7,127.6,15.51,66.21,0.3,2017,0
2.41,-3.25,25.51,-14.11,2262.58,138.85,12.9,62.73,46.58,2018,0
6.88,12.05,56.52,37.19,2221.53,40.81,75.9,59.05,24.57,2015,0
12.31,4.35,59.98,39.14,2318.1,33.9,81.4,54.86,21.64,2016,0
3.74,14.21,59.98,45.03,2647.57,28.96,82.51,60.4,28.25,2017,0
5.32,7.59,9.81,35.08,2094.75,63.84,41.67,91.37,39.72,2012,0
4.0,1.42,8.88,39.81,2124.5,60.43,46.1,89.2,34.72,2013,0
-0.29,1.25,8.22,39.12,2150.98,60.05,45.66,90.5,30.89,2014,0
-0.41,0.58,6.36,39.93,2163.53,60.24,44.89,91.5,-13.41,2015,0
-1.65,-1.92,6.45,34.96,2121.96,65.84,40.03,91.09,-5.09,2016,0
13.71,14.67,7.28,30.73,2433.16,70.21,35.78,91.47,44.66,2017,0
-1.48,-2.41,8.71,25.62,2374.42,76.83,30.55,90.39,24.21,2018,0
14.14,17.29,8.39,53.36,2544.84,37.86,69.31,81.07,37.28,2011,0
86.21,50.18,2.23,17.94,2152.78,72.56,71.29,39.57,43.77,2016,0
19.72,21.88,3.35,22.06,2623.74,58.43,76.37,40.44,48.79,2017,0
32.47,45.48,11.88,4.54,2337.11,137.75,29.85,50.93,75.26,2015,0
11.96,12.55,16.95,-2.02,2630.42,145.02,25.75,51.2,81.41,2016,0
44.44,5.29,7.87,6.42,2269.75,142.36,37.95,43.58,58.72,2011,0
-0.07,5.33,5.95,18.77,2390.72,105.44,51.39,46.1,45.55,2012,0
-19.01,12.72,6.01,11.14,2694.76,115.92,32.34,58.37,53.5,2013,0
-16.48,-3.89,5.9,34.64,2589.97,78.43,47.23,67.28,21.68,2014,0
-11.57,-6.61,5.81,43.87,2418.85,40.48,71.42,70.6,-11.14,2015,0
-15.21,2.5,7.13,48.97,2479.42,44.57,61.94,85.39,27.72,2016,0
-4.12,-2.16,8.1,51.27,2425.79,43.65,62.03,86.99,6.69,2017,0
20.49,12.28,9.25,28.38,2723.74,70.86,42.26,81.49,37.03,2018,0
3.38,-0.92,2.77,46.9,1016.41,42.45,65.4,81.5,6.32,2014,0
23.79,29.84,2.94,62.3,1011.99,28.25,75.47,86.82,4.65,2016,0
41.26,42.55,6.22,34.16,2229.22,83.08,60.89,47.07,55.74,2013,0
56.06,84.95,8.08,42.54,2459.5,47.42,62.87,78.31,53.91,2016,0
27.54,34.14,15.49,57.28,2174.1,71.25,84.61,21.61,70.55,2015,0
42.64,11.84,20.41,46.55,2266.45,93.64,84.21,16.87,64.29,2016,0
33.29,8.95,27.64,45.08,2469.36,91.52,85.99,15.3,67.38,2017,0
45.78,-7.93,40.07,30.64,2273.53,126.29,83.54,13.04,64.39,2018,0
4.97,6.96,6.01,21.23,2088.09,86.98,25.58,85.56,66.89,2014,0
16.54,20.75,5.98,16.85,2190.32,96.8,21.57,81.03,82.8,2016,0
22.49,32.93,6.96,55.9,2664.34,31.63,75.16,78.53,50.16,2017,0
9.86,4.61,5.56,47.44,2787.09,37.59,72.88,72.15,53.95,2018,0
16.0,21.57,12.5,14.65,2378.1,92.31,32.64,72.97,69.54,2018,0
36.91,60.8,2.3,34.73,1030.96,56.27,61.57,68.29,40.75,2014,0
23.14,20.86,15.0,-25.92,2212.68,206.09,13.16,42.14,82.24,2011,0
-0.2,9.3,16.63,-27.91,2418.48,183.91,15.13,46.15,81.59,2012,0
13.25,10.42,18.02,-20.41,2670.43,194.6,12.45,44.99,80.63,2013,0
3.2,6.78,5.31,62.61,2129.35,31.57,71.56,90.09,56.76,2017,0
2.38,2.96,5.26,64.89,2192.33,29.44,73.31,90.65,67.55,2018,0
31.7,104.44,3.89,37.71,2108.12,40.34,75.83,59.92,22.96,2018,0
48.05,78.7,7.01,39.27,2126.99,56.64,59.99,70.64,44.72,2016,0
21.39,11.65,58.99,34.52,2066.55,21.52,92.89,30.09,67.37,2016,0
17.83,11.44,53.71,30.95,2303.04,21.62,92.89,28.46,64.6,2017,0
2.32,5.08,59.98,29.9,2420.1,23.43,92.89,29.23,60.96,2018,0
136.09,130.7,5.28,74.99,2745.55,14.36,87.52,86.92,26.35,2018,0
-1.15,5.26,6.41,43.09,996.77,53.06,53.53,87.56,42.81,2015,0
6.81,16.28,4.75,40.72,2056.19,45.12,69.11,68.46,53.26,2013,0
32.45,11.82,3.77,47.32,2268.25,66.04,61.84,57.78,47.37,2014,0
0.96,26.14,4.85,41.21,2242.79,39.19,74.16,65.94,36.19,2018,0
-35.35,-45.77,8.51,20.36,2134.81,74.8,46.43,71.62,34.53,2015,0
19.25,20.23,8.15,26.46,2566.73,66.22,52.32,72.0,39.32,2016,0
7.9,10.61,8.2,37.62,2839.16,53.87,60.35,73.6,34.59,2017,0
12.59,9.95,4.04,21.38,2145.66,79.16,39.51,76.42,66.28,2013,0
187.78,333.24,16.11,70.71,2416.41,20.74,82.17,85.97,79.65,2017,0
10.27,15.82,14.77,64.41,2765.82,30.78,72.21,90.3,67.75,2018,0
27.28,27.63,16.44,3.56,2376.89,96.53,38.44,63.78,62.56,2013,0
