[제조]총자본증가율,[제조]자기자본증가율,[제조]매출채권회전률,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]자본분배율,year,label
1.98,-2.02,2.45,28.23,82.55,66.34,56.18,66.05,10.18,2011,0
109.15,75.17,1.85,70.6,95.69,31.65,82.49,55.32,-710.1,2012,0
-2.09,55.1,2.07,58.5,113.12,36.13,68.34,87.63,28.72,2013,0
3.86,0.01,1.86,33.72,113.13,60.75,48.74,84.39,20.7,2014,0
-2.64,-4.48,2.1,30.82,106.02,64.65,46.47,82.8,-44.1,2015,0
96.31,116.01,2.66,62.75,186.02,31.85,70.98,91.1,36.47,2016,0
-1.27,-3.13,3.01,64.2,179.9,28.94,74.13,89.39,35.91,2017,0
4.39,6.16,3.08,63.71,190.99,31.75,71.14,90.91,32.67,2018,0
12.78,-7.92,4.27,34.75,327.25,54.53,61.43,70.74,-20.2,2011,0
-16.58,1.56,12.19,38.68,335.11,59.14,49.06,86.12,13.89,2012,0
1.85,6.4,15.18,73.67,228.55,20.72,81.37,89.89,-710.1,2013,0
20.1,0.17,13.48,71.03,228.93,20.95,81.63,87.66,17.27,2014,0
-1.75,1.85,14.27,64.37,233.16,29.08,74.04,89.27,-97.05,2015,0
89.08,68.52,13.3,45.15,344.51,75.71,48.39,68.18,83.83,2016,0
0.69,1.56,13.8,44.7,174.95,75.33,48.2,68.77,44.51,2017,0
6.17,-6.15,11.85,6.62,164.19,95.22,40.08,62.93,-290.13,2018,0
22.76,20.26,12.66,22.99,432.15,74.21,44.4,74.92,52.08,2011,0
31.24,28.11,12.67,20.11,528.7,90.33,37.54,69.15,50.21,2012,0
7.02,16.43,11.61,24.57,615.59,78.45,41.01,75.19,48.33,2013,0
8.02,9.56,27.05,26.07,664.46,74.99,42.54,76.63,45.15,2014,0
6.63,12.25,25.06,37.14,745.83,62.84,49.71,80.03,48.03,2015,0
19.71,4.78,10.12,31.68,781.47,68.32,47.89,76.28,41.73,2016,0
6.03,5.42,7.68,27.52,823.81,67.34,49.57,74.89,40.03,2017,0
13.54,12.64,7.13,31.87,927.98,64.26,51.54,75.4,42.38,2018,0
89.9,8.19,3.59,73.22,323.31,41.24,80.03,48.43,0.0,2016,0
-0.51,6.55,20.71,40.0,302.13,89.67,53.49,51.87,0.0,2017,0
55.08,94.25,7.39,39.53,458.01,50.86,66.94,65.01,0.0,2018,0
66.16,47.36,2.56,30.82,681.28,24.28,90.18,40.45,60.72,2012,0
-18.84,27.06,1.77,48.31,724.37,23.73,84.97,63.33,42.43,2013,0
-7.46,9.96,2.52,48.05,701.07,36.15,72.8,75.25,15.44,2014,0
27.48,12.17,2.93,51.57,709.27,39.82,73.64,66.21,12.78,2015,0
-9.68,-2.65,1.99,53.93,690.5,42.6,69.59,71.37,16.24,2016,0
20.72,-12.43,2.27,36.89,604.64,51.99,73.05,51.84,-710.1,2017,0
0.71,4.7,1.97,28.72,628.4,46.39,75.18,53.5,40.14,2018,0
10.06,11.78,2.81,15.96,2705.16,89.68,39.17,67.83,54.11,2018,0
23.1,26.19,3.74,55.63,1608.46,34.04,72.76,80.02,69.73,2011,0
18.79,19.87,4.19,60.23,1857.36,30.57,75.33,80.7,63.72,2012,0
17.03,17.98,3.78,63.72,2190.86,26.5,78.46,81.29,56.14,2013,0
17.17,17.86,4.23,62.22,1721.05,28.55,76.66,81.74,64.04,2014,0
12.09,13.43,3.62,63.47,1923.26,28.16,76.69,82.76,59.48,2015,0
22.83,19.62,3.49,65.3,2295.46,25.58,79.38,80.6,62.85,2016,0
5.17,2.83,3.33,62.9,2357.41,27.18,78.63,78.61,55.29,2017,0
35.99,40.01,3.17,67.04,3300.23,22.8,81.55,80.94,64.89,2018,0
3.62,3.75,6.78,3.73,86.85,103.4,50.3,48.07,61.86,2011,0
11.3,14.17,6.26,11.48,71.5,99.1,51.32,49.12,15.82,2012,0
-0.98,-60.53,6.81,-27.23,42.59,271.57,30.7,25.52,-456.52,2013,0
-9.55,-12.14,6.26,-21.44,146.14,260.34,32.39,25.97,-39.48,2014,0
-47.32,70.64,4.35,30.79,153.84,57.64,63.75,62.9,-59.17,2015,0
-22.53,-5.88,3.27,26.73,142.4,70.16,46.38,76.42,58.31,2016,0
-8.02,-6.42,4.12,44.44,120.41,47.53,63.07,77.71,0.0,2017,0
147.31,3.24,5.94,-16.42,121.1,155.6,49.52,32.44,0.0,2018,0
18.86,3.59,8.87,45.96,195.3,56.65,54.98,79.46,53.1,2011,0
8.69,5.03,3.56,51.73,197.82,47.24,63.73,76.78,45.61,2012,0
12.81,-29.38,1.46,17.61,125.97,104.87,49.6,48.06,0.0,2013,0
24.52,2.33,2.16,14.19,89.29,108.97,56.96,39.5,-241.31,2014,0
-31.89,35.22,2.95,35.75,79.93,67.33,50.06,74.17,0.0,2015,0
-47.32,-76.57,3.37,-11.2,42.59,300.77,48.9,16.99,0.0,2016,0
138.88,183.89,3.44,-13.3,161.2,174.35,64.8,20.19,57.07,2017,0
42.37,274.44,5.56,31.19,234.43,68.88,63.42,53.1,0.0,2018,0
5.49,10.84,17.57,17.74,3843.66,81.34,47.78,64.2,61.75,2016,0
34.99,56.94,13.6,42.84,6032.07,49.15,63.31,74.66,63.77,2017,0
0.15,2.99,11.28,35.79,6212.16,55.81,57.18,76.72,49.6,2018,0
100.9,114.66,29.65,65.89,5680.88,29.17,73.08,92.31,67.98,2011,0
43.08,17.98,28.11,25.77,6407.62,66.47,49.42,76.1,70.07,2012,0
17.92,3.14,26.82,10.91,2304.23,84.23,43.93,66.56,63.69,2013,0
19.47,14.57,27.89,-2.06,2639.88,120.34,23.19,63.83,68.83,2014,0
0.69,12.7,16.09,-0.84,2559.37,121.55,12.66,71.85,-22.17,2015,0
-0.85,-3.8,50.51,-5.56,2462.23,124.69,13.45,69.41,39.98,2016,0
-0.56,-5.02,40.0,-0.45,2338.7,127.6,15.51,66.21,0.3,2017,0
2.41,-3.25,25.51,-14.11,2262.58,138.85,12.9,62.73,46.58,2018,0
-21.74,3.05,5.45,29.83,372.66,65.12,57.26,65.63,42.38,2011,0
3.95,12.04,6.35,36.46,332.14,57.06,59.64,70.74,22.22,2012,0
13.17,2.04,8.26,37.83,338.91,54.17,65.45,63.78,23.22,2013,0
141.05,99.04,6.17,26.21,342.88,73.6,61.24,52.67,17.74,2014,0
21.66,22.09,19.39,2.21,423.13,109.66,39.38,55.28,39.87,2015,0
56.89,40.31,4.24,-7.7,407.4,124.65,38.38,49.44,-2.57,2016,0
-9.38,-5.23,8.29,2.26,386.08,120.61,37.57,51.76,-151.07,2017,0
-9.73,-17.97,7.18,-7.46,309.53,124.88,40.11,47.96,0.0,2018,0
-28.38,-22.79,5.94,5.07,60.55,101.42,49.48,49.81,0.0,2011,0
-26.54,-22.0,4.0,6.2,456.21,108.48,42.62,52.89,-190.6,2012,0
-36.57,-70.22,3.08,-20.62,93.21,239.8,40.45,24.83,0.0,2013,0
-3.56,-25.04,13.65,-18.9,90.23,216.18,34.01,30.53,25.89,2014,0
-24.15,-8.95,4.75,-5.66,68.67,204.62,25.02,36.65,-20.82,2015,0
37.65,3.99,6.63,-4.8,71.41,213.53,40.89,27.68,24.19,2016,0
-0.48,68.28,4.0,4.82,84.96,103.31,51.64,46.81,-42.37,2017,0
-1.79,-20.83,3.4,8.14,58.59,103.74,60.85,37.74,-124.81,2018,0
4.74,0.85,6.64,-30.4,557.79,247.4,39.37,24.51,41.14,2011,0
7.82,0.09,7.06,-30.55,558.29,258.45,41.17,22.76,44.75,2012,0
-7.4,6.36,8.4,-23.73,593.8,244.81,35.98,26.15,41.12,2013,0
4.44,34.25,7.61,-14.26,517.9,189.11,36.65,33.5,37.18,2014,0
3.51,8.11,7.54,-6.2,559.89,181.72,36.47,34.96,36.5,2015,0
3.36,2.6,7.26,-7.81,574.43,194.89,32.47,34.65,35.23,2016,0
