[제조]유동자산구성비율,[제조]순운전자본비율,[제조]총자본증가율,[제조]매출채권회전률,[제조]자본분배율,[제조]매입채무회전기간,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,year,label
61.43,34.75,12.78,4.27,-20.2,18.51,30.73,-8.99,-12.61,2011,0
51.54,31.87,13.54,7.13,42.38,15.99,9.09,11.92,12.58,2018,0
54.98,45.96,18.86,8.87,53.1,0.0,112.9,8.81,4.62,2011,0
39.37,-30.4,4.74,6.64,41.14,40.55,1.48,-0.44,-1.4,2011,0
41.17,-30.55,7.82,7.06,44.75,39.27,4.62,1.05,4.49,2012,0
35.98,-23.73,-7.4,8.4,41.12,34.59,0.76,1.26,5.74,2013,0
32.47,-7.81,3.36,7.26,35.23,39.88,9.87,1.71,4.64,2016,0
41.38,33.11,-0.86,11.34,41.04,8.25,10.28,4.12,2.99,2011,0
58.74,29.02,2.38,10.47,35.16,27.08,19.02,10.81,20.94,2012,0
60.2,31.68,28.29,7.52,19.5,31.37,3.73,5.11,7.24,2016,0
42.09,-14.68,5.01,4.84,33.93,48.55,3.77,1.97,3.68,2014,0
62.69,47.51,35.5,5.98,32.55,2.85,68.35,13.72,19.37,2013,0
61.55,44.21,15.97,11.94,35.2,0.0,74.25,15.17,17.75,2017,0
44.81,34.07,11.53,3.19,49.65,25.1,4.89,13.62,7.0,2011,0
69.7,43.44,75.19,2.99,33.41,45.01,132.59,20.2,32.23,2012,0
67.12,56.38,13.3,3.9,54.0,34.27,97.03,13.93,11.06,2011,0
49.59,35.87,4.26,4.04,45.84,42.82,17.06,11.4,7.26,2015,0
63.26,42.4,40.52,6.23,2.05,38.06,54.0,-4.54,-2.85,2017,0
33.29,9.99,-19.54,4.34,21.92,58.11,37.25,-6.08,-8.09,2014,0
50.89,29.49,-4.1,3.94,15.22,41.38,92.79,-1.3,-5.83,2011,0
59.76,18.59,-8.15,6.07,58.98,45.22,-4.26,6.17,21.34,2018,0
60.02,4.83,15.06,3.81,32.42,53.13,8.14,-0.43,-0.88,2011,0
47.95,2.83,11.04,8.38,41.06,49.03,6.73,2.82,9.39,2017,0
67.0,51.5,16.78,11.59,59.85,13.76,38.39,13.51,19.68,2018,0
51.21,22.33,-11.89,2.77,2.26,67.17,62.13,-2.38,-1.89,2011,0
72.37,29.68,2.48,4.01,70.29,33.6,-15.29,2.01,5.24,2011,0
68.76,51.72,26.56,4.33,68.58,28.95,-0.68,6.8,9.97,2017,0
59.82,29.07,4.02,5.14,50.21,31.05,10.68,6.28,17.34,2015,0
57.35,29.69,3.99,5.66,43.6,36.95,6.03,4.88,9.95,2017,0
61.42,33.29,6.61,3.06,54.99,48.31,-2.1,8.89,11.54,2013,0
57.23,26.74,12.66,3.47,48.78,37.91,0.49,9.05,11.81,2015,0
33.03,9.55,5.53,3.41,40.66,45.83,11.98,7.73,5.93,2018,0
23.94,-20.58,0.18,4.89,26.92,43.26,6.74,-3.65,-3.32,2015,0
52.9,34.32,14.76,8.3,43.78,35.05,1.88,5.95,14.57,2011,0
52.43,40.25,7.67,3.18,57.32,21.02,21.62,7.68,12.96,2014,0
75.23,66.67,-10.12,7.69,22.04,12.69,75.66,12.31,7.06,2015,0
35.99,-24.62,9.05,5.17,42.23,17.71,13.3,-1.47,-5.57,2011,0
54.18,25.56,14.19,9.63,44.54,36.79,-1.45,6.38,18.98,2016,0
56.89,25.44,35.68,5.14,44.39,37.32,128.7,5.61,11.75,2015,0
63.55,53.32,46.56,1.91,40.52,15.61,35.83,2.69,1.85,2012,0
49.46,-7.48,5.55,0.93,46.61,51.79,-2.21,6.45,14.6,2015,0
50.4,-0.78,6.3,0.93,50.73,55.88,5.65,5.08,10.61,2018,0
57.35,36.1,2.48,1.59,62.41,35.23,-5.67,12.6,15.75,2015,0
48.57,31.0,14.25,4.44,40.53,28.58,4.21,10.15,8.81,2011,0
48.08,32.89,17.39,11.25,51.22,25.54,3.83,6.81,8.78,2018,0
56.79,40.53,51.66,1.91,56.16,3.74,101.57,6.62,3.88,2013,0
49.23,42.7,29.17,1.73,0.0,0.47,46.81,-23.2,-8.89,2015,0
60.1,54.73,49.93,14.94,42.52,2.76,61.03,9.74,3.86,2018,0
72.75,41.31,-0.89,6.88,7.63,21.38,46.43,1.85,4.49,2018,0
63.71,28.76,9.91,10.36,70.93,31.97,-2.47,5.28,18.25,2013,0
65.87,34.55,5.44,9.24,59.57,41.35,-0.84,2.24,5.4,2014,0
59.99,39.27,48.05,7.01,44.72,16.22,4.52,6.27,5.26,2016,0
54.65,26.61,5.4,8.96,48.69,11.33,13.25,4.26,5.39,2016,0
66.3,55.66,1.56,37.53,49.94,17.05,61.54,10.98,12.21,2017,0
61.45,45.51,42.19,5.2,47.66,17.45,30.12,7.76,7.37,2012,0
70.23,30.41,12.03,4.54,51.92,22.56,-15.49,9.11,10.78,2017,0
68.31,53.04,30.71,10.16,32.02,14.62,100.66,5.8,6.29,2013,0
29.98,-15.67,12.91,5.06,46.14,33.82,2.16,3.45,5.21,2013,0
47.21,5.96,13.04,14.39,44.72,45.89,0.4,2.98,5.9,2011,0
65.64,49.19,10.09,5.59,56.0,14.23,91.64,5.05,6.69,2018,0
60.64,29.74,8.79,2.85,49.11,23.4,-3.08,13.29,19.64,2012,0
61.55,21.51,15.41,11.24,49.5,26.24,2.22,1.91,7.54,2015,0
26.46,2.59,4.49,7.89,45.02,29.98,14.12,8.23,9.33,2013,0
46.62,24.05,8.75,4.54,56.12,48.0,1.88,12.44,13.13,2018,0
63.63,25.33,14.72,6.16,50.43,22.3,1.3,3.1,9.12,2017,0
68.5,56.36,-4.48,7.71,62.01,25.68,63.28,11.43,9.77,2018,0
31.76,-4.48,2.32,8.84,44.68,33.86,10.3,2.07,5.16,2011,0
62.29,46.79,35.01,11.84,60.35,16.65,91.54,14.51,23.09,2014,0
56.71,21.63,3.7,3.46,48.36,34.71,6.19,6.84,7.79,2014,0
21.22,-16.29,-7.1,7.53,37.4,36.89,-7.27,-2.84,-3.97,2013,0
41.93,17.32,9.83,8.88,30.02,45.8,18.03,5.22,5.71,2014,0
24.89,-22.06,4.28,6.44,47.24,58.65,-0.13,5.2,16.12,2013,0
21.05,-5.46,-2.84,5.59,40.93,36.24,-2.25,2.18,3.29,2017,0
20.08,-3.82,6.85,6.23,43.81,31.68,8.16,2.64,4.18,2018,0
89.35,75.0,0.01,0.93,7.24,66.66,-4.0,2.45,1.32,2016,0
45.12,-9.9,16.63,10.04,50.89,35.32,6.04,2.92,12.86,2014,0
66.4,44.79,29.31,4.46,63.88,19.63,5.71,9.01,14.12,2012,0
49.06,38.45,12.62,6.15,49.79,8.79,18.88,11.38,12.68,2013,0
61.74,48.59,24.75,6.04,56.55,8.61,22.13,15.8,15.71,2015,0
52.45,14.2,14.82,4.71,28.98,50.84,16.03,-0.47,-0.99,2016,0
79.96,56.64,48.58,13.79,63.26,23.0,86.82,3.04,12.28,2012,0
65.55,29.73,17.31,5.48,54.13,6.04,121.43,5.64,4.39,2017,0
64.51,35.1,13.88,9.59,63.36,28.37,-0.8,7.83,23.7,2014,0
61.6,36.44,2.27,12.33,50.52,34.04,2.31,5.39,11.86,2016,0
37.04,-21.1,11.22,8.29,34.43,54.87,10.41,0.82,6.67,2014,0
61.59,42.65,11.92,4.06,57.82,43.76,0.0,8.88,7.62,2011,0
63.71,44.66,13.86,4.36,72.08,36.48,7.59,14.77,16.2,2012,0
54.99,46.04,3.85,3.67,62.04,33.02,4.03,15.1,10.01,2014,0
41.41,-5.32,-1.74,5.5,53.41,45.82,1.08,0.87,3.39,2017,0
76.56,31.29,30.51,9.21,7.4,31.66,3.44,2.17,8.85,2014,0
77.11,34.6,28.86,9.78,23.21,29.03,15.63,3.63,12.85,2016,0
54.55,39.4,4.86,3.72,69.43,11.31,0.88,8.32,8.08,2011,0
31.7,16.46,-2.92,6.53,40.51,67.78,26.78,4.95,2.07,2016,0
26.18,8.43,2.64,5.59,44.18,45.34,10.93,9.01,3.49,2017,0
17.25,-1.7,-3.93,5.92,45.25,44.67,7.7,6.69,3.21,2018,0
65.64,20.44,8.88,7.25,45.07,42.59,-10.23,3.21,9.7,2014,0
41.28,-3.31,15.79,7.09,27.82,49.32,19.24,-0.71,-1.77,2017,0
72.1,24.83,1.55,3.95,11.3,69.15,55.22,-0.43,-1.64,2018,0
78.53,33.72,41.15,15.87,85.04,45.9,-13.3,-0.85,-0.41,2012,0
64.46,62.11,51.95,4.24,60.14,3.62,149.14,31.79,9.25,2016,0
43.28,39.91,44.65,6.68,64.59,11.4,128.3,12.01,3.84,2016,0
49.86,32.95,40.38,2.7,32.33,16.18,131.54,12.97,6.53,2016,0
81.13,71.74,-6.31,12.5,-19.14,43.44,17.11,0.74,0.75,2011,0
75.39,65.26,-7.79,7.17,0.0,54.63,20.27,-16.35,-9.14,2012,0
35.86,-10.72,-0.71,5.54,47.2,35.7,-0.75,7.33,10.01,2016,0
69.27,62.54,-4.49,24.06,-26.82,0.11,63.94,-5.3,-5.29,2017,0
54.63,0.47,4.83,3.09,55.7,51.38,-5.68,7.52,16.62,2015,0
53.9,39.12,3.29,4.57,43.67,46.57,5.56,5.92,7.05,2013,0
52.87,38.1,9.27,4.76,44.25,47.35,11.7,6.37,6.93,2014,0
49.99,27.89,9.93,9.45,36.97,48.47,8.65,9.08,8.53,2014,0
35.79,12.72,3.31,5.4,26.89,42.8,24.59,-6.71,-5.97,2012,0
65.24,59.25,9.43,2.64,69.04,13.62,69.96,21.53,14.15,2018,0
57.91,15.64,20.8,21.21,-11.05,30.68,33.39,-1.62,-2.92,2015,0
49.08,35.28,9.59,6.36,68.55,4.17,94.61,19.49,14.73,2012,0
49.08,32.42,3.66,6.22,55.92,13.77,3.66,11.29,8.47,2013,0
62.25,37.39,39.11,5.6,53.04,20.52,3.12,11.44,9.5,2014,0
51.97,24.97,4.19,4.52,53.64,6.83,1.73,8.2,7.74,2017,0
31.87,-20.8,9.64,9.73,41.68,33.44,1.11,3.7,16.3,2016,0
31.03,-32.98,11.7,17.71,29.6,28.32,8.31,0.23,2.36,2018,0
25.95,-15.62,8.64,14.56,35.22,31.55,5.54,0.26,0.88,2014,0
30.47,-19.6,7.25,12.47,35.25,35.13,-1.5,2.64,6.02,2016,0
30.36,-32.28,11.44,17.38,30.16,28.08,7.73,0.15,0.53,2018,0
54.12,40.43,11.54,5.4,44.85,8.73,40.69,8.36,9.25,2011,0
36.18,0.45,14.87,7.15,52.66,60.35,5.81,8.6,17.68,2015,0
38.85,0.93,1.66,5.62,48.51,58.8,-0.38,5.34,9.5,2017,0
42.54,-12.64,-4.12,6.3,39.34,49.12,9.23,5.04,9.48,2018,0
72.56,55.28,37.03,3.56,33.05,31.37,57.02,5.45,8.19,2011,0
62.93,54.18,6.53,1.84,56.64,28.68,98.7,17.6,22.02,2012,0
53.44,41.16,12.73,3.64,-22.49,27.94,8.57,-4.51,-4.54,2014,0
76.68,34.24,20.25,4.47,20.91,42.06,14.34,0.26,0.82,2014,0
48.94,38.16,42.44,4.3,0.0,36.85,50.55,-25.69,-7.05,2015,0
43.03,36.97,-2.82,17.79,34.96,8.83,43.49,10.39,5.63,2018,0
40.92,29.9,7.58,4.51,39.29,14.55,12.72,9.65,10.07,2017,0
43.94,32.75,7.68,4.05,42.95,14.56,2.16,12.96,13.16,2018,0
59.72,35.31,-19.6,4.73,65.39,24.52,-6.06,12.75,22.33,2018,0
64.96,60.91,3.37,6.88,68.93,18.7,89.48,23.4,9.42,2011,0
42.7,28.38,7.49,5.59,47.03,13.41,-5.08,14.13,11.1,2017,0
28.0,-29.11,-7.78,10.56,24.32,33.39,15.75,-1.48,-7.48,2017,0
69.32,49.49,11.67,9.15,0.0,38.96,55.16,8.65,10.89,2011,0
34.58,15.22,-7.66,8.53,31.24,44.34,26.2,-0.31,-0.21,2017,0
57.96,26.62,11.55,9.5,47.15,24.68,-4.73,2.85,7.72,2013,0
71.57,69.82,91.63,3.83,15.4,6.16,121.55,7.59,1.47,2016,0
62.56,51.82,70.2,2.92,27.68,23.41,124.13,13.79,1.78,2017,0
81.62,78.15,65.95,8.75,0.0,38.84,78.71,-51.59,-12.91,2018,0
59.92,33.79,13.21,16.6,48.92,28.65,3.34,9.24,12.44,2014,0
49.07,24.76,14.65,1.92,-5.89,35.1,22.2,-6.62,-5.08,2018,0
53.34,45.53,10.6,3.6,55.91,10.87,40.68,12.15,14.73,2012,0
61.03,45.98,86.72,10.34,69.65,15.77,134.44,10.56,17.89,2017,0
87.62,55.87,25.52,3.96,40.72,35.38,85.44,6.2,12.22,2014,0
63.59,38.65,4.09,12.99,73.09,21.92,18.9,11.93,17.93,2012,0
71.76,46.69,17.84,10.44,71.51,22.98,-8.6,12.5,17.61,2013,0
76.86,48.33,8.64,7.55,56.41,39.79,-10.97,4.42,5.72,2014,0
73.53,30.06,9.7,4.16,59.49,40.1,-8.71,4.48,14.62,2012,0
66.72,30.32,17.29,3.03,53.88,48.02,2.09,1.78,-1.8,2012,0
