[제조]자기자본구성비율,[제조]순운전자본회전률,[제조]비유동자산회전률,[제조]총자본증가율,[제조]유동비율,[제조]비유동자산증가율,[제조]1주당매출액,[제조]총자본순이익률,[제조]부가가치율,year,label
86.12,2.03,2.37,-16.58,472.77,10.17,2392.63,-0.78,32.14,2012,0
80.03,1.48,1.67,6.63,395.42,-6.68,6770.89,8.38,45.5,2015,0
80.94,1.03,5.0,35.99,562.28,17.43,17403.37,17.47,36.25,2018,0
92.31,0.93,2.9,100.9,1016.66,115.64,17568.46,16.42,31.9,2011,0
60.03,1.45,5.86,2.02,191.36,-12.94,17425.29,7.63,28.79,2011,0
91.37,1.17,0.97,5.32,631.95,4.8,6646.65,2.95,26.19,2012,0
76.44,2.05,4.07,14.53,266.78,25.03,17475.85,16.43,34.24,2017,0
87.51,1.32,3.57,12.01,723.2,9.6,18037.38,18.52,66.36,2012,0
84.11,0.74,6.65,9.44,674.02,-26.01,1272.22,11.6,58.57,2013,0
81.76,0.69,8.48,14.51,593.78,-0.91,1372.68,12.46,59.42,2014,0
74.36,1.18,6.06,187.78,319.6,329.71,17673.65,24.2,32.26,2013,0
87.65,1.03,0.99,0.42,482.73,-8.74,2516.25,1.9,27.18,2012,0
87.28,1.01,1.15,1.81,652.68,-7.42,2698.99,5.5,34.67,2013,0
86.9,0.63,1.92,-9.22,560.63,-10.27,2424.69,-7.96,62.92,2018,0
90.46,0.58,1.93,-0.82,1112.39,5.81,2789.94,4.08,33.77,2015,0
91.23,1.2,8.22,187.78,1066.53,9.84,11348.77,24.2,36.8,2016,0
84.14,0.27,1.76,19.81,556.88,-12.27,2249.58,5.33,38.84,2018,0
66.89,0.64,1.65,27.79,359.94,7.13,1273.63,-4.41,19.95,2018,0
93.65,0.89,4.75,80.29,2122.89,52.64,6584.8,20.65,41.02,2018,0
46.65,1.16,2.82,74.13,140.74,66.8,18212.22,10.96,33.6,2012,0
49.65,0.68,1.64,-35.83,95.71,-8.21,6742.3,-22.88,-15.43,2014,0
90.04,0.85,3.48,5.8,995.57,28.92,6865.13,9.73,38.87,2015,0
58.22,1.66,6.59,-10.1,192.96,-6.92,18859.66,-0.39,2.09,2012,0
93.32,1.64,2.9,8.03,947.19,12.87,6817.77,7.16,12.45,2016,0
83.97,2.11,0.77,3.69,488.52,-0.88,6815.89,6.93,24.2,2013,0
79.22,2.03,4.87,-2.4,347.15,-15.35,8461.1,5.65,17.62,2013,0
67.03,0.95,2.09,-3.81,189.54,-3.53,6732.38,9.22,30.13,2012,0
68.89,0.99,2.18,6.61,218.37,-2.1,6826.54,7.81,31.99,2013,0
43.01,1.12,1.69,31.29,83.08,28.62,17857.41,1.76,7.29,2015,0
49.23,1.49,2.51,16.06,300.35,2.1,6692.95,2.06,22.19,2013,0
81.16,0.82,0.9,-7.25,653.76,20.78,2442.36,2.35,9.65,2012,0
76.12,0.84,0.93,6.48,405.67,-20.33,2465.87,0.86,7.57,2013,0
66.07,1.19,1.78,8.14,172.6,-2.7,6717.86,3.82,13.2,2016,0
88.45,0.94,0.67,-44.32,336.02,-52.74,2651.77,-3.85,28.53,2016,0
86.83,1.16,0.77,-16.56,705.88,-34.39,1425.47,-9.56,35.0,2017,0
46.29,1.45,3.62,-11.37,136.3,-9.42,17422.55,-3.12,2.44,2014,0
43.51,1.6,3.05,3.93,130.62,-8.77,18623.61,2.66,8.52,2017,0
39.79,1.44,3.2,9.01,111.17,2.22,18907.52,-0.45,7.54,2018,0
80.13,0.68,14.14,24.74,540.71,16.77,6694.24,15.42,29.85,2018,0
69.63,1.03,0.79,22.99,138.44,17.62,6888.86,10.31,85.72,2017,0
90.47,1.15,1.51,-7.98,573.87,12.88,6462.77,-0.26,19.52,2012,0
87.33,1.36,1.5,0.22,426.97,-2.25,6754.51,-1.79,23.41,2013,0
86.85,1.06,2.12,161.36,782.91,333.07,2233.46,-15.58,3.13,2017,0
83.69,0.71,8.08,22.08,591.37,49.92,2733.1,11.27,28.05,2018,0
80.35,1.29,4.57,54.01,458.24,12.89,6673.58,8.11,22.6,2014,0
56.21,0.7,1.48,124.84,262.32,87.61,2631.47,9.85,45.48,2011,0
48.91,0.37,0.62,-25.39,660.12,-4.23,1310.89,-27.5,-10.63,2013,0
79.72,1.59,1.18,8.92,322.19,0.18,6911.53,13.5,48.76,2017,0
77.95,1.41,1.06,13.04,240.86,21.81,6898.7,12.96,47.88,2018,0
91.66,1.45,10.77,-28.17,1117.15,5.63,952.96,10.45,17.56,2018,0
88.02,1.18,3.59,-12.34,654.37,2.86,3022.27,-8.62,18.64,2014,0
89.26,0.65,0.97,-5.5,673.65,-1.69,2727.06,-2.31,8.34,2013,0
91.86,0.74,0.99,-0.68,658.66,3.91,2877.06,2.76,19.07,2014,0
90.97,0.6,0.91,-0.16,668.65,-14.89,2450.24,-0.43,10.94,2015,0
92.59,0.77,1.05,0.02,972.42,7.71,2750.08,1.03,17.06,2017,0
92.3,0.71,0.83,-2.31,828.98,7.71,2340.79,-1.14,16.26,2018,0
67.44,1.05,0.93,25.67,422.46,1.72,2708.49,3.41,45.64,2018,0
90.11,2.3,1.38,1.81,310.75,-0.29,2681.91,7.8,31.26,2013,0
86.35,1.79,1.45,11.16,329.19,-11.61,2635.41,7.83,33.65,2014,0
93.12,1.0,2.07,7.48,1076.36,1.57,1122.39,7.44,19.79,2012,0
