,회사명,거래소코드,회계년도,상장일,상장폐지일,삭제여부,사유,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용)
178,(주)극동자동화,272420,Dec-17,2017-06-28,2018-11-15,삭제빔,(코넥스),  전문직별 공사업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,(주)금오하이텍,165270,Dec-13,2013-12-10,2017-06-07,삭제빔,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,(주)금오하이텍,165270,Dec-14,2013-12-10,2017-06-07,삭제빔,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,(주)금오하이텍,165270,Dec-15,2013-12-10,2017-06-07,삭제빔,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,(주)금오하이텍,165270,Dec-16,2013-12-10,2017-06-07,삭제빔,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,(주)나노트로닉스,10670,Dec-11,1996-05-14,2014-04-11,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,"  의료, 정밀, 광학기기 및 시계 제조업",4,-15.82,-36.77,-17.78,6.92,-6.98,19.31,0,-5.03,32.66,-9.94,1.85,-3.62,-8.09,-139,1360.6,0.36,0.81,1.24,5.31,0.87,5.26,69.39,68.8,420.34,0,1.09,0.33,0.52,0.57,129.2,117.95,2.28,139.61,16.8,322.22,61.54,74.32,41.73,2067.74,4.26,265.56,316.59,12.08,80.74,19.26,-82.26,17.03,0.21
253,(주)나노트로닉스,10670,Dec-12,1996-05-14,2014-04-11,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,"  의료, 정밀, 광학기기 및 시계 제조업",4,13.53,-44.98,24.23,6.24,13.78,0.02,0,11.9,47.33,-16.38,7.42,-6.36,-14.7,-257,1489.91,0.39,0.9,1.39,5.84,0.88,6.06,60.22,62.55,414.55,0,1.53,0.3,0.54,0.59,128.9,116.35,11.65,123.72,15.69,330.81,67.19,69.97,44.7,1143.73,2.22,266.99,320.94,5.89,155.74,-55.74,-278.33,32.19,1.4
288,(주)나이코,192240,Dec-14,2014-02-28,2016-12-23,삭제빔,(코넥스),"  펄프, 종이 및 종이제품 제조업",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,(주)나이코,192240,Dec-15,2014-02-28,2016-12-23,삭제빔,(코넥스),"  펄프, 종이 및 종이제품 제조업",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,(주)네오퍼플,28090,Dec-11,1996-11-29,2013-05-03,,,  식료품 제조업,4,0,0,0,0,0,0,0,0,13.84,-16.22,-7.74,-12.21,-33.54,-120,605.51,0.75,1.99,1.51,8.27,6.08,11.68,31.24,44.14,60.02,0.01,0.37,0.69,1.5,1.83,85.06,69.66,0.16,164.34,-8.83,58.57,131.41,50.29,37.83,-285.34,-0.66,-2.28,-19.46,-0.88,0,0,0,2.6,-2.55
