회사명,거래소코드,회계년도,[제조]영업이익(손실)(연결),[제조]   이자비용(연결),이자보상배율
(주)CMG제약,58820,Dec-11,623816.0,181404.0,3.438821635686093
(주)CMG제약,58820,Dec-12,-4205503.0,542880.0,-7.746653035661656
(주)CMG제약,58820,Dec-13,791250.0,1134104.0,0.6976873373165071
(주)CMG제약,58820,Dec-14,442322.0,122840.0,3.600797785737545
(주)CMG제약,58820,Dec-15,-2572168.0,79830.0,-32.220568708505574
(주)CMG제약,58820,Dec-16,1730753.0,0.0,inf
(주)CMG제약,58820,Dec-17,1558607.0,0.0,inf
(주)CMG제약,58820,Dec-18,2567820.0,0.0,inf
(주)CMG제약,58820,Dec-19,2603774.0,8593.0,303.01105551029906
(주)CMG제약,58820,Dec-20,1822365.0,22853.0,79.74292215464052
(주)금화피에스시,36190,Dec-11,15670906.0,0.0,inf
(주)금화피에스시,36190,Dec-12,20453131.0,0.0,inf
(주)금화피에스시,36190,Dec-13,27103680.0,5599.0,4840.807287015538
(주)금화피에스시,36190,Dec-14,23448696.0,16457.0,1424.846326791031
(주)금화피에스시,36190,Dec-15,27682715.0,10491.0,2638.7107997331045
(주)금화피에스시,36190,Dec-16,29816098.0,55896.0,533.4209603549449
(주)금화피에스시,36190,Dec-17,33863833.0,62772.0,539.4735391575862
(주)금화피에스시,36190,Dec-18,41384787.0,95873.0,431.6625848779114
(주)금화피에스시,36190,Dec-19,34327291.0,122479.0,280.2708301014868
(주)금화피에스시,36190,Dec-20,26993690.0,87289.0,309.24503660255016
(주)나스미디어,89600,Dec-11,7809344.0,250000.0,31.237376
(주)나스미디어,89600,Dec-12,7613038.0,0.0,inf
(주)나스미디어,89600,Dec-13,6058109.0,0.0,inf
(주)나스미디어,89600,Dec-14,8601869.0,0.0,inf
(주)나스미디어,89600,Dec-15,11693294.0,0.0,inf
(주)나스미디어,89600,Dec-16,15433276.0,89944.0,171.58761006848707
(주)나스미디어,89600,Dec-17,34298134.0,232681.0,147.40410261258978
(주)나스미디어,89600,Dec-18,24946232.0,76352.0,326.7266345347862
(주)나스미디어,89600,Dec-19,30558603.0,851345.0,35.89449987960228
(주)나스미디어,89600,Dec-20,26967943.0,191107.0,141.1143652508804
(주)나이스디앤비,130580,Dec-11,2848366.0,0.0,inf
(주)나이스디앤비,130580,Dec-12,3200317.0,0.0,inf
(주)나이스디앤비,130580,Dec-13,3312852.0,0.0,inf
(주)나이스디앤비,130580,Dec-14,4103059.0,0.0,inf
(주)나이스디앤비,130580,Dec-15,4943229.0,0.0,inf
(주)나이스디앤비,130580,Dec-16,6465327.0,0.0,inf
(주)나이스디앤비,130580,Dec-17,8454239.0,0.0,inf
(주)나이스디앤비,130580,Dec-18,10423254.0,0.0,inf
(주)나이스디앤비,130580,Dec-19,12798062.0,39565.0,323.46927840262856
(주)나이스디앤비,130580,Dec-20,14088152.0,38544.0,365.508302200083
(주)내츄럴엔도텍,168330,Dec-12,5118742.0,4521.0,1132.2145543021456
(주)내츄럴엔도텍,168330,Dec-13,24103694.0,0.0,inf
(주)내츄럴엔도텍,168330,Dec-14,25886542.0,6413.0,4036.572898799314
(주)내츄럴엔도텍,168330,Dec-15,-10890671.0,13512.0,-805.999925991711
(주)내츄럴엔도텍,168330,Dec-16,-9391306.0,271474.0,-34.59375851831115
(주)내츄럴엔도텍,168330,Dec-17,-5391216.0,2754233.0,-1.9574291644897146
(주)내츄럴엔도텍,168330,Dec-18,-13587338.0,2228053.0,-6.098301072730316
(주)내츄럴엔도텍,168330,Dec-19,-11129701.0,2558323.0,-4.350389297989347
(주)내츄럴엔도텍,168330,Dec-20,-315913.0,2487427.0,-0.12700392815547953
(주)네오팜,92730,Dec-11,1199197.0,31753.0,37.7664157717381
(주)네오팜,92730,Dec-12,209147.0,7419.0,28.190726513007142
(주)네오팜,92730,Dec-13,2147648.0,11410.0,188.2250657318142
(주)네오팜,92730,Dec-14,5002662.0,7949.0,629.3448232482074
(주)네오팜,92730,Dec-15,6258403.0,729.0,8584.914951989025
(주)네오팜,92730,Dec-16,9552938.0,0.0,inf
(주)네오팜,92730,Dec-17,14037876.0,0.0,inf
(주)네오팜,92730,Dec-18,19161762.0,2080.0,9212.385576923078
(주)네오팜,92730,Dec-19,22960501.0,17169.0,1337.3231405440038
(주)네오팜,92730,Dec-20,21902092.0,56370.0,388.5416356217846
(주)네이블커뮤니케이션즈,153460,Dec-11,3859395.0,131374.0,29.377159864204486
(주)네이블커뮤니케이션즈,153460,Dec-12,5101595.0,71512.0,71.33900604094417
(주)네이블커뮤니케이션즈,153460,Dec-13,38631.0,8361.0,4.6203803372802295
(주)네이블커뮤니케이션즈,153460,Dec-14,132220.0,1044.0,126.64750957854406
(주)네이블커뮤니케이션즈,153460,Dec-15,254292.0,0.0,inf
(주)네이블커뮤니케이션즈,153460,Dec-16,194621.0,0.0,inf
(주)네이블커뮤니케이션즈,153460,Dec-17,-6481007.0,0.0,-inf
(주)네이블커뮤니케이션즈,153460,Dec-18,-2389050.0,0.0,-inf
(주)네이블커뮤니케이션즈,153460,Dec-19,-484726.0,1067.0,-454.2886597938144
(주)네이블커뮤니케이션즈,153460,Dec-20,399554.0,1597.0,250.19035691922355
(주)넥스지,81970,Dec-11,3167722.0,0.0,inf
(주)넥스지,81970,Dec-12,2474759.0,18653.0,132.6735109633839
(주)넥스지,81970,Dec-13,1227029.0,0.0,inf
(주)넥스지,81970,Dec-14,865562.0,1573.0,550.2619198982835
(주)넥스지,81970,Dec-15,312489.0,1603.0,194.94011228945726
(주)넥스지,81970,Dec-16,-409428.0,1782.0,-229.75757575757575
(주)넥스지,81970,Dec-17,-598029.0,3527.0,-169.55741423305926
(주)넥스턴바이오사이언스,89140,Dec-11,4349627.0,99651.0,43.648603626657035
(주)넥스턴바이오사이언스,89140,Dec-12,3358160.0,21236.0,158.1352420418158
(주)넥스턴바이오사이언스,89140,Dec-13,3465175.0,12177.0,284.5672168842901
(주)넥스턴바이오사이언스,89140,Dec-14,4053988.0,1869.0,2169.067950775816
(주)넥스턴바이오사이언스,89140,Dec-15,1606617.0,206.0,7799.111650485437
(주)넥스턴바이오사이언스,89140,Dec-16,19292470.0,198.0,97436.71717171717
(주)넥스턴바이오사이언스,89140,Dec-17,10076522.0,6575.0,1532.5508745247148
(주)넥스턴바이오사이언스,89140,Dec-18,4102995.0,0.0,inf
(주)넥스턴바이오사이언스,89140,Dec-19,2997381.0,1252.0,2394.0742811501595
(주)넥스턴바이오사이언스,89140,Dec-20,-3017727.0,1041.0,-2898.8731988472623
(주)넥스트아이,137940,Dec-11,5007759.0,286.0,17509.646853146853
(주)넥스트아이,137940,Dec-12,6881417.0,1478.0,4655.897834912043
(주)넥스트아이,137940,Dec-13,5310652.0,0.0,inf
(주)넥스트아이,137940,Dec-14,3774180.0,36767.0,102.65129055946909
(주)넥스트아이,137940,Dec-15,2741035.0,27241.0,100.62167321317132
(주)넥스트아이,137940,Dec-16,3696037.0,579486.0,6.378129928937024
(주)넥스트아이,137940,Dec-17,1290427.0,1533719.0,0.8413712029387391
(주)넥스트아이,137940,Dec-18,8381537.0,1655344.0,5.0633203732879695
(주)넥스트아이,137940,Dec-19,3690399.0,935348.0,3.9454823231567286
(주)넥스트아이,137940,Dec-20,-10354834.0,1263021.0,-8.19846542535714
(주)노바렉스,194700,Dec-11,1992651.0,182317.0,10.929595155690363
(주)노바렉스,194700,Dec-12,3077503.0,58059.0,53.00647617079178
(주)노바렉스,194700,Dec-13,3132824.0,229044.0,13.677826094549518
(주)노바렉스,194700,Dec-14,5914373.0,10486.0,564.025653251955
(주)노바렉스,194700,Dec-15,11215035.0,77190.0,145.29129420909445
(주)노바렉스,194700,Dec-16,10273527.0,600.0,17122.545
(주)노바렉스,194700,Dec-17,9897600.0,0.0,inf
(주)노바렉스,194700,Dec-18,11334721.0,0.0,inf
(주)노바렉스,194700,Dec-19,16305801.0,41900.0,389.15992840095464
(주)노바렉스,194700,Dec-20,26992725.0,191971.0,140.60834709409232
(주)노바텍,285490,Dec-17,5516770.0,0.0,inf
(주)노바텍,285490,Dec-18,6672041.0,0.0,inf
(주)노바텍,285490,Dec-19,5524953.0,8296.0,665.9779411764706
(주)노바텍,285490,Dec-20,29335292.0,942354.0,31.12980047837649
(주)대유,290380,Dec-11,-230980.0,162941.0,-1.4175683222761613
(주)대유,290380,Dec-12,1238034.0,186792.0,6.627874855454195
(주)대유,290380,Dec-13,1578893.0,177663.0,8.887010801348621
(주)대유,290380,Dec-14,4084920.0,168580.0,24.231344168940563
(주)대유,290380,Dec-15,4958602.0,136993.0,36.19602461439636
(주)대유,290380,Dec-16,5654952.0,126217.0,44.80341000023768
(주)대유,290380,Dec-17,6873411.0,66533.0,103.30829813776622
(주)대유,290380,Dec-18,7042121.0,0.0,inf
(주)대유,290380,Dec-19,5332720.0,17559.0,303.70294435901815
(주)대유,290380,Dec-20,4604224.0,502463.0,9.163309537219655
(주)동방선기,99410,Dec-11,3899448.0,2994038.0,1.3024043115017245
(주)동방선기,99410,Dec-12,-3983755.0,2985516.0,-1.334360626437775
(주)동방선기,99410,Dec-13,-8003707.0,2360261.0,-3.391026246673567
(주)동방선기,99410,Dec-14,-1778523.0,2057295.0,-0.8644958549940577
(주)동방선기,99410,Dec-15,1340753.0,1550671.0,0.8646276353913886
