회사명,거래소코드,회계년도,[제조]영업이익(손실),[제조]영업이익(손실)(연결)
(주)CMG제약,58820,Dec-11,698484,623816
(주)CMG제약,58820,Dec-12,-4045140,-4205503
(주)CMG제약,58820,Dec-13,822547,791250
(주)CMG제약,58820,Dec-14,446018,442322
(주)CMG제약,58820,Dec-15,-2570878,-2572168
(주)CMG제약,58820,Dec-16,1730753,1730753
(주)CMG제약,58820,Dec-17,1558607,1558607
(주)CMG제약,58820,Dec-18,2567820,2567820
(주)CMG제약,58820,Dec-19,2603774,2603774
(주)CMG제약,58820,Dec-20,1822365,1822365
(주)금화피에스시,36190,Dec-11,15670906,15670906
(주)금화피에스시,36190,Dec-12,20453131,20453131
(주)금화피에스시,36190,Dec-13,25744446,27103680
(주)금화피에스시,36190,Dec-14,23011531,23448696
(주)금화피에스시,36190,Dec-15,26233196,27682715
(주)금화피에스시,36190,Dec-16,28240507,29816098
(주)금화피에스시,36190,Dec-17,33131391,33863833
(주)금화피에스시,36190,Dec-18,39495034,41384787
(주)금화피에스시,36190,Dec-19,30433094,34327291
(주)금화피에스시,36190,Dec-20,24209918,26993690
(주)나스미디어,89600,Dec-11,7809344,7809344
(주)나스미디어,89600,Dec-12,7613038,7613038
(주)나스미디어,89600,Dec-13,6058109,6058109
(주)나스미디어,89600,Dec-14,8601869,8601869
(주)나스미디어,89600,Dec-15,11693294,11693294
(주)나스미디어,89600,Dec-16,14615304,15433276
(주)나스미디어,89600,Dec-17,25654209,34298134
(주)나스미디어,89600,Dec-18,19351123,24946232
(주)나스미디어,89600,Dec-19,23389051,30558603
(주)나스미디어,89600,Dec-20,27301482,26967943
(주)나이스디앤비,130580,Dec-11,2848366,2848366
(주)나이스디앤비,130580,Dec-12,3200317,3200317
(주)나이스디앤비,130580,Dec-13,3312852,3312852
(주)나이스디앤비,130580,Dec-14,4103059,4103059
(주)나이스디앤비,130580,Dec-15,4929356,4943229
(주)나이스디앤비,130580,Dec-16,4752171,6465327
(주)나이스디앤비,130580,Dec-17,6644056,8454239
(주)나이스디앤비,130580,Dec-18,8817160,10423254
(주)나이스디앤비,130580,Dec-19,10084114,12798062
(주)나이스디앤비,130580,Dec-20,11861568,14088152
(주)내츄럴엔도텍,168330,Dec-12,5118742,5118742
(주)내츄럴엔도텍,168330,Dec-13,24103694,24103694
(주)내츄럴엔도텍,168330,Dec-14,25886542,25886542
(주)내츄럴엔도텍,168330,Dec-15,-10595159,-10890671
