회사명,거래소코드,회계년도,[제조]영업이익(손실)(연결),[제조]   이자비용(연결)
(주)CMG제약,58820,Dec-11,623816,181404
(주)CMG제약,58820,Dec-12,-4205503,542880
(주)CMG제약,58820,Dec-13,791250,1134104
(주)CMG제약,58820,Dec-14,442322,122840
(주)CMG제약,58820,Dec-15,-2572168,79830
(주)CMG제약,58820,Dec-16,1730753,0
(주)CMG제약,58820,Dec-17,1558607,0
(주)CMG제약,58820,Dec-18,2567820,0
(주)CMG제약,58820,Dec-19,2603774,8593
(주)CMG제약,58820,Dec-20,1822365,22853
(주)금화피에스시,36190,Dec-11,15670906,0
(주)금화피에스시,36190,Dec-12,20453131,0
(주)금화피에스시,36190,Dec-13,27103680,5599
(주)금화피에스시,36190,Dec-14,23448696,16457
(주)금화피에스시,36190,Dec-15,27682715,10491
(주)금화피에스시,36190,Dec-16,29816098,55896
(주)금화피에스시,36190,Dec-17,33863833,62772
(주)금화피에스시,36190,Dec-18,41384787,95873
(주)금화피에스시,36190,Dec-19,34327291,122479
(주)금화피에스시,36190,Dec-20,26993690,87289
(주)나스미디어,89600,Dec-11,7809344,250000
(주)나스미디어,89600,Dec-12,7613038,0
(주)나스미디어,89600,Dec-13,6058109,0
(주)나스미디어,89600,Dec-14,8601869,0
(주)나스미디어,89600,Dec-15,11693294,0
(주)나스미디어,89600,Dec-16,15433276,89944
(주)나스미디어,89600,Dec-17,34298134,232681
(주)나스미디어,89600,Dec-18,24946232,76352
(주)나스미디어,89600,Dec-19,30558603,851345
(주)나스미디어,89600,Dec-20,26967943,191107
(주)나이스디앤비,130580,Dec-11,2848366,0
(주)나이스디앤비,130580,Dec-12,3200317,0
(주)나이스디앤비,130580,Dec-13,3312852,0
(주)나이스디앤비,130580,Dec-14,4103059,0
(주)나이스디앤비,130580,Dec-15,4943229,0
(주)나이스디앤비,130580,Dec-16,6465327,0
(주)나이스디앤비,130580,Dec-17,8454239,0
(주)나이스디앤비,130580,Dec-18,10423254,0
(주)나이스디앤비,130580,Dec-19,12798062,39565
(주)나이스디앤비,130580,Dec-20,14088152,38544
(주)내츄럴엔도텍,168330,Dec-12,5118742,4521
(주)내츄럴엔도텍,168330,Dec-13,24103694,0
(주)내츄럴엔도텍,168330,Dec-14,25886542,6413
(주)내츄럴엔도텍,168330,Dec-15,-10890671,13512
(주)내츄럴엔도텍,168330,Dec-16,-9391306,271474
(주)내츄럴엔도텍,168330,Dec-17,-5391216,2754233
(주)내츄럴엔도텍,168330,Dec-18,-13587338,2228053
(주)내츄럴엔도텍,168330,Dec-19,-11129701,2558323
(주)내츄럴엔도텍,168330,Dec-20,-315913,2487427
(주)네오팜,92730,Dec-11,1199197,31753
(주)네오팜,92730,Dec-12,209147,7419
(주)네오팜,92730,Dec-13,2147648,11410
(주)네오팜,92730,Dec-14,5002662,7949
(주)네오팜,92730,Dec-15,6258403,729
(주)네오팜,92730,Dec-16,9552938,0
(주)네오팜,92730,Dec-17,14037876,0
(주)네오팜,92730,Dec-18,19161762,2080
(주)네오팜,92730,Dec-19,22960501,17169
(주)네오팜,92730,Dec-20,21902092,56370
(주)네이블커뮤니케이션즈,153460,Dec-11,3859395,131374
(주)네이블커뮤니케이션즈,153460,Dec-12,5101595,71512
(주)네이블커뮤니케이션즈,153460,Dec-13,38631,8361
(주)네이블커뮤니케이션즈,153460,Dec-14,132220,1044
(주)네이블커뮤니케이션즈,153460,Dec-15,254292,0
(주)네이블커뮤니케이션즈,153460,Dec-16,194621,0
(주)네이블커뮤니케이션즈,153460,Dec-17,-6481007,0
(주)네이블커뮤니케이션즈,153460,Dec-18,-2389050,0
(주)네이블커뮤니케이션즈,153460,Dec-19,-484726,1067
(주)네이블커뮤니케이션즈,153460,Dec-20,399554,1597
(주)넥스지,81970,Dec-11,3167722,0
(주)넥스지,81970,Dec-12,2474759,18653
(주)넥스지,81970,Dec-13,1227029,0
(주)넥스지,81970,Dec-14,865562,1573
(주)넥스지,81970,Dec-15,312489,1603
(주)넥스지,81970,Dec-16,-409428,1782
(주)넥스지,81970,Dec-17,-598029,3527
(주)넥스턴바이오사이언스,89140,Dec-11,4349627,99651
(주)넥스턴바이오사이언스,89140,Dec-12,3358160,21236
(주)넥스턴바이오사이언스,89140,Dec-13,3465175,12177
(주)넥스턴바이오사이언스,89140,Dec-14,4053988,1869
(주)넥스턴바이오사이언스,89140,Dec-15,1606617,206
(주)넥스턴바이오사이언스,89140,Dec-16,19292470,198
(주)넥스턴바이오사이언스,89140,Dec-17,10076522,6575
(주)넥스턴바이오사이언스,89140,Dec-18,4102995,0
(주)넥스턴바이오사이언스,89140,Dec-19,2997381,1252
(주)넥스턴바이오사이언스,89140,Dec-20,-3017727,1041
(주)넥스트아이,137940,Dec-11,5007759,286
(주)넥스트아이,137940,Dec-12,6881417,1478
(주)넥스트아이,137940,Dec-13,5310652,0
(주)넥스트아이,137940,Dec-14,3774180,36767
(주)넥스트아이,137940,Dec-15,2741035,27241
(주)넥스트아이,137940,Dec-16,3696037,579486
(주)넥스트아이,137940,Dec-17,1290427,1533719
(주)넥스트아이,137940,Dec-18,8381537,1655344
(주)넥스트아이,137940,Dec-19,3690399,935348
(주)넥스트아이,137940,Dec-20,-10354834,1263021
(주)노바렉스,194700,Dec-11,1992651,182317
(주)노바렉스,194700,Dec-12,3077503,58059
(주)노바렉스,194700,Dec-13,3132824,229044
(주)노바렉스,194700,Dec-14,5914373,10486
(주)노바렉스,194700,Dec-15,11215035,77190
(주)노바렉스,194700,Dec-16,10273527,600
(주)노바렉스,194700,Dec-17,9897600,0
(주)노바렉스,194700,Dec-18,11334721,0
