회사명,거래소코드,회계년도_x,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용),year,month,회계년도_y,매출액증가율(IFRS연결),유형자산증가율(IFRS연결),재고자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결)
(주)가비아,79940,2015-12-01,2005-10-19,,  출판업,5,13.95,-0.49,-6.68,6.63,12.25,24.61,62.73,0,45.36,9.31,11.7,8.38,11.99,439,6770.89,0.9,1.15,1.67,0,25.06,37.46,9.75,0,14.56,0.21,0,1.48,1.95,1.95,395.42,395.42,175.75,24.95,37.14,745.83,62.84,49.71,80.03,41698.24,39.68,112.95,1815.71,45.5,51.97,48.03,20.46,2.48,64.83,2015,12,2015-12-01,13.94540537,-0.491196576,,-6.677284074,24.61408689,11.37131491,6.634083479,62.73141856
(주)국보디자인,66620,2012-12-01,2002-09-05,,  전문직별 공사업,5,-8.64,52.79,-10.65,15.81,19.57,25.04,36.75,0,16.02,6.94,14.11,9.57,15.67,1111,15920.4,1.38,2.26,6.08,0,24.61,29.85,12.23,0,14.83,0.38,0,1.2,1.78,1.78,216.7,216.7,38.65,61.35,43.1,1535.05,32.2,80.04,61.98,34487.68,37.13,1542.73,337981.94,28.88,72.45,27.55,24.01,64.57,2003.29,2012,12,2012-12-01,-8.63625382,52.79084359,,-10.65102802,25.03780535,19.56848353,15.80611689,36.75182455
(주)국보디자인,66620,2013-12-01,2002-09-05,,  전문직별 공사업,5,36.95,-1.92,35.04,37.71,13.96,38.38,32.05,0,13.45,6.69,12.26,9.91,17.76,1458,21802.47,1.48,2.66,7.51,0,21.24,18.59,19.64,0,17.19,0,0.38,1.21,1.85,1.85,172.74,172.74,17.75,94.98,33.87,1749.28,38.16,80.43,51.29,44261.95,34.61,2018.69,670229.43,27.07,72.51,27.49,24.71,73.86,1539.88,2013,12,2013-12-01,36.94676481,-1.918503846,,35.03661807,38.37726343,13.95570574,37.71055304,32.05491054
(주)국보디자인,66620,2014-12-01,2002-09-05,,  전문직별 공사업,5,7.86,18.43,0.07,3.21,13.34,3.98,0.06,0,14.9,6.2,11.54,8.42,15.64,1459,23516.52,1.36,2.52,7.04,0,23.29,13.78,26.49,0,15.67,0,0.11,1.09,1.68,1.68,197.66,197.66,15.07,77.55,40.03,1982.69,33.69,81.03,56.32,48193.45,36.51,2193.81,1604309.22,27.32,73.38,26.62,22.7,73.65,1917.05,2014,12,2014-12-01,7.861720949,18.43438213,,0.072515595,3.977324883,13.34311502,3.213152301,0.056547727
(주)국보디자인,66620,2015-12-01,2002-09-05,,  전문직별 공사업,5,9.2,167.41,35.72,6.88,12.05,0.12,-1.59,0,13.28,5.59,10.47,7.89,13.66,1436,25681.13,1.41,2.44,6.52,0,56.52,16.19,22.55,0,6.46,0,0.02,1.19,1.8,1.8,196.06,196.06,19.19,69.36,37.19,2221.53,40.81,75.9,59.05,53043.56,37.6,832.83,1379546.55,27.54,75.43,24.57,20.3,40.38,1867.07,2015,12,2015-12-01,9.204643859,167.4104676,,35.72215869,0.121601579,12.04625559,6.876639592,-1.590456439
(주)국보디자인,66620,2016-12-01,2002-09-05,,  전문직별 공사업,5,4.57,7.26,-13.32,12.31,4.35,20.44,-0.28,0,12.33,5.33,8.05,7.17,12.62,1463,26854.67,1.34,2.37,6.35,0,114.63,14.3,25.53,0,3.18,0,0.01,1.13,1.71,1.71,192.59,192.59,18.84,82.28,39.14,2318.1,33.9,81.4,54.86,54982.2,34.7,738.22,1905795.56,27.3,78.36,21.64,19.53,27.99,6455.77,2016,12,2016-12-01,4.569649905,7.255662967,,-13.32238222,20.44177584,4.347104349,12.30607731,-0.277812603
(주)국보디자인,66620,2017-12-01,2002-09-05,,  전문직별 공사업,5,34.38,1.17,-2.42,3.74,14.21,5.15,24.24,0,16.98,4.93,15.26,8.26,14.33,1827,36087.79,1.68,2.91,9.3,0,402.51,16.51,22.11,0,0.91,0,0,1.38,2.05,2.05,220.15,220.15,43.1,65.57,45.03,2647.57,28.96,82.51,60.4,76642.09,46.62,1017.16,3981407.42,28.32,71.75,28.25,17.41,36.13,3543.84,2017,12,2017-12-01,34.38179005,1.16758334,,-2.423621419,5.150524602,14.21275182,3.741960879,24.23884594
(주)국보디자인,66620,2018-12-01,2002-09-05,,  전문직별 공사업,5,-6.06,-5.33,13.69,6.48,9.38,4.95,3.99,0,14.77,5.46,10.82,8.17,13.35,1903,33901.31,1.5,2.45,8.28,0,322.41,16.84,21.67,0,1.13,0,0,1.27,1.83,1.83,229.49,229.49,26.05,61.18,45.89,2896.01,30.1,81.32,62.04,69527.95,39.72,974.71,7204969.04,27.35,75.8,24.2,19.95,34.67,382.19,2018,12,2018-12-01,-6.05876991,-5.331331805,,13.69394787,4.952954469,9.383816454,6.481906458,3.98728425
(주)국보디자인,66620,2019-12-01,2002-09-05,,  전문직별 공사업,5,5.8,17.8,-15.28,27.12,13.59,36.86,14.92,0,11.99,5.93,6.99,8.02,13.75,2293,35867.46,1.35,2.32,8.91,0,121.22,14.24,25.64,0,3.01,0,0.01,1.09,1.6,1.6,206.55,206.55,16.28,80.37,45.16,3289.7,22.45,87.55,55.44,79433.85,35.7,945.33,1323897428,29.53,74.83,25.17,20.07,34.63,592.26,2019,12,2019-12-01,5.799634457,17.79851057,,-15.2773714,36.86259213,13.59427851,27.12469626,14.92177974
(주)국보디자인,66620,2020-12-01,2002-09-05,,  전문직별 공사업,5,7.11,-0.8,493.87,20.99,34.58,-46.23,26.07,0,15.87,6.98,11.12,8.17,13.89,2895,38418.53,1.17,1.99,3,0,133.04,13.48,27.08,0,2.74,0,0.01,1.18,1.92,1.92,110.11,110.11,32.87,62.16,3.57,4427.31,99.07,38.91,61.67,85139.91,31.62,1021.45,1418998582,29.55,68.75,31.25,23.61,34.43,2015.9,2020,12,2020-12-01,7.11248623,-0.804160422,,493.8740426,-46.23379911,34.58088187,20.99330122,26.07158923
