[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용),label
70.32,24.04,13.16,11.44,14.86,8.56,70.56,-0.29,63.9,12.48,9.01,6.26,14.03,0.0,7821.09,0.5,1.15,0.8,6.78,6.35,3.14,81.54,53.82,57.51,0.0,0.1,0.66,1.36,1.7,92.31,74.58,21.62,125.07,-3.04,1428.2,142.98,36.47,44.43,128478.83,19.61,45.95,277.98,41.21,32.48,67.52,30.29,1.2,5.33,0
3.73,19.78,11.25,10.5,7.14,9.87,-70.45,5.95,16.58,2.77,5.64,2.74,1.83,127.0,17622.29,0.99,1.83,2.16,4.25,4.83,5.8,62.98,85.84,75.5,0.01,0.3,1.04,1.82,3.18,135.83,78.75,10.31,80.6,14.3,1435.69,82.72,54.2,55.37,77022.04,21.78,101.69,202.22,23.14,39.84,60.16,11.99,4.46,6.86,0
-40.28,64.14,25.38,25.79,-69.15,26.01,0.0,0.0,0.0,-157.46,-20.16,-39.36,-58.89,0.0,964.07,0.15,0.38,0.44,0.0,8.66,0.0,0.0,0.0,42.15,0.02,0.12,0.12,0.23,0.23,90.31,90.31,4.8,302.31,-7.08,226.4,202.9,66.01,23.99,-14075.53,-10.53,-209.51,-529.47,-79.7,0.0,0.0,0.0,1.03,-4.52,0
9.32,-4.75,17.43,14.64,16.92,12.52,72.84,13.96,52.94,14.29,12.69,10.46,11.09,704.0,7288.2,0.73,0.87,1.67,7.86,5.17,39.0,9.36,46.46,70.59,0.01,0.0,1.08,1.3,1.56,553.63,461.44,261.22,18.31,45.72,1323.99,52.29,55.8,84.53,66967.53,28.48,122.05,521.57,41.57,52.73,47.27,34.39,2.85,134.14,0
75.57,5.79,30.74,7.85,6.57,0.91,0.0,7.1,40.49,10.4,6.91,4.78,5.0,250.0,2356.07,0.46,0.48,1.78,3.36,4.18,50.06,7.29,108.69,87.33,0.01,0.0,0.59,0.62,0.76,972.03,860.06,224.44,5.13,68.38,1012.35,29.63,71.81,95.12,5369.64,18.69,179.86,41241.44,42.2,70.83,29.17,24.65,4.38,3145.21,0
-24.05,7.16,9.6,2.09,2.49,-2.21,294.12,-6.09,8.42,4.21,0.69,1.88,2.3,177.0,4025.65,0.45,0.55,1.18,1.48,3.57,7.31,49.93,157.66,102.29,0.0,0.0,0.59,0.72,1.39,401.03,210.55,113.41,22.53,45.74,1489.25,47.86,60.94,81.62,7398.3,8.59,24.76,62.15,19.46,56.41,43.59,21.63,1.32,0.92,0
36.61,-20.88,-4.03,-1.08,2.86,3.71,-23.38,123.63,24.03,2.15,2.78,1.15,2.11,184.0,6984.76,0.54,0.8,0.88,23.68,3.51,4.01,81.54,15.42,103.9,0.04,0.04,0.8,1.38,1.46,145.81,133.73,15.67,46.34,12.54,1682.44,87.93,39.91,68.34,26842.84,13.94,72.07,768.69,25.86,71.93,28.07,8.3,2.46,3.87,0
55.84,22.74,17.62,22.99,14.56,35.85,564.63,0.0,24.59,19.06,11.6,10.31,14.33,1348.0,6888.86,0.54,0.75,0.79,0.0,12.47,0.0,0.0,0.0,29.27,0.03,0.08,1.03,1.74,1.74,138.44,138.44,90.37,43.62,9.03,1956.16,96.92,32.52,69.63,40594.58,42.19,72.47,120.2,69.96,33.59,66.41,22.15,0.93,22.88,0
52.75,2.98,29.25,37.93,21.59,38.91,0.0,-86.09,21.12,-9.9,6.0,-11.53,-33.45,-138.0,1459.59,1.17,3.38,6.59,18.78,3.99,8.24,44.27,19.43,91.59,0.01,0.07,0.76,1.29,1.39,134.85,132.9,13.91,206.41,23.37,83.79,29.32,88.77,32.64,3031.29,5.65,371.18,528.94,5.63,184.4,-84.4,-175.94,44.87,2.43,0
-32.32,-8.64,3.31,-0.95,3.46,-12.47,-57.34,-22.63,13.04,11.33,4.61,4.68,5.26,1032.0,8373.15,0.41,0.46,0.55,4.95,10.29,17.83,20.48,73.79,35.46,0.01,0.0,1.22,1.62,2.41,381.85,264.79,73.64,9.32,17.62,3552.55,83.23,23.87,91.48,13386.83,9.48,48.41,307.09,22.84,43.66,56.34,49.58,1.99,36.15,0
