,회사명,거래소코드,회계년도,매출액증가율(IFRS연결),유형자산증가율(IFRS연결),재고자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결)
0,(주)CMG제약,58820,2010/12,,,,,,,,
1,(주)CMG제약,58820,2011/12,56.39690482,-5.903937826,-1.425060524,-12.89011135,17.63602548,-2.015021258,1.977809894,-78.28316454
2,(주)CMG제약,58820,2012/12,-8.429134465,-4.12326882,7.730989321,-16.42597716,207.0771148,75.17050474,109.1471192,341.5718679
3,(주)CMG제약,58820,2013/12,25.51000779,16.09038836,56.29269633,77.04949643,-18.89123896,55.10040697,-2.093351662,10000
4,(주)CMG제약,58820,2014/12,11.52057578,74.30462415,6.37373834,68.15010837,-25.93257277,0.010945505,3.855596818,-46.64107421
5,(주)CMG제약,58820,2015/12,18.85196864,-5.369645756,11.04218658,1.65893645,-7.170528358,-4.480892909,-2.644307329,10000
6,(주)CMG제약,58820,2016/12,21.92128628,-5.143249521,17.19583688,6.432192212,199.8376917,116.0101629,96.31050607,10000
7,(주)CMG제약,58820,2017/12,25.98061409,-4.278386122,23.62870901,-12.00597088,3.116745462,-3.12895856,-1.272045136,64.06674017
8,(주)CMG제약,58820,2018/12,20.05315057,6.711050777,8.451672828,16.47320545,0.176153765,6.164569375,4.391537932,113.9413687
9,(주)CMG제약,58820,2019/12,17.56329547,39.67254895,5.556680589,26.20349951,85.05997051,73.25936202,68.07428544,-49.69226843
10,(주)CMG제약,58820,2020/12,9.957255281,23.30659262,66.28406907,18.52023447,-3.056728459,0.539925772,1.619000074,-92.95367001
11,(주)ES큐브,50120,2010/12,-31.91528202,10000,10000,10000,10000,10000,10000,10000
12,(주)ES큐브,50120,2011/12,21.62951339,27.8209395,27.4915973,30.73492109,3.830617334,-7.91924657,12.78327335,193.8866017
13,(주)ES큐브,50120,2012/12,4.854247527,-26.24662887,-8.812182355,10.16792174,-33.36793219,1.564117767,-16.57509724,10000
14,(주)ES큐브,50120,2013/12,4.69208537,-31.5596125,29.32843896,-62.75507585,68.92236255,6.304011816,1.849356743,10000
15,(주)ES큐브,50120,2014/12,-24.12699097,5.588845547,-2.885504337,18.4128627,20.48518856,17.12351472,20.09917439,10000
16,(주)ES큐브,50120,2015/12,-5.188114571,-14.39969207,11.49305549,38.88210707,-10.89296843,0.053133214,-1.751499457,37.28857082
17,(주)ES큐브,50120,2016/12,-18.65487191,258.9104413,9.795063461,275.8994468,23.56776306,44.39009507,89.07604564,10000
18,(주)ES큐브,50120,2017/12,4.247404846,64.55334615,12.06673275,1.05988574,0.29912582,1.563205887,0.69177729,-92.00791572
19,(주)ES큐브,50120,2018/12,-5.545508375,30.78534971,10.66676491,22.81566187,-11.70992887,-2.840375748,6.174930033,10000
20,(주)ES큐브,50120,2019/12,29.45408102,14.01979111,-17.20112389,55.750518,696.7548552,4.65013396,312.6611959,244.0655269
21,(주)ES큐브,50120,2020/12,84.57029349,69.21034044,23.10688554,274.2383117,-10.25585715,-6.132879872,54.08478725,82.6092637
22,(주)가비아,79940,2010/12,-49.64412933,10000,10000,10000,10000,10000,10000,10000
23,(주)가비아,79940,2011/12,30.07033254,11.46618307,-53.94715875,22.01953792,23.69752664,30.73172789,22.75884508,9.938704684
24,(주)가비아,79940,2012/12,30.69573941,70.81421278,10000,47.42825104,10.9590983,21.12267188,31.23739501,46.8878216
25,(주)가비아,79940,2013/12,2.342114784,-2.078375976,-62.32295872,1.074959486,16.92131376,16.3795734,7.023066528,-10.69243848
26,(주)가비아,79940,2014/12,13.80460418,0.139323525,10000,5.209926663,12.05185326,10.07208766,8.015646473,-41.10064077
27,(주)가비아,79940,2015/12,13.94540537,-0.491196576,,-6.677284074,24.61408689,11.37131491,6.634083479,62.73141856
28,(주)가비아,79940,2016/12,11.48992289,17.07850888,10000,24.05774689,15.31894737,14.09778365,19.71343442,-3.605479188
29,(주)가비아,79940,2017/12,13.73958056,5.160557957,22.85820297,2.614632875,9.747090656,4.111102986,6.030227139,-12.56742027
30,(주)가비아,79940,2018/12,10.7646865,8.040860219,18.31313594,9.087423908,18.06726952,14.30577361,13.53843992,54.56158641
31,(주)가비아,79940,2019/12,15.20910244,73.82403321,33.36084355,54.036366,11.30249847,18.19082721,32.00968327,43.493587
32,(주)가비아,79940,2020/12,13.98321998,23.21455361,15.76185389,20.57047388,42.42274591,28.33782898,30.06717252,13.20832614
33,(주)가온칩스,399720,2018/12,-99.99408441,10000,10000,10000,10000,10000,10000,10000
34,(주)가온칩스,399720,2019/12,0,10000,10000,10000,10000,10000,10000,10000
35,(주)가온칩스,399720,2020/12,170883.06,10000,10000,10000,10000,10000,10000,10000
36,(주)강스템바이오텍,217730,2013/12,-99.94151467,10000,10000,10000,10000,10000,10000,10000
37,(주)강스템바이오텍,217730,2014/12,0,10000,10000,10000,10000,10000,10000,10000
38,(주)강스템바이오텍,217730,2015/12,14745.93,10000,10000,10000,10000,10000,10000,10000
39,(주)강스템바이오텍,217730,2016/12,-43.22989533,35.54665177,74.01772998,55.68871829,100.9171814,8.192645151,89.89904824,44.25046241
40,(주)강스템바이오텍,217730,2017/12,983.6360724,227.5193183,196.0194438,131.6869076,-33.50449828,6.551150414,-0.511764222,36.62757406
41,(주)강스템바이오텍,217730,2018/12,0.356019021,14.44295081,11.20723384,10.2412626,94.06150167,94.35118539,55.07542653,20.34867464
42,(주)강스템바이오텍,217730,2019/12,-34.48678047,106.2027826,-86.11505935,140.630773,13.09438593,44.42465659,55.26364053,80.49628733
43,(주)강스템바이오텍,217730,2020/12,52.18203293,2.122287323,33.20883056,-35.16906033,-19.23454687,-29.22087929,-27.40003258,-25.01867292
44,(주)강원에너지,114190,2010/11,235.0803215,10000,10000,10000,10000,10000,10000,10000
45,(주)강원에너지,114190,2011/11,64.02365593,23.54974177,439.8566766,14.38313217,102.8807851,27.16056251,87.31913556,235.202815
46,(주)강원에너지,114190,2012/12,111.9973776,12.88522795,-4.532229556,51.99076228,67.86152941,47.36466589,66.15740553,55.95123303
47,(주)강원에너지,114190,2013/12,-52.41844523,8.401544968,-45.20742372,24.16044226,-23.52431395,27.05562185,-18.84070426,-56.29632197
