회사명,거래소코드,회계년도,상장폐지일
(주)CMG제약,058820,2011/12,
(주)CMG제약,058820,2012/12,
(주)CMG제약,058820,2013/12,
(주)CMG제약,058820,2014/12,
(주)CMG제약,058820,2015/12,
(주)CMG제약,058820,2016/12,
(주)CMG제약,058820,2017/12,
(주)CMG제약,058820,2018/12,
(주)CMG제약,058820,2019/12,
(주)CMG제약,058820,2020/12,
(주)ES큐브,050120,2011/12,
(주)ES큐브,050120,2012/12,
(주)ES큐브,050120,2013/12,
(주)ES큐브,050120,2014/12,
(주)ES큐브,050120,2015/12,
(주)ES큐브,050120,2016/12,
(주)ES큐브,050120,2017/12,
(주)ES큐브,050120,2018/12,
(주)ES큐브,050120,2019/12,
(주)ES큐브,050120,2020/12,
(주)가비아,079940,2011/12,
(주)가비아,079940,2012/12,
(주)가비아,079940,2013/12,
(주)가비아,079940,2014/12,
(주)가비아,079940,2015/12,
(주)가비아,079940,2016/12,
(주)가비아,079940,2017/12,
(주)가비아,079940,2018/12,
(주)가비아,079940,2019/12,
(주)가비아,079940,2020/12,
(주)강스템바이오텍,217730,2015/12,
(주)강스템바이오텍,217730,2016/12,
(주)강스템바이오텍,217730,2017/12,
(주)강스템바이오텍,217730,2018/12,
(주)강스템바이오텍,217730,2019/12,
(주)강스템바이오텍,217730,2020/12,
(주)강원에너지,114190,2011/11,
(주)강원에너지,114190,2012/12,
(주)강원에너지,114190,2013/12,
(주)강원에너지,114190,2014/12,
(주)강원에너지,114190,2015/12,
(주)강원에너지,114190,2016/12,
(주)강원에너지,114190,2017/12,
(주)강원에너지,114190,2018/12,
(주)강원에너지,114190,2019/12,
(주)강원에너지,114190,2020/12,
(주)고려시멘트,198440,2014/12,
(주)고려시멘트,198440,2015/12,
(주)고려시멘트,198440,2016/12,
(주)고려시멘트,198440,2017/12,
(주)고려시멘트,198440,2018/12,
(주)고려시멘트,198440,2019/12,
(주)고려시멘트,198440,2020/12,
(주)고바이오랩,348150,2020/12,
(주)고영테크놀러지,098460,2011/12,
(주)고영테크놀러지,098460,2012/12,
(주)고영테크놀러지,098460,2013/12,
(주)고영테크놀러지,098460,2014/12,
(주)고영테크놀러지,098460,2015/12,
(주)고영테크놀러지,098460,2016/12,
(주)고영테크놀러지,098460,2017/12,
(주)고영테크놀러지,098460,2018/12,
(주)고영테크놀러지,098460,2019/12,
(주)고영테크놀러지,098460,2020/12,
(주)골드앤에스,035290,2011/12,
(주)골드앤에스,035290,2012/12,
(주)골드앤에스,035290,2013/12,
(주)골드앤에스,035290,2014/12,
(주)골드앤에스,035290,2015/12,
(주)골드앤에스,035290,2016/12,
(주)골드앤에스,035290,2017/12,
(주)골드앤에스,035290,2018/12,
(주)골드앤에스,035290,2019/12,
(주)골드앤에스,035290,2020/12,
(주)골드퍼시픽,038530,2011/12,
(주)골드퍼시픽,038530,2012/12,
(주)골드퍼시픽,038530,2013/12,
(주)골드퍼시픽,038530,2014/12,
(주)골드퍼시픽,038530,2015/12,
(주)골드퍼시픽,038530,2016/12,
(주)골드퍼시픽,038530,2017/12,
(주)골드퍼시픽,038530,2018/12,
(주)골드퍼시픽,038530,2019/12,
(주)골드퍼시픽,038530,2020/12,
(주)골프존,215000,2015/12,
(주)골프존,215000,2016/12,
(주)골프존,215000,2017/12,
(주)골프존,215000,2018/12,
(주)골프존,215000,2019/12,
(주)골프존,215000,2020/12,
(주)골프존뉴딘홀딩스,121440,2011/12,
(주)골프존뉴딘홀딩스,121440,2012/12,
(주)골프존뉴딘홀딩스,121440,2013/12,
(주)골프존뉴딘홀딩스,121440,2014/12,
(주)골프존뉴딘홀딩스,121440,2015/12,
(주)골프존뉴딘홀딩스,121440,2016/12,
(주)골프존뉴딘홀딩스,121440,2017/12,
(주)골프존뉴딘홀딩스,121440,2018/12,
(주)골프존뉴딘홀딩스,121440,2019/12,
(주)골프존뉴딘홀딩스,121440,2020/12,
(주)광림,014200,2011/12,
(주)광림,014200,2012/12,
(주)광림,014200,2013/12,
(주)광림,014200,2014/12,
(주)광림,014200,2015/12,
(주)광림,014200,2016/12,
(주)광림,014200,2017/12,
(주)광림,014200,2018/12,
(주)광림,014200,2019/12,
(주)광림,014200,2020/12,
(주)광무,029480,2011/12,
(주)광무,029480,2012/12,
(주)광무,029480,2013/12,
(주)광무,029480,2014/12,
(주)광무,029480,2015/12,
(주)광무,029480,2016/12,
(주)광무,029480,2017/12,
(주)광무,029480,2018/12,
(주)광무,029480,2019/12,
(주)광무,029480,2020/12,
(주)구영테크,053270,2011/12,
(주)구영테크,053270,2012/12,
(주)구영테크,053270,2013/12,
(주)구영테크,053270,2014/12,
(주)구영테크,053270,2015/12,
(주)구영테크,053270,2016/12,
(주)구영테크,053270,2017/12,
(주)구영테크,053270,2018/12,
(주)구영테크,053270,2019/12,
(주)구영테크,053270,2020/12,
(주)국보디자인,066620,2011/12,
(주)국보디자인,066620,2012/12,
(주)국보디자인,066620,2013/12,
(주)국보디자인,066620,2014/12,
(주)국보디자인,066620,2015/12,
(주)국보디자인,066620,2016/12,
(주)국보디자인,066620,2017/12,
(주)국보디자인,066620,2018/12,
(주)국보디자인,066620,2019/12,
(주)국보디자인,066620,2020/12,
(주)국순당,043650,2011/12,
(주)국순당,043650,2012/12,
(주)국순당,043650,2013/12,
(주)국순당,043650,2014/12,
(주)국순당,043650,2015/12,
(주)국순당,043650,2016/12,
(주)국순당,043650,2017/12,
(주)국순당,043650,2018/12,
(주)국순당,043650,2019/12,
(주)국순당,043650,2020/12,
(주)국영지앤엠,006050,2011/12,
(주)국영지앤엠,006050,2012/12,
(주)국영지앤엠,006050,2013/12,
(주)국영지앤엠,006050,2014/12,
(주)국영지앤엠,006050,2015/12,
(주)국영지앤엠,006050,2016/12,
(주)국영지앤엠,006050,2017/12,
(주)국영지앤엠,006050,2018/12,
(주)국영지앤엠,006050,2019/12,
(주)국영지앤엠,006050,2020/12,
(주)국전약품,307750,2018/12,
(주)국전약품,307750,2019/12,
(주)국전약품,307750,2020/12,
(주)그래디언트,035080,2011/12,
(주)그래디언트,035080,2012/12,
(주)그래디언트,035080,2013/12,
(주)그래디언트,035080,2014/12,
(주)그래디언트,035080,2015/12,
(주)그래디언트,035080,2016/12,
(주)그래디언트,035080,2017/12,
(주)그래디언트,035080,2018/12,
(주)그래디언트,035080,2019/12,
(주)그래디언트,035080,2020/12,
(주)그리티,204020,2018/12,
(주)그리티,204020,2019/12,
(주)그리티,204020,2020/12,
(주)그린플러스,186230,2019/12,
(주)그린플러스,186230,2020/12,
(주)극동자동화,272420,2017/12,2018/11/15
(주)글로벌스탠다드테크놀로지,083450,2011/12,
(주)글로벌스탠다드테크놀로지,083450,2012/12,
(주)글로벌스탠다드테크놀로지,083450,2013/12,
(주)글로벌스탠다드테크놀로지,083450,2014/12,
(주)글로벌스탠다드테크놀로지,083450,2015/12,
(주)글로벌스탠다드테크놀로지,083450,2016/12,
(주)글로벌스탠다드테크놀로지,083450,2017/12,
(주)글로벌스탠다드테크놀로지,083450,2018/12,
(주)글로벌스탠다드테크놀로지,083450,2019/12,
(주)글로벌스탠다드테크놀로지,083450,2020/12,
(주)금오하이텍,165270,2013/12,2017/06/07
(주)금오하이텍,165270,2014/12,2017/06/07
(주)금오하이텍,165270,2015/12,2017/06/07
(주)금오하이텍,165270,2016/12,2017/06/07
(주)금화피에스시,036190,2011/12,
(주)금화피에스시,036190,2012/12,
(주)금화피에스시,036190,2013/12,
(주)금화피에스시,036190,2014/12,
(주)금화피에스시,036190,2015/12,
(주)금화피에스시,036190,2016/12,
(주)금화피에스시,036190,2017/12,
(주)금화피에스시,036190,2018/12,
(주)금화피에스시,036190,2019/12,
(주)금화피에스시,036190,2020/12,
(주)기가레인,049080,2013/12,
(주)기가레인,049080,2014/12,
(주)기가레인,049080,2015/12,
(주)기가레인,049080,2016/12,
(주)기가레인,049080,2017/12,
(주)기가레인,049080,2018/12,
(주)기가레인,049080,2019/12,
(주)기가레인,049080,2020/12,
(주)기산텔레콤,035460,2011/12,
(주)기산텔레콤,035460,2012/12,
(주)기산텔레콤,035460,2013/12,
(주)기산텔레콤,035460,2014/12,
(주)기산텔레콤,035460,2015/12,
(주)기산텔레콤,035460,2016/12,
(주)기산텔레콤,035460,2017/12,
(주)기산텔레콤,035460,2018/12,
(주)기산텔레콤,035460,2019/12,
(주)기산텔레콤,035460,2020/12,
