회사명,거래소코드,회계년도,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]1주당매출액(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결),상장일,상장폐지일,소속코드,산업명
(주)금빛,45890,Dec-11,-28.11,-3.53,-4,-42.51,-57.36,-25.96,0,-24.64,-11.19,-58.01,-21.38,-24.95,-59.57,-1366,2205.57,0.43,1.07,0.75,1.49,1.51,0,7.67,0.42,1.26,1.01,151.89,2.4,241.22,96.41,3.79,104.65,62.18,10.5,357.95,2.22,148.74,-7.72,124.22,50.06,40.2,-20171.84,-18.45,-46.14,-697.68,-35.89,0,0,0,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업
(주)금빛,45890,Dec-12,-10.15,-1.04,3.85,-24.12,-15.85,-10.1,0,27.92,27.73,-8.84,-3.81,-6.12,-14.7,-272,2821.38,0.69,1.69,1.49,2.6,3.52,0.01,1.11,0.73,1.65,1.29,71.23,5.12,103.81,47.16,7.74,83.68,46.03,10.22,321.8,-8.24,139.1,-1.49,138.02,42.28,41.82,7320.9,7.45,16.92,233.27,10.18,137.85,-37.85,-86.79,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업
(주)금빛,45890,Dec-13,5.84,-2.39,7.46,3.64,-14.98,5.71,0,22.98,28.99,3.27,5.48,2.86,6.85,116,3469.69,0.87,2.09,2.09,3.54,5.11,0.01,1.06,0.92,2.07,1.5,54.61,6.68,71.37,33.64,10.85,73.49,46.36,11.65,340.18,-14.93,139.4,1.83,140.3,41.4,41.77,22703.29,21.84,53.79,887.9,25.68,61.47,38.53,12.74,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업
(주)금빛,45890,Dec-14,5.01,0.15,3.77,6.78,27.64,4.33,-43.56,-6.51,30.81,1.97,5.48,1.53,3.68,65,3243.93,0.78,1.86,1.86,3.13,4.57,0.01,0.53,0.79,1.96,1.33,75.45,4.84,79.85,48.55,7.52,74.14,41.42,1.79,354.91,-14.68,141.45,2.26,139.82,42.09,41.42,23218.34,21.27,54.96,790.82,28.09,66.07,33.93,7.02,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업
(주)금빛,45890,Dec-15,1.56,-0.2,-0.8,4.8,0.3,7.47,88.01,2.58,29.44,3.62,3.95,2.79,6.54,123,3327.49,0.77,1.81,1.8,3.17,4.17,0.01,0.71,0.8,2.01,1.35,81.45,4.48,87.43,50.32,7.25,87.38,50.47,1.67,381.42,-6.28,128.17,1.82,129.07,43.43,43.83,23668.16,21.35,56.24,832.41,27.91,63.79,36.21,12.95,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업
(주)금빛,45890,Dec-16,-0.15,-2.69,4.94,-6.78,-13.78,8.9,-13.73,-10.77,30.9,3.5,3.84,2.39,5.21,105,2933.13,0.68,1.49,1.63,2.74,3.99,0.01,0,0.78,1.82,1.18,83.94,4.35,91.37,39.5,9.24,100.63,61.32,6.06,407.58,0.25,109.21,1.83,124.37,40.55,47.8,22485.48,20.31,54.94,963.82,29.72,63.14,36.86,11.76,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업
(주)금빛,45890,Dec-17,-0.97,-2.67,-14.92,19.48,16.97,-15.23,-304,-3.64,25.85,-7.4,0.09,-4.9,-11.04,-211,2796.91,0.66,1.49,1.48,2.41,3.83,0.01,2.77,0.8,1.8,1.2,89.67,4.07,95.25,48.4,7.54,135.38,83.6,9.98,340.41,12.78,144.41,0.03,124.84,48.92,40.91,16634.17,15.17,41.76,755.92,22.82,84.22,15.78,-32.44,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업
(주)금빛,45890,Dec-18,-6.41,37.83,3.67,-16.92,-22.62,11.08,0,-27.08,5.24,-12.5,-15.6,-6.26,-14.04,-256,1999.62,0.5,1.12,1.08,1.72,2.92,0.01,1.04,0.6,1.12,0.93,108.18,3.37,124.9,68.47,5.33,112.13,72.19,10.5,374.84,4.7,105.94,-8.83,116.5,43.43,48.56,10254.87,9.99,18.7,595.25,19.29,139.63,-39.63,-64.8,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업
(주)금빛,45890,Dec-19,0.23,2.58,12.85,-16.21,-23.16,-37.73,0,10.33,15.07,-62.78,-15.3,-35.84,-91.08,-1163,2033.25,0.57,1.45,1.43,2.18,4.18,0.01,0.99,0.62,1.05,0.95,58.78,6.21,87.34,38.91,9.38,55.42,37.32,6.13,162.26,-29.2,231.46,-4.07,211.13,36.3,30.17,-15590.79,-15.16,-27.96,-1381.64,-26.58,0,0,0,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업
(주)금빛,45890,Dec-20,19.45,8.74,19.44,19.47,-51.27,62.3,0,-30.22,6.56,-43.47,-16.68,-15.77,-43.72,-336,846.52,0.36,1.01,1,1.28,4.51,0.01,0.21,0.38,0.69,0.57,56.56,6.45,80.88,59.91,6.09,68.34,59.24,4.68,134.17,-16.82,143.95,-4.86,155.38,36.31,40.99,272.56,0.22,0.45,11.12,0.67,4117.38,-4017.38,-6527.69,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업
