[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
68.34,0.42,58.88,14.11,2.07,77.05,1.45,0.74,28.72,2013,0
48.74,0.56,69.23,18.5,1.86,68.15,0.69,0.32,20.7,2014,0
61.43,1.09,18.51,41.36,4.27,30.73,-8.99,-12.61,-20.2,2011,0
48.2,0.66,11.55,45.42,13.8,1.06,4.86,2.41,44.51,2017,0
42.54,1.45,10.72,30.51,27.05,5.21,8.4,8.18,45.15,2014,0
47.89,1.4,12.64,31.1,10.12,24.06,9.96,10.68,41.73,2016,0
72.8,0.67,56.23,32.89,2.52,67.54,2.18,2.33,15.44,2014,0
54.98,0.61,0.0,25.85,8.87,112.9,8.81,4.62,53.1,2011,0
73.08,0.93,7.83,8.33,29.65,115.64,21.54,18.23,67.98,2011,0
13.45,1.09,8.85,44.06,50.51,-1.75,1.18,0.75,39.98,2016,0
56.56,2.05,22.75,30.82,11.73,25.03,9.68,23.25,36.3,2017,0
40.55,0.78,39.5,109.21,4.35,4.94,3.5,5.21,36.86,2016,0
62.69,1.49,2.85,21.52,5.98,68.35,13.72,19.37,32.55,2013,0
61.55,1.15,0.0,21.78,11.94,74.25,15.17,17.75,35.2,2017,0
42.26,1.01,14.04,22.71,9.25,83.23,15.56,11.36,37.03,2018,0
50.33,0.63,13.39,14.39,9.47,55.13,19.08,6.58,35.66,2018,0
32.79,1.01,26.63,16.99,3.57,25.65,12.33,7.24,45.38,2012,0
27.65,0.9,19.72,32.28,4.13,28.15,8.13,4.31,38.93,2014,0
69.7,1.1,45.01,41.22,2.99,132.59,20.2,32.23,33.41,2012,0
67.12,0.83,34.27,13.53,3.9,97.03,13.93,11.06,54.0,2011,0
71.08,1.03,32.8,29.44,4.05,3.93,11.24,13.46,61.37,2011,0
68.4,0.92,37.52,16.03,6.11,36.53,18.86,16.95,62.15,2012,0
59.82,1.0,25.98,20.59,8.2,51.31,15.25,13.92,54.68,2013,0
60.17,1.39,49.32,34.43,7.68,61.67,8.53,14.51,42.26,2018,0
84.27,1.48,14.68,20.35,14.9,83.0,2.45,4.45,31.26,2018,0
62.87,0.81,12.7,27.7,8.08,19.42,16.33,14.33,53.91,2016,0
68.76,1.65,28.95,22.46,4.33,-0.68,6.8,9.97,68.58,2017,0
60.96,1.52,45.12,105.61,3.93,7.01,2.44,7.96,44.98,2011,0
60.87,1.5,44.39,105.04,4.11,5.77,2.09,6.71,39.55,2012,0
62.84,1.56,40.13,110.41,4.49,-0.61,1.01,3.35,44.14,2013,0
62.23,1.58,36.37,91.03,4.52,3.14,4.05,12.79,41.95,2014,0
