[제조]유동자산구성비율,[제조]순운전자본비율,[제조]매입채무회전기간,[제조]총자본증가율,[제조]매출채권회전률,[제조]매출액순이익률,[제조]노동소득분배율,[제조]자기자본순이익률,[제조]재고자산증가율,year,label
68.34,58.5,58.88,-2.09,2.07,1.45,71.28,0.74,56.29,2013,0
42.54,26.07,10.72,8.02,27.05,8.4,54.85,8.18,0.0,2014,0
49.57,27.52,19.48,6.03,7.68,8.32,59.97,8.88,22.86,2017,0
73.64,51.57,70.79,27.48,2.93,0.22,87.22,0.18,0.0,2015,0
75.18,28.72,56.25,0.71,1.97,1.99,59.86,4.19,50.46,2018,0
63.73,51.73,6.27,8.69,3.56,2.43,54.39,1.14,56.32,2012,0
39.37,-30.4,40.55,4.74,6.64,-0.44,58.86,-1.4,2.89,2011,0
35.78,30.73,10.77,13.71,7.28,15.44,55.34,4.88,-4.14,2017,0
80.82,35.62,51.15,7.61,3.71,4.94,54.83,10.89,14.27,2013,0
84.8,50.62,65.39,-2.61,3.38,2.13,63.09,3.95,-17.39,2015,0
61.55,44.21,0.0,15.97,11.94,15.17,64.8,17.75,55.65,2017,0
49.43,36.77,22.12,-2.47,6.31,21.93,44.26,27.59,-20.09,2014,0
41.45,32.29,11.77,2.91,5.24,5.34,71.86,3.05,30.96,2011,0
57.05,38.78,15.71,12.76,8.87,9.47,56.77,10.69,49.11,2015,0
34.04,-5.35,18.17,-8.48,8.41,8.4,34.6,17.13,-16.15,2018,0
62.84,54.85,38.31,5.66,3.26,14.28,50.72,8.61,35.6,2012,0
71.08,51.26,32.8,9.55,4.05,11.24,38.63,13.46,18.62,2011,0
69.69,57.45,44.34,-7.65,4.4,11.4,48.62,10.15,47.57,2012,0
68.4,55.02,37.52,28.92,6.11,18.86,37.85,16.95,0.0,2012,0
76.43,39.45,53.21,21.28,3.48,4.57,54.3,15.57,42.45,2014,0
68.56,44.51,59.6,19.9,1.35,8.5,55.08,10.45,13.96,2012,0
65.96,24.65,54.81,17.6,1.5,7.91,53.17,8.73,29.27,2013,0
82.85,44.24,39.17,-2.76,6.06,-1.39,90.67,1.72,-44.04,2018,0
57.98,32.43,54.71,19.6,1.57,9.12,47.9,5.31,44.29,2016,0
71.02,35.56,31.59,14.58,3.78,0.39,73.31,0.74,42.62,2014,0
60.96,18.89,45.12,9.84,3.93,2.44,55.02,7.96,44.73,2011,0
59.82,29.07,31.05,4.02,5.14,6.28,49.79,17.34,18.37,2015,0
58.18,28.72,32.22,8.98,5.55,7.79,48.91,16.75,13.25,2016,0
66.83,47.58,20.59,-2.4,18.58,3.24,48.74,7.26,35.92,2013,0
58.11,20.63,60.06,14.57,3.35,11.68,39.5,17.9,50.15,2011,0
33.03,9.55,45.83,5.53,3.41,7.73,59.34,5.93,17.49,2018,0
23.94,-20.58,43.26,0.18,4.89,-3.65,73.08,-3.32,0.97,2015,0
52.9,34.32,35.05,14.76,8.3,5.95,56.22,14.57,36.31,2011,0
92.89,81.09,27.35,53.34,12.24,1.45,90.66,1.51,52.11,2015,0
49.51,20.73,32.31,1.15,3.57,2.72,57.48,3.49,38.62,2017,0
51.19,21.53,41.91,8.14,7.55,4.16,44.28,6.18,23.89,2016,0
65.78,37.74,53.59,7.86,4.73,5.93,59.07,10.29,40.93,2014,0
74.96,40.37,33.79,60.05,7.64,14.65,31.06,24.54,45.59,2016,0
75.16,55.9,46.03,22.49,6.96,6.01,49.84,8.88,46.13,2017,0
64.78,40.77,24.84,10.94,18.5,1.11,76.22,2.19,67.43,2012,0
29.44,10.1,0.0,-5.71,10.9,2.44,39.1,1.27,0.0,2016,0
12.21,-40.09,0.0,7.21,5.83,-2.75,43.17,-1.06,0.0,2016,0
58.49,49.03,9.68,11.4,6.44,11.09,69.9,14.31,60.64,2018,0
70.29,52.44,27.3,-6.53,10.17,14.95,36.07,25.39,-44.92,2018,0
68.73,43.08,45.58,34.51,7.54,8.22,68.51,20.99,11.17,2018,0
74.53,52.0,65.56,4.8,3.08,12.78,45.4,18.67,-8.73,2011,0
79.9,51.13,56.58,27.51,3.45,7.24,58.15,8.14,-3.7,2014,0
62.93,44.7,35.09,57.19,3.3,5.33,56.38,12.21,8.73,2016,0
22.59,-22.83,38.89,10.0,13.25,6.76,51.66,33.89,-26.25,2012,0
23.97,-14.55,14.11,-11.44,15.64,2.98,52.21,9.15,4.17,2015,0
46.98,35.86,37.89,25.67,4.87,6.28,71.77,5.53,0.0,2018,0
30.75,20.85,2.28,1.81,15.02,8.07,55.77,8.86,-10.02,2013,0
44.93,31.28,2.18,11.16,16.17,8.72,54.83,8.89,-17.64,2014,0
30.42,6.11,18.58,2.47,27.64,9.56,49.95,11.14,-5.17,2016,0
28.35,3.93,17.07,10.52,25.64,9.19,51.49,10.78,-18.09,2017,0
60.86,39.92,49.39,23.68,8.21,3.57,47.13,4.31,46.77,2011,0
60.35,51.9,12.32,4.52,7.08,12.95,57.9,7.24,86.48,2018,0
