회사명,거래소코드,회계년도,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용),year,month,label
(주)CMG제약,58820,2011-12-01,2001-08-31,,  의료용 물질 및 의약품 제조업,5,56.4,-5.9,-12.89,1.98,-2.02,17.64,-78.28,-1.43,41.83,-8.5,2.52,-5.58,-8.28,-35.0,406.28,0.66,0.97,1.38,6.42,2.45,11.95,30.53,56.81,148.8,0.01,0.0,0.86,1.25,1.55,200.97,165.03,15.1,51.41,28.23,82.55,66.34,56.18,66.05,3472.17,12.72,35.86,128.51,19.56,89.82,10.18,-43.44,1.77,3.53,2011,12,0
(주)CMG제약,58820,2012-12-01,2001-08-31,,  의료용 물질 및 의약품 제조업,5,-8.43,-4.12,-16.43,109.15,75.17,207.08,341.57,7.73,28.34,-40.97,-9.65,-15.78,-26.84,-138.0,332.74,0.39,0.66,1.48,5.71,1.85,7.83,46.62,63.97,197.16,0.0,0.0,0.42,0.52,0.57,693.49,649.98,68.81,80.77,70.6,95.69,31.65,82.49,55.32,269.31,0.47,2.89,10.67,1.66,1749.87,-1649.87,-2473.07,1.71,-7.75,2012,12,0
(주)CMG제약,58820,2013-12-01,2001-08-31,,  의료용 물질 및 의약품 제조업,5,25.51,16.09,77.05,-2.09,55.1,-18.89,0.0,56.29,38.7,1.45,2.81,0.52,0.74,4.16,235.52,0.36,0.51,1.47,5.39,2.07,6.2,58.88,67.75,176.2,0.01,0.79,0.42,0.48,0.52,694.71,610.74,394.63,14.11,58.5,113.12,36.13,68.34,87.63,6994.9,12.51,77.91,289.4,34.29,71.28,28.72,4.23,2.03,0.7,2013,12,0
(주)CMG제약,58820,2014-12-01,2001-08-31,,  의료용 물질 및 의약품 제조업,5,11.52,74.3,68.15,3.86,0.01,-25.93,-46.64,6.37,37.07,0.69,1.25,0.28,0.32,1.82,262.65,0.4,0.46,0.96,4.77,1.86,5.27,69.23,76.46,196.72,0.0,0.74,0.56,0.68,0.8,324.58,268.23,101.24,18.5,33.72,113.13,60.75,48.74,84.39,7061.34,12.16,37.8,132.06,31.04,79.3,20.7,2.24,1.54,3.6,2014,12,0
(주)CMG제약,58820,2015-12-01,2001-08-31,,  의료용 물질 및 의약품 제조업,5,18.85,-5.37,1.66,-2.64,-4.48,-7.17,0.0,11.04,36.26,-13.5,-4.3,-6.37,-7.62,-42.0,306.26,0.47,0.56,0.9,5.22,2.1,5.66,64.54,69.98,174.14,0.01,0.6,0.75,0.99,1.22,296.85,235.21,29.0,20.78,30.82,106.02,64.65,46.47,82.8,4315.37,7.63,24.21,90.92,15.96,144.1,-44.1,-84.58,1.48,-32.22,2015,12,0
(주)CMG제약,58820,2016-12-01,2001-08-31,,  의료용 물질 및 의약품 제조업,5,21.92,-5.14,6.43,96.31,116.01,199.84,0.0,17.2,40.36,5.24,2.25,2.06,2.34,19.0,361.04,0.39,0.45,1.06,5.56,2.66,6.26,58.3,65.59,137.38,0.01,0.51,0.54,0.63,0.71,862.15,792.17,23.52,9.76,62.75,186.02,31.85,70.98,91.1,10518.86,9.48,62.31,273.6,31.9,63.53,36.47,16.43,1.9,50.08571428571429,2016,12,0
(주)CMG제약,58820,2017-12-01,2001-08-31,,  의료용 물질 및 의약품 제조업,5,25.98,-4.28,-12.01,-1.27,-3.13,3.12,64.07,23.63,43.43,6.83,2.44,2.57,2.85,26.0,381.71,0.38,0.42,1.37,5.81,3.01,6.55,55.76,62.82,121.16,0.01,0.44,0.46,0.52,0.57,746.28,673.66,34.9,11.87,64.2,179.9,28.94,74.13,89.39,13710.01,12.51,84.87,389.08,33.01,64.09,35.91,20.68,2.51,50.08571428571429,2017,12,0
(주)CMG제약,58820,2018-12-01,2001-08-31,,  의료용 물질 및 의약품 제조업,5,20.05,6.71,16.47,4.39,6.16,0.18,113.94,8.45,45.6,12.16,2.74,5.42,6.01,56.0,457.95,0.45,0.49,1.63,6.05,3.08,8.93,40.86,60.3,118.41,0.01,4.93,0.55,0.61,0.68,957.86,856.94,158.5,10.0,63.71,190.99,31.75,71.14,90.91,16847.65,14.73,106.25,478.91,33.79,67.33,32.67,36.0,2.98,50.08571428571429,2018,12,0
(주)CMG제약,58820,2019-12-01,2001-08-31,,  의료용 물질 및 의약품 제조업,5,17.56,39.67,26.2,68.07,73.26,85.06,-49.69,5.56,49.34,5.2,2.42,1.99,2.15,25.0,538.36,0.38,0.41,1.57,6.65,3.12,13.81,26.43,54.86,116.9,0.01,0.0,0.47,0.51,0.55,1618.07,1520.84,199.55,6.71,73.49,259.42,23.12,78.33,93.71,19033.25,9.9,114.6,438.05,32.47,72.6,27.4,16.03,2.83,303.0,2019,12,0
(주)CMG제약,58820,2020-12-01,2001-08-31,,  의료용 물질 및 의약품 제조업,5,9.96,23.31,18.52,1.62,0.54,-3.06,-92.95,66.28,48.42,0.33,1.37,0.11,0.12,2.0,464.1,0.33,0.36,1.42,5.35,3.3,13.0,28.08,68.22,110.66,0.01,0.0,0.4,0.43,0.47,1069.54,959.3,58.94,7.85,67.74,260.82,27.26,74.73,92.72,17019.7,8.71,108.22,475.13,26.4,86.14,13.86,1.26,2.39,79.74,2020,12,0
