ÅõÀÚÀÏÀÚ,ÀÏÀÏ¼öÀÍ·ü(%),´©Àû¼öÀÍ·ü(%),¿¬´©Àû¼öÀÍ·ü(%),ÄÚ½º´ÚÁ¾°¡,ÄÚ½º´Ú¼öÀÍ·ü(%),ÄÚ½º´Ú´©Àû¼öÀÍ·ü(%),ÄÚ½º´Ú¿¬´©Àû¼öÀÍ·ü(%),ÅõÀÚ¿¬Â÷
2011-04-04,0.7788921928589712,0.778892192858982,0.778892192858982,534.9,0.5337743863473999,0.5337743863474076,0.5337743863474076,1.0
2011-04-05,-0.19318221996982848,0.5842052916598117,0.5842052916598117,537.66,0.51598429613011,1.0525128744878431,1.0525128744878431,1.0
2011-04-06,-0.19695824659385347,0.38609640456699346,0.38609640456699346,533.98,-0.68444742030278,0.3608615569672846,0.3608615569672846,1.0
2011-04-07,0.304526635069917,0.6917988060258784,0.6917988060258784,534.97,0.18540020225477,0.546930797278522,0.546930797278522,1.0
2011-04-08,0.6123774581609515,1.3084126841307775,1.3084126841307775,534.2,-0.14393330467128,0.4022102770364411,0.4022102770364411,1.0
2011-04-11,0.7358748666585915,2.0539158308840566,2.0539158308840566,533.11,-0.20404342942719,0.19734616396647198,0.19734616396647198,1.0
2011-04-12,-0.441488068553422,1.6033599689991629,1.6033599689991629,525.11,-1.50062838813753,-1.3062436567304325,-1.3062436567304325,1.0
2011-04-13,0.4625680775846769,2.073344677969202,2.073344677969202,528.7,0.68366627944622,-0.6315077246926815,-0.6315077246926815,1.0
2011-04-14,0.5841140704417759,2.6695694464037523,2.6695694464037523,531.47,0.52392661244562,-0.11088974927637718,-0.11088974927637718,1.0
2011-04-15,-0.8510837963327335,1.795765377080838,1.795765377080838,534.58,0.58516943571602,0.4736307935195416,0.4736307935195416,1.0
2011-04-18,-0.5847923761009585,1.2004715019620527,1.2004715019620527,528.52,-1.13360020951027,-0.665338495658363,-0.665338495658363,1.0
2011-04-19,-0.6627160829275046,0.5297997013200773,0.5297997013200773,526.62,-0.35949443729659,-1.0224410780738658,-1.0224410780738658,1.0
2011-04-20,0.8815877938553855,1.4160581446741816,1.4160581446741816,532.25,1.06908207056322,0.03571025824158358,0.03571025824158358,1.0
2011-04-21,-1.298785226414165,0.09888136427955718,0.09888136427955718,529.58,-0.5016439643024699,-0.466112844415989,-0.466112844415989,1.0
2011-04-22,-0.35786983476781803,-0.2593423370632286,-0.2593423370632286,525.26,-0.81574077570906,-1.278051347592335,-1.278051347592335,1.0
2011-04-25,1.3327979265890018,1.0699990802346182,1.0699990802346182,528.6,0.6358755663861699,-0.6503025974513688,-0.6503025974513688,1.0
2011-04-26,-1.2637415764114566,-0.207264519420991,-0.207264519420991,521.68,-1.30911842603104,-1.9509077923542173,-1.9509077923542173,1.0
2011-04-27,0.7658557169084329,0.5570038503163399,0.5570038503163399,518.39,-0.63065480754485,-2.5692591061158176,-2.5692591061158176,1.0
2011-04-28,-1.4890495256021643,-0.9403397384765366,-0.9403397384765366,514.67,-0.71760643530932,-3.2684283727398733,-3.2684283727398733,1.0
2011-04-29,-0.6531797911104731,-1.5873774204475,-1.5873774204475,511.0,-0.7130782831717299,-3.958200202984574,-3.958200202984574,1.0
2011-05-02,1.4724526514470495,-0.13829814991630496,-0.13829814991630496,516.76,1.12720156555772,-2.875615532082798,-2.875615532082798,1.0
2011-05-03,0.271428776565022,0.13275524567240016,0.13275524567240016,512.51,-0.8224320767861201,-3.6743976243280185,-3.6743976243280185,1.0
2011-05-04,-0.11084054201033551,0.021767557028207207,0.021767557028207207,510.53,-0.3863339251917,-4.046536104950493,-4.046536104950493,1.0
