ÅõÀÚÀÏÀÚ,ÀÏÀÏ¼öÀÍ·ü(%),´©Àû¼öÀÍ·ü(%),¿¬´©Àû¼öÀÍ·ü(%),ÄÚ½º´ÚÁ¾°¡,ÄÚ½º´Ú¼öÀÍ·ü(%),ÄÚ½º´Ú´©Àû¼öÀÍ·ü(%),ÄÚ½º´Ú¿¬´©Àû¼öÀÍ·ü(%),ÅõÀÚ¿¬Â÷
2011-04-04,3.0829755339585407,3.082975533958532,3.082975533958532,534.9,0.5337743863473999,0.5337743863474076,0.5337743863474076,1.0
2011-04-05,1.4293208655356655,4.556362012080428,4.556362012080428,537.66,0.51598429613011,1.0525128744878431,1.0525128744878431,1.0
2011-04-06,0.8794655751610269,5.47589922261742,5.47589922261742,533.98,-0.68444742030278,0.3608615569672846,0.3608615569672846,1.0
2011-04-07,1.7741958387246917,7.34724823748254,7.34724823748254,534.97,0.18540020225477,0.546930797278522,0.546930797278522,1.0
2011-04-08,-0.5090119452373735,6.800837921070135,6.800837921070135,534.2,-0.14393330467128,0.4022102770364411,0.4022102770364411,1.0
2011-04-11,-0.07591892711114365,6.719755870774757,6.719755870774757,533.11,-0.20404342942719,0.19734616396647198,0.19734616396647198,1.0
2011-04-12,-0.6674205699912866,6.007486267848727,6.007486267848727,525.11,-1.50062838813753,-1.3062436567304325,-1.3062436567304325,1.0
2011-04-13,-0.09631505288506953,5.905385101387717,5.905385101387717,528.7,0.68366627944622,-0.6315077246926815,-0.6315077246926815,1.0
2011-04-14,0.21361036497002805,6.13160998102571,6.13160998102571,531.47,0.52392661244562,-0.11088974927637718,-0.11088974927637718,1.0
2011-04-15,-0.9546196553769528,5.118456771578828,5.118456771578828,534.58,0.58516943571602,0.4736307935195416,0.4736307935195416,1.0
2011-04-18,-0.9278274770049235,4.143138846248573,4.143138846248573,528.52,-1.13360020951027,-0.665338495658363,-0.665338495658363,1.0
2011-04-19,0.6573875774196475,4.827762903758703,4.827762903758703,526.62,-0.35949443729659,-1.0224410780738658,-1.0224410780738658,1.0
2011-04-20,1.1690505718860384,6.05325246548043,6.05325246548043,532.25,1.06908207056322,0.03571025824158358,0.03571025824158358,1.0
2011-04-21,-2.560012969690298,3.338275447585737,3.338275447585737,529.58,-0.5016439643024699,-0.466112844415989,-0.466112844415989,1.0
2011-04-22,-0.7369831454241091,2.576689774765084,2.576689774765084,525.26,-0.81574077570906,-1.278051347592335,-1.278051347592335,1.0
2011-04-25,-0.26877064174569304,2.3009937473759567,2.3009937473759567,528.6,0.6358755663861699,-0.6503025974513688,-0.6503025974513688,1.0
2011-04-26,-1.164971136094136,1.1092166982815455,1.1092166982815455,521.68,-1.30911842603104,-1.9509077923542173,-1.9509077923542173,1.0
2011-04-27,0.3750889522073181,1.4884661997801585,1.4884661997801585,518.39,-0.63065480754485,-2.5692591061158176,-2.5692591061158176,1.0
2011-04-28,-0.391664867026437,1.0909715335916115,1.0909715335916115,514.67,-0.71760643530932,-3.2684283727398733,-3.2684283727398733,1.0
2011-04-29,-0.6696706185716025,0.41399499920256044,0.41399499920256044,511.0,-0.7130782831717299,-3.958200202984574,-3.958200202984574,1.0
2011-05-02,1.2597402058050724,1.6789504664626254,1.6789504664626254,516.76,1.12720156555772,-2.875615532082798,-2.875615532082798,1.0
2011-05-03,0.0024875118460170043,1.6814797424003824,1.6814797424003824,512.51,-0.8224320767861201,-3.6743976243280185,-3.6743976243280185,1.0
2011-05-04,0.207070294338643,1.8920318817908566,1.8920318817908566,510.53,-0.3863339251917,-4.046536104950493,-4.046536104950493,1.0
2011-05-06,0.08918896218183646,1.9829083275722192,1.9829083275722192,506.42,-0.80504573678333,-4.819005375333518,-4.819005375333518,1.0
2011-05-09,0.933078219890765,2.9344886331879705,2.9344886331879705,504.37,-0.40480233798033005,-5.204300266887096,-5.204300266887096,1.0
2011-05-11,1.2041700103198498,4.173994875584919,4.173994875584919,505.18,0.16059638757262001,-5.05206179754153,-5.05206179754153,1.0
2011-05-12,-2.094797289168596,1.9917608549125276,1.9917608549125276,504.46,-0.14252345698563,-5.187384881404256,-5.187384881404256,1.0
2011-05-13,0.7555084953481875,2.7623172727266,2.7623172727266,507.28,0.5590135986996,-4.657369469608586,-4.657369469608586,1.0
2011-05-16,0.23671055875932193,3.0055665281368826,3.0055665281368826,506.07,-0.23852704620721,-4.88478742998899,-4.88478742998899,1.0
2011-05-17,-0.14987696516515497,2.8511849110733456,2.8511849110733456,501.72,-0.8595648823285199,-5.702364394992932,-5.702364394992932,1.0
2011-05-18,-1.0303542083374746,1.79145339901714,1.79145339901714,498.94,-0.5540939169257699,-6.224861857685104,-6.224861857685104,1.0
2011-05-19,-4.148517065213235,-2.4313824161696584,-2.4313824161696584,487.03,-2.38706056840501,-8.463331203247627,-8.463331203247627,1.0
2011-05-20,-0.08574005555530693,-2.5150378030905807,-2.5150378030905807,486.24,-0.16220766687883,-8.611810698041445,-8.611810698041445,1.0
2011-05-23,-1.847393537887613,-4.315968695128469,-4.315968695128469,472.94,-2.7352747614346797,-11.111528774950063,-11.111528774950063,1.0
2011-05-24,2.4434204435992006,-1.9780055129653862,-1.9780055129653862,474.32,0.29179177062629996,-10.852159530879835,-10.852159530879835,1.0
2011-05-25,-0.7200970304190436,-2.683858984424037,-2.683858984424037,471.23,-0.6514589306797,-11.432921099124016,-11.432921099124016,1.0
2011-05-26,1.699801691403848,-1.0296775734323194,-1.0296775734323194,479.96,1.85259851877002,-9.792128707288516,-9.792128707288516,1.0
2011-05-27,0.7402934168429796,-0.2970067918801611,-0.2970067918801611,483.22,0.67922326860572,-9.179415855354522,-9.179415855354522,1.0
2011-05-30,0.1088302945197245,-0.18849973072677662,-0.18849973072677662,480.52,-0.55875170729688,-9.686877419839723,-9.686877419839723,1.0
2011-05-31,0.48187867461374656,0.2924706038829106,0.2924706038829106,484.54,0.8365936901689901,-8.931323534939505,-8.931323534939505,1.0
2011-06-01,-0.13848520782338047,0.15358036753592152,0.15358036753592152,483.23,-0.27035951624221,-9.17753636807863,-9.17753636807863,1.0
2011-06-02,-0.781787796903173,-0.6294081019390885,-0.6294081019390885,477.83,-1.11748028888936,-10.192459497049056,-10.192459497049056,1.0
2011-06-03,-1.34090015024793,-1.9618685180024409,-1.9618685180024409,476.1,-0.36205344997174,-10.517610795774758,-10.517610795774758,1.0
2011-06-07,-0.7331381171717,-2.6806234292598763,-2.6806234292598763,472.8,-0.6931316950220501,-11.137841596812237,-11.137841596812237,1.0
2011-06-08,-0.4333076250134104,-3.1023157085564135,-3.1023157085564135,469.15,-0.77199661590525,-11.8238544525052,-11.8238544525052,1.0
2011-06-09,0.7788982842110865,-2.347581308170077,-2.347581308170077,473.47,0.92081423851648,-11.011915949328843,-11.011915949328843,1.0
2011-06-10,-1.7477753425379863,-4.054326203457837,-4.054326203457837,466.91,-1.3855154497645,-12.244859602300306,-12.244859602300306,1.0
2011-06-13,-0.9566196756785729,-4.972161396957942,-4.972161396957942,458.15,-1.8761645713306698,-13.891290455963446,-13.891290455963446,1.0
2011-06-14,0.38628681208158655,-4.605081388628207,-4.605081388628207,462.29,0.90363418094512,-13.11318272375278,-13.11318272375278,1.0
2011-06-15,0.3791388563853886,-4.243402185155287,-4.243402185155287,464.83,0.54943866404204,-12.635792955681513,-12.635792955681513,1.0
2011-06-16,-0.26703478514954704,-4.49910561039667,-4.49910561039667,460.54,-0.9229180560635,-13.44209299703023,-13.44209299703023,1.0
2011-06-17,-1.6370586419864501,-6.0625112551760285,-6.0625112551760285,459.33,-0.26273505015851,-13.669510957410647,-13.669510957410647,1.0
2011-06-20,-0.6738607345298688,-6.695519106830816,-6.695519106830816,457.23,-0.45718764287112,-14.064203285343568,-14.064203285343568,1.0
2011-06-21,-0.4428470630702375,-7.108715260179144,-7.108715260179144,459.57,0.51177744242503,-13.62440326278972,-13.62440326278972,1.0
2011-06-22,1.2413196721340956,-5.955637469005648,-5.955637469005648,463.77,0.9138977740061199,-12.835018606923853,-12.835018606923853,1.0
2011-06-23,0.2143277665910515,-5.754074287188182,-5.754074287188182,464.62,0.18328050542295002,-12.6752621884748,-12.6752621884748,1.0
2011-06-24,1.5297214362557354,-4.312374158761645,-4.312374158761645,473.66,1.94567603633077,-10.976205691087271,-10.976205691087271,1.0
2011-06-27,0.3150344211204595,-4.010925200608783,-4.010925200608783,475.43,0.37368576616136,-10.643536443258084,-10.643536443258084,1.0
2011-06-28,-2.233331759512455,-6.154679693765752,-6.154679693765752,474.65,-0.16406200702522,-10.790136450776034,-10.790136450776034,1.0
2011-06-29,1.1542732624056546,-5.071448253451949,-5.071448253451949,476.57,0.40450858527336003,-10.42927489380877,-10.42927489380877,1.0
2011-06-30,0.7305978372147205,-4.377902307492409,-4.377902307492409,479.55,0.62530163459721,-9.86918768559918,-9.86918768559918,1.0
2011-07-01,1.307682678171301,-3.1274686994634537,-3.1274686994634537,484.11,0.95089146074445,-9.012141487801928,-9.012141487801928,1.0
2011-07-04,2.5967363560423786,-0.6119444601638824,-0.6119444601638824,489.3,1.07207039722376,-8.036687591624803,-8.036687591624803,1.0
2011-07-05,0.5459666081586276,-0.06931886441823298,-0.06931886441823298,492.37,0.6274269364398001,-7.45968499793237,-7.45968499793237,1.0
2011-07-06,-0.14153831368628297,-0.21075906535275024,-0.21075906535275024,492.94,0.11576659828991,-7.352554223207708,-7.352554223207708,1.0
2011-07-07,-1.532324884444991,-1.7398544361931223,-1.7398544361931223,495.52,0.52339027062116,-6.8676465060329654,-6.8676465060329654,1.0
2011-07-08,-0.896553435637506,-2.62080914710785,-2.62080914710785,496.82,0.26235066193089,-6.623313160169719,-6.623313160169719,1.0
2011-07-11,0.7403662963019314,-1.899846438421493,-1.899846438421493,498.37,0.31198421963689,-6.331992632409689,-6.331992632409689,1.0
2011-07-12,-2.547057041084027,-4.39851330702592,-4.39851330702592,490.63,-1.55306298533218,-7.786715783933951,-7.786715783933951,1.0
2011-07-13,0.4979326331237015,-3.922482307030195,-3.922482307030195,494.97,0.88457697246397,-6.971018306205867,-6.971018306205867,1.0
2011-07-14,0.014802231878690496,-3.9082606900779915,-3.9082606900779915,497.18,0.44649170656807,-6.555651618238345,-6.555651618238345,1.0
2011-07-15,1.6937920598894798,-2.2806664394368292,-2.2806664394368292,507.0,1.97513978840662,-4.709995113332877,-4.709995113332877,1.0
2011-07-18,1.5588242559832506,-0.7573937651095819,-0.7573937651095819,517.93,2.15581854043391,-2.6557155208057237,-2.6557155208057237,1.0
2011-07-19,0.1588025725619735,-0.5997939533310181,-0.5997939533310181,524.48,1.2646496630819,-1.4246513551100959,-1.4246513551100959,1.0
2011-07-20,0.26186683467067146,-0.3394977801004839,-0.3394977801004839,526.61,0.40611653447224,-1.0243205653495346,-1.0243205653495346,1.0
2011-07-21,-0.3710566948458981,-0.7092947457044585,-0.7092947457044585,524.54,-0.39308026813011004,-1.4133744314548502,-1.4133744314548502,1.0
2011-07-22,0.016494803295903013,-0.6929169391816425,-0.6929169391816425,531.24,1.2773096427346,-0.15411795662116923,-0.15411795662116923,1.0
2011-07-25,0.8652402382807945,0.16632790292347988,0.16632790292347988,529.9,-0.2522400421655,-0.405969251587901,-0.405969251587901,1.0
2011-07-26,1.7980368963457516,1.9673554363327073,1.9673554363327073,535.85,1.1228533685601,0.7123256775554365,0.7123256775554365,1.0
2011-07-27,0.8935114064852725,2.8784453880477345,2.8784453880477345,538.12,0.42362601474292005,1.1389692891781822,1.1389692891781822,1.0
2011-07-28,-0.98555623431077,1.8645204557638406,1.8645204557638406,538.54,0.07804950568646,1.2179077547647577,1.2179077547647577,1.0
2011-07-29,0.501301434645596,2.3751687582034497,2.3751687582034497,536.05,-0.46236119879674004,0.7499154230728555,0.7499154230728555,1.0
2011-08-01,1.602908891474298,4.016149440890504,4.016149440890504,544.39,1.55582501632312,2.317407811149419,2.317407811149419,1.0
2011-08-02,-1.3549736841023192,2.606757988749897,2.606757988749897,538.06,-1.1627693381583,1.127692365522992,1.127692365522992,1.0
2011-08-03,-1.9710179093458944,0.584360412592444,0.584360412592444,531.91,-1.14299520499572,-0.028192309137764493,-0.028192309137764493,1.0
2011-08-04,-1.8442589449861442,-1.2706756515738937,-1.2706756515738937,522.07,-1.84993701942056,-1.8776077885949483,-1.8776077885949483,1.0
2011-08-05,-6.2950023484086985,-7.485688937875357,-7.485688937875357,495.55,-5.07977857375449,-6.862008044205248,-6.862008044205248,1.0
2011-08-08,-9.189452166812789,-15.987247300385699,-15.987247300385699,462.69,-6.63101604278074,-13.038003232717832,-13.038003232717832,1.0
2011-08-09,-5.335500049648648,-20.469747762384817,-20.469747762384817,432.88,-6.44275865050033,-18.64075480208972,-18.64075480208972,1.0
2011-08-10,5.123579873562881,-16.39495176534457,-16.39495176534457,453.55,4.774995379781919,-14.75585460286406,-14.75585460286406,1.0
2011-08-11,2.8730935033660856,-13.992900556028598,-13.992900556028598,469.24,3.45937603351338,-11.806939067022238,-11.806939067022238,1.0
2011-08-12,0.31079010897165144,-13.725598997943312,-13.725598997943312,474.15,1.04637285823885,-10.884110814569503,-10.884110814569503,1.0
2011-08-16,6.014122671852044,-8.53695068727408,-8.53695068727408,496.23,4.6567541917114905,-6.7342029094459965,-6.7342029094459965,1.0
